date,Open,High,Low,Close
"March 19, 2020",7.41,8.83,7.33,8.04
"March 18, 2020",8.12,8.12,6.21,7.34
"March 17, 2020",7.92,8.39,7.19,8.22
"March 16, 2020",7.18,8.42,6.05,7.88
"March 13, 2020",5.85,9.10,5.85,9.03
"March 12, 2020",6.17,6.40,5.14,5.85
"March 11, 2020",9.23,10.70,6.05,6.25
"March 10, 2020",9.23,10.70,7.99,8.26
"March 9, 2020",15.35,15.35,7.98,8.90
"March 6, 2020",18.98,19.61,15.26,15.35
"March 5, 2020",23.05,23.05,19.60,19.89
"March 4, 2020",23.61,24.07,22.19,23.57
"March 3, 2020",24.57,25.47,22.51,23.21
"March 2, 2020",25.77,25.77,22.52,24.32
"Feb. 28, 2020",21.41,25.45,21.35,25.43
"Feb. 27, 2020",22.75,23.10,20.51,22.49
"Feb. 26, 2020",24.74,25.98,23.80,23.81
"Feb. 25, 2020",26.62,27.20,24.12,24.41
"Feb. 24, 2020",29.20,29.20,25.70,26.32
"Feb. 21, 2020",35.54,35.54,30.17,30.52
"Feb. 20, 2020",34.73,36.14,34.68,35.67
"Feb. 19, 2020",33.08,34.11,32.48,34.09
"Feb. 18, 2020",33.35,33.35,31.28,32.53
"Feb. 14, 2020",34.57,34.61,33.07,34.09
"Feb. 13, 2020",34.62,35.57,34.08,34.14
"Feb. 12, 2020",33.73,36.34,33.73,34.74
"Feb. 11, 2020",32.63,34.17,32.49,32.93
"Feb. 10, 2020",33.23,33.45,31.47,31.82
"Feb. 7, 2020",33.43,34.51,33.09,33.79
"Feb. 6, 2020",36.22,36.27,33.97,34.25
"Feb. 5, 2020",36.12,36.12,36.12,36.12
"Feb. 4, 2020",34.10,35.19,33.16,33.41
"Feb. 3, 2020",32.87,33.77,32.41,32.89
"Jan. 31, 2020",34.40,34.40,32.43,33.14
"Jan. 30, 2020",33.13,35.13,32.99,35.07
"Jan. 29, 2020",35.29,35.69,33.74,34.20
"Jan. 28, 2020",34.30,35.06,33.47,34.49
"Jan. 27, 2020",33.68,34.62,32.55,33.77
"Jan. 24, 2020",35.78,35.80,33.78,34.83
"Jan. 23, 2020",36.34,36.66,35.25,36.07
"Jan. 22, 2020",38.52,38.69,37.07,37.23
"Jan. 21, 2020",40.83,40.83,38.86,38.97
"Jan. 17, 2020",43.78,43.90,41.65,41.73
"Jan. 16, 2020",44.06,44.77,43.26,43.41
"Jan. 15, 2020",43.82,45.19,43.35,43.59
"Jan. 14, 2020",44.01,45.14,43.18,44.20
"Jan. 13, 2020",44.20,44.78,42.70,44.37
"Jan. 10, 2020",46.37,46.42,44.35,44.58
"Jan. 9, 2020",46.23,47.20,44.61,46.54
"Jan. 8, 2020",48.41,49.01,45.55,46.24
"Jan. 7, 2020",52.21,52.22,47.74,48.89
"Jan. 6, 2020",50.72,53.15,49.97,52.96
"Jan. 3, 2020",49.70,51.13,48.76,50.37
"Jan. 2, 2020",46.57,47.16,45.32,46.94
"Jan. 1, 2020",45.56,45.56,45.56,45.56
"Dec. 31, 2019",44.27,46.42,43.94,45.56
"Dec. 30, 2019",44.52,47.10,44.52,45.26
"Dec. 27, 2019",45.27,45.82,43.37,43.54
"Dec. 26, 2019",45.69,46.60,44.59,44.99
"Dec. 25, 2019",44.85,44.85,44.85,44.85
"Dec. 24, 2019",44.11,47.09,44.11,44.85
"Dec. 23, 2019",41.05,44.03,41.05,43.93
"Dec. 20, 2019",43.45,43.46,40.39,40.91
"Dec. 19, 2019",40.90,43.69,40.90,43.53
"Dec. 18, 2019",39.35,42.00,39.35,40.81
"Dec. 17, 2019",38.74,39.94,38.74,39.78
"Dec. 16, 2019",38.30,40.31,38.30,38.48
"Dec. 13, 2019",38.39,38.99,37.29,37.75
"Dec. 12, 2019",36.13,38.30,36.01,38.04
"Dec. 11, 2019",36.65,37.24,35.77,36.20
"Dec. 10, 2019",38.24,38.77,36.50,36.97
"Dec. 9, 2019",36.12,38.36,36.09,38.13
"Dec. 6, 2019",33.15,36.69,33.15,36.60
"Dec. 5, 2019",32.87,33.90,32.87,33.55
"Dec. 4, 2019",31.42,34.41,31.42,32.63
"Dec. 3, 2019",31.61,32.20,30.65,30.95
"Dec. 2, 2019",32.74,33.38,31.92,32.34
"Nov. 29, 2019",32.35,32.71,31.84,32.50
"Nov. 28, 2019",33.19,33.19,33.19,33.19
"Nov. 27, 2019",32.67,33.65,32.50,33.19
"Nov. 26, 2019",34.38,34.53,31.95,32.46
"Nov. 25, 2019",31.85,34.54,31.62,34.02
"Nov. 22, 2019",29.97,31.67,29.83,31.57
"Nov. 21, 2019",28.67,29.97,27.93,29.81
"Nov. 20, 2019",28.39,28.39,28.39,28.39
"Nov. 19, 2019",31.21,31.21,29.34,29.42
"Nov. 18, 2019",32.32,32.32,30.54,31.57
"Nov. 15, 2019",31.37,32.89,31.08,32.80
"Nov. 14, 2019",33.08,33.73,30.65,31.04
"Nov. 13, 2019",32.74,32.74,32.74,32.74
"Nov. 12, 2019",35.22,35.82,33.38,33.80
"Nov. 11, 2019",34.97,34.97,34.97,34.97
"Nov. 8, 2019",35.71,35.71,35.71,35.71
"Nov. 7, 2019",35.55,35.55,35.55,35.55
"Nov. 6, 2019",36.61,37.99,34.36,35.04
"Nov. 5, 2019",38.58,38.85,36.82,37.00
"Nov. 4, 2019",35.14,38.55,35.14,37.97
"Nov. 1, 2019",31.68,34.14,31.39,34.00
"Oct. 31, 2019",33.23,33.47,30.98,31.28
"Oct. 30, 2019",34.95,37.21,33.15,33.44
"Oct. 29, 2019",32.27,36.01,31.46,34.60
"Oct. 28, 2019",34.69,35.45,32.63,32.86
"Oct. 25, 2019",35.55,35.96,33.96,34.24
"Oct. 24, 2019",37.21,37.48,34.79,35.54
"Oct. 23, 2019",36.77,37.92,35.60,37.17
"Oct. 22, 2019",36.35,37.91,34.91,37.14
"Oct. 21, 2019",33.76,36.32,33.71,35.90
"Oct. 18, 2019",34.73,35.63,33.85,34.24
