date,iron_ore_spot_price_any_origin
"Feb. 29, 2020",87.68
"Jan. 31, 2020",95.76
"Dec. 31, 2019",92.65
"Nov. 30, 2019",84.98
"Oct. 31, 2019",88.53
"Sept. 30, 2019",93.08
"Aug. 31, 2019",93.07
"July 31, 2019",120.24
"June 30, 2019",108.94
"May 31, 2019",100.15
"April 30, 2019",93.70
"March 31, 2019",86.47
"Feb. 28, 2019",88.22
"Jan. 31, 2019",76.16
"Dec. 31, 2018",69.16
"Nov. 30, 2018",73.26
"Oct. 31, 2018",73.41
"Sept. 30, 2018",68.44
"Aug. 31, 2018",67.15
"July 31, 2018",64.56
"June 30, 2018",65.04
"May 31, 2018",66.10
"April 30, 2018",65.75
"March 31, 2018",70.35
"Feb. 28, 2018",77.46
"Jan. 31, 2018",76.34
"Dec. 31, 2017",72.25
"Nov. 30, 2017",64.24
"Oct. 31, 2017",61.66
"Sept. 30, 2017",71.53
"Aug. 31, 2017",76.07
"July 31, 2017",67.74
"June 30, 2017",57.48
"May 31, 2017",62.43
"April 30, 2017",70.22
"March 31, 2017",87.65
"Feb. 28, 2017",89.44
"Jan. 31, 2017",80.41
"Dec. 31, 2016",80.02
"Nov. 30, 2016",73.10
"Oct. 31, 2016",59.09
"Sept. 30, 2016",57.79
"Aug. 31, 2016",60.89
"July 31, 2016",57.26
"June 30, 2016",51.98
"May 31, 2016",55.13
"April 30, 2016",60.92
"March 31, 2016",56.20
"Feb. 29, 2016",46.83
"Jan. 31, 2016",41.88
"Dec. 31, 2015",40.50
"Nov. 30, 2015",46.86
"Oct. 31, 2015",53.12
"Sept. 30, 2015",56.95
"Aug. 31, 2015",56.19
"July 31, 2015",52.39
"June 30, 2015",62.63
"May 31, 2015",60.30
"April 30, 2015",52.28
"March 31, 2015",58.05
"Feb. 28, 2015",62.75
"Jan. 31, 2015",68.23
"Dec. 31, 2014",68.39
"Nov. 30, 2014",73.73
"Oct. 31, 2014",81.06
"Sept. 30, 2014",82.38
"Aug. 31, 2014",92.61
"July 31, 2014",96.05
"June 30, 2014",92.74
"May 31, 2014",100.56
"April 30, 2014",114.58
"March 31, 2014",111.83
"Feb. 28, 2014",121.37
"Jan. 31, 2014",128.12
"Dec. 31, 2013",135.79
"Nov. 30, 2013",136.32
"Oct. 31, 2013",132.57
"Sept. 30, 2013",134.19
"Aug. 31, 2013",137.06
"July 31, 2013",127.19
"June 30, 2013",114.82
"May 31, 2013",124.01
"April 30, 2013",137.39
"March 31, 2013",139.87
"Feb. 28, 2013",154.64
"Jan. 31, 2013",150.49
"Dec. 31, 2012",128.51
"Nov. 30, 2012",120.35
"Oct. 31, 2012",113.95
"Sept. 30, 2012",99.47
"Aug. 31, 2012",107.50
"July 31, 2012",127.94
"June 30, 2012",134.66
"May 31, 2012",136.61
"April 30, 2012",147.64
"March 31, 2012",144.66
"Feb. 29, 2012",140.40
"Jan. 31, 2012",140.26
"Dec. 31, 2011",136.39
"Nov. 30, 2011",135.54
"Oct. 31, 2011",150.43
"Sept. 30, 2011",177.23
"Aug. 31, 2011",177.50
"July 31, 2011",172.98
"June 30, 2011",170.88
"May 31, 2011",177.05
"April 30, 2011",179.33
"March 31, 2011",169.36
"Feb. 28, 2011",187.18
"Jan. 31, 2011",179.18
"Dec. 31, 2010",163.10
"Nov. 30, 2010",156.10
"Oct. 31, 2010",148.48
"Sept. 30, 2010",140.63
"Aug. 31, 2010",145.34
"July 31, 2010",126.36
"June 30, 2010",143.63
"May 31, 2010",161.35
"April 30, 2010",172.47
"March 31, 2010",139.69
"Feb. 28, 2010",127.49
"Jan. 31, 2010",125.72
"Dec. 31, 2009",105.07
"Nov. 30, 2009",99.26
"Oct. 31, 2009",86.79
"Sept. 30, 2009",80.71
"Aug. 31, 2009",97.67
"July 31, 2009",83.95
"June 30, 2009",71.66
"May 31, 2009",62.69
"April 30, 2009",59.78
"March 31, 2009",64.07
"Feb. 28, 2009",75.59
"Jan. 31, 2009",72.51
"Dec. 31, 2008",69.98
"Nov. 30, 2008",64.95
"Oct. 31, 2008",88.67
"Sept. 30, 2008",139.64
"Aug. 31, 2008",178.74
"July 31, 2008",180.50
"June 30, 2008",183.93
"May 31, 2008",192.95
"April 30, 2008",195.95
"March 31, 2008",197.12
"Feb. 29, 2008",186.12
"Jan. 31, 2008",193.37
"Dec. 31, 2007",190.12
"Nov. 30, 2007",195.09
"Oct. 31, 2007",168.11
"Sept. 30, 2007",148.65
"Aug. 31, 2007",121.89
"July 31, 2007",106.09
"June 30, 2007",103.21
"May 31, 2007",102.02
"April 30, 2007",91.26
"March 31, 2007",88.55
"Feb. 28, 2007",82.66
"Jan. 31, 2007",78.20
"Dec. 31, 2006",73.50
"Nov. 30, 2006",73.50
"Oct. 31, 2006",71.70
"Sept. 30, 2006",70.00
"Aug. 31, 2006",69.80
"July 31, 2006",70.50
"June 30, 2006",69.30
"May 31, 2006",67.30
"April 30, 2006",67.30
"March 31, 2006",66.70
"Feb. 28, 2006",65.20
"Jan. 31, 2006",67.20
"Dec. 31, 2005",65.00
"Nov. 30, 2005",65.00
"Oct. 31, 2005",65.00
"Sept. 30, 2005",65.00
"Aug. 31, 2005",65.00
