date,us_gas_price
"March 16, 2020",2.343
"March 9, 2020",2.468
"March 2, 2020",2.514
"Feb. 24, 2020",2.555
"Feb. 17, 2020",2.518
"Feb. 10, 2020",2.511
"Feb. 3, 2020",2.546
"Jan. 27, 2020",2.595
"Jan. 20, 2020",2.625
"Jan. 13, 2020",2.657
"Jan. 6, 2020",2.665
"Dec. 30, 2019",2.658
"Dec. 23, 2019",2.621
"Dec. 16, 2019",2.627
"Dec. 9, 2019",2.652
"Dec. 2, 2019",2.667
"Nov. 25, 2019",2.672
"Nov. 18, 2019",2.688
"Nov. 11, 2019",2.711
"Nov. 4, 2019",2.702
"Oct. 28, 2019",2.692
"Oct. 21, 2019",2.735
"Oct. 14, 2019",2.727
"Oct. 7, 2019",2.742
"Sept. 30, 2019",2.737
"Sept. 23, 2019",2.741
"Sept. 16, 2019",2.64
"Sept. 9, 2019",2.638
"Sept. 2, 2019",2.651
"Aug. 26, 2019",2.661
"Aug. 19, 2019",2.684
"Aug. 12, 2019",2.71
"Aug. 5, 2019",2.772
"July 29, 2019",2.798
"July 22, 2019",2.833
"July 15, 2019",2.86
"July 8, 2019",2.827
"July 1, 2019",2.798
"June 24, 2019",2.741
"June 17, 2019",2.759
"June 10, 2019",2.821
"June 3, 2019",2.893
"May 27, 2019",2.909
"May 20, 2019",2.939
"May 13, 2019",2.954
"May 6, 2019",2.983
"April 29, 2019",2.972
"April 22, 2019",2.926
"April 15, 2019",2.912
"April 8, 2019",2.826
"April 1, 2019",2.77
"March 25, 2019",2.701
"March 18, 2019",2.625
"March 11, 2019",2.549
"March 4, 2019",2.502
"Feb. 25, 2019",2.471
"Feb. 18, 2019",2.40
"Feb. 11, 2019",2.361
"Feb. 4, 2019",2.341
"Jan. 28, 2019",2.343
"Jan. 21, 2019",2.34
"Jan. 14, 2019",2.338
"Jan. 7, 2019",2.329
"Dec. 31, 2018",2.358
"Dec. 24, 2018",2.413
"Dec. 17, 2018",2.46
"Dec. 10, 2018",2.511
"Dec. 3, 2018",2.544
"Nov. 26, 2018",2.63
"Nov. 19, 2018",2.70
"Nov. 12, 2018",2.773
"Nov. 5, 2018",2.84
"Oct. 29, 2018",2.896
"Oct. 22, 2018",2.925
"Oct. 15, 2018",2.961
"Oct. 8, 2018",2.984
"Oct. 1, 2018",2.947
"Sept. 24, 2018",2.923
"Sept. 17, 2018",2.921
"Sept. 10, 2018",2.912
"Sept. 3, 2018",2.903
"Aug. 27, 2018",2.906
"Aug. 20, 2018",2.90
"Aug. 13, 2018",2.921
"Aug. 6, 2018",2.93
"July 30, 2018",2.924
"July 23, 2018",2.911
"July 16, 2018",2.943
"July 9, 2018",2.937
"July 2, 2018",2.924
"June 25, 2018",2.913
"June 18, 2018",2.958
"June 11, 2018",2.989
"June 4, 2018",3.018
"May 28, 2018",3.039
"May 21, 2018",2.999
"May 14, 2018",2.949
"May 7, 2018",2.96
"April 30, 2018",2.961
"April 23, 2018",2.914
"April 16, 2018",2.863
"April 9, 2018",2.811
"April 2, 2018",2.817
"March 26, 2018",2.764
"March 19, 2018",2.716
"March 12, 2018",2.677
"March 5, 2018",2.679
"Feb. 26, 2018",2.666
"Feb. 19, 2018",2.676
"Feb. 12, 2018",2.724
"Feb. 5, 2018",2.753
"Jan. 29, 2018",2.723
"Jan. 22, 2018",2.684
"Jan. 15, 2018",2.673
"Jan. 8, 2018",2.639
"Jan. 1, 2018",2.637
"Dec. 25, 2017",2.589
"Dec. 18, 2017",2.568
"Dec. 11, 2017",2.601
"Dec. 4, 2017",2.617
"Nov. 27, 2017",2.648
"Nov. 20, 2017",2.683
"Nov. 13, 2017",2.706
"Nov. 6, 2017",2.673
"Oct. 30, 2017",2.602
"Oct. 23, 2017",2.594
"Oct. 16, 2017",2.605
"Oct. 9, 2017",2.622
"Oct. 2, 2017",2.682
"Sept. 25, 2017",2.701
"Sept. 18, 2017",2.75
"Sept. 11, 2017",2.80
"Sept. 4, 2017",2.794
"Aug. 28, 2017",2.513
"Aug. 21, 2017",2.474
"Aug. 14, 2017",2.497
"Aug. 7, 2017",2.492
"July 31, 2017",2.467
"July 24, 2017",2.426
"July 17, 2017",2.392
"July 10, 2017",2.411
"July 3, 2017",2.376
"June 26, 2017",2.404
"June 19, 2017",2.433
"June 12, 2017",2.479
"June 5, 2017",2.525
"May 29, 2017",2.516
"May 22, 2017",2.51
"May 15, 2017",2.481
"May 8, 2017",2.484
"May 1, 2017",2.522
"April 24, 2017",2.559
"April 17, 2017",2.546
"April 10, 2017",2.534
"April 3, 2017",2.471
"March 27, 2017",2.428
"March 20, 2017",2.433
"March 13, 2017",2.434
"March 6, 2017",2.452
"Feb. 27, 2017",2.427
"Feb. 20, 2017",2.414
"Feb. 13, 2017",2.418
"Feb. 6, 2017",2.405
"Jan. 30, 2017",2.408
"Jan. 23, 2017",2.436
"Jan. 16, 2017",2.467
"Jan. 9, 2017",2.496
"Jan. 2, 2017",2.485
"Dec. 26, 2016",2.419
"Dec. 19, 2016",2.375
"Dec. 12, 2016",2.347
"Dec. 5, 2016",2.321
"Nov. 28, 2016",2.268
"Nov. 21, 2016",2.269
"Nov. 14, 2016",2.298
"Nov. 7, 2016",2.345
"Oct. 31, 2016",2.341
"Oct. 24, 2016",2.353
"Oct. 17, 2016",2.367
"Oct. 10, 2016",2.381
"Oct. 3, 2016",2.354
"Sept. 26, 2016",2.334
"Sept. 19, 2016",2.333
"Sept. 12, 2016",2.31
"Sept. 5, 2016",2.329
"Aug. 29, 2016",2.341
"Aug. 22, 2016",2.299
"Aug. 15, 2016",2.256
"Aug. 8, 2016",2.256
"Aug. 1, 2016",2.267
"July 25, 2016",2.289
"July 18, 2016",2.336
"July 11, 2016",2.359
"July 4, 2016",2.396
"June 27, 2016",2.432
"June 20, 2016",2.455
"June 13, 2016",2.499
"June 6, 2016",2.482
"May 30, 2016",2.44
"May 23, 2016",2.403
"May 16, 2016",2.345
"May 9, 2016",2.325
"May 2, 2016",2.342
"April 25, 2016",2.265
"April 18, 2016",2.24
"April 11, 2016",2.173
"April 4, 2016",2.185
"March 28, 2016",2.169
"March 21, 2016",2.109
"March 14, 2016",2.062
"March 7, 2016",1.943
"Feb. 29, 2016",1.887
"Feb. 22, 2016",1.837
"Feb. 15, 2016",1.834
"Feb. 8, 2016",1.87
"Feb. 1, 2016",1.932
"Jan. 25, 2016",1.965
"Jan. 18, 2016",2.022
"Jan. 11, 2016",2.104
"Jan. 4, 2016",2.135
"Dec. 28, 2015",2.141
"Dec. 21, 2015",2.133
"Dec. 14, 2015",2.144
"Dec. 7, 2015",2.159
"Nov. 30, 2015",2.165
"Nov. 23, 2015",2.198
"Nov. 16, 2015",2.281
"Nov. 9, 2015",2.335
"Nov. 2, 2015",2.322
"Oct. 26, 2015",2.326
"Oct. 19, 2015",2.374
"Oct. 12, 2015",2.432
"Oct. 5, 2015",2.415
"Sept. 28, 2015",2.418
"Sept. 21, 2015",2.425
"Sept. 14, 2015",2.471
"Sept. 7, 2015",2.532
"Aug. 31, 2015",2.602
"Aug. 24, 2015",2.726
"Aug. 17, 2015",2.803
"Aug. 10, 2015",2.72
"Aug. 3, 2015",2.779
"July 27, 2015",2.833
"July 20, 2015",2.888
"July 13, 2015",2.92
"July 6, 2015",2.877
"June 29, 2015",2.885
"June 22, 2015",2.895
