date,us_total_population
"Dec. 31, 2020",330.89M
"Nov. 30, 2020",330.77M
"Oct. 31, 2020",330.62M
"Sept. 30, 2020",330.45M
"Aug. 31, 2020",330.28M
"July 31, 2020",330.11M
"June 30, 2020",329.96M
"May 31, 2020",329.82M
"April 30, 2020",329.70M
"March 31, 2020",329.58M
"Feb. 29, 2020",329.47M
"Jan. 31, 2020",329.37M
"Dec. 31, 2019",329.26M
"Nov. 30, 2019",329.13M
"Oct. 31, 2019",328.98M
"Sept. 30, 2019",328.81M
"Aug. 31, 2019",328.65M
"July 31, 2019",328.48M
"June 30, 2019",328.33M
"May 31, 2019",328.20M
"April 30, 2019",328.08M
"March 31, 2019",327.97M
"Feb. 28, 2019",327.87M
"Jan. 31, 2019",327.78M
"Dec. 31, 2018",327.67M
"Nov. 30, 2018",328.16M
"Oct. 31, 2018",327.99M
"Sept. 30, 2018",327.79M
"Aug. 31, 2018",327.60M
"July 31, 2018",327.40M
"June 30, 2018",327.22M
"May 31, 2018",327.05M
"April 30, 2018",326.89M
"March 31, 2018",326.74M
"Feb. 28, 2018",326.60M
"Jan. 31, 2018",326.45M
"Dec. 31, 2017",326.30M
"Nov. 30, 2017",326.14M
"Oct. 31, 2017",325.97M
"Sept. 30, 2017",325.77M
"Aug. 31, 2017",325.57M
"July 31, 2017",325.37M
"June 30, 2017",325.19M
"May 31, 2017",325.02M
"April 30, 2017",324.86M
"March 31, 2017",324.71M
"Feb. 28, 2017",324.58M
"Jan. 31, 2017",324.44M
"Dec. 31, 2016",324.27M
"Nov. 30, 2016",324.11M
"Oct. 31, 2016",323.92M
"Sept. 30, 2016",323.71M
"Aug. 31, 2016",323.50M
"July 31, 2016",323.29M
"June 30, 2016",323.09M
"May 31, 2016",322.90M
"April 30, 2016",322.72M
"March 31, 2016",322.55M
"Feb. 29, 2016",322.40M
"Jan. 31, 2016",322.23M
"Dec. 31, 2015",322.04M
"Nov. 30, 2015",321.86M
"Oct. 31, 2015",321.65M
"Sept. 30, 2015",321.43M
"Aug. 31, 2015",321.20M
"July 31, 2015",320.98M
"June 30, 2015",320.77M
"May 31, 2015",320.58M
"April 30, 2015",320.40M
"March 31, 2015",320.23M
"Feb. 28, 2015",320.07M
"Jan. 31, 2015",319.93M
"Dec. 31, 2014",319.75M
"Nov. 30, 2014",319.56M
"Oct. 31, 2014",319.35M
"Sept. 30, 2014",319.13M
"Aug. 31, 2014",318.89M
"July 31, 2014",318.66M
"June 30, 2014",318.46M
"May 31, 2014",318.27M
"April 30, 2014",318.09M
"March 31, 2014",317.92M
"Feb. 28, 2014",317.75M
"Jan. 31, 2014",317.59M
"Dec. 31, 2013",317.41M
"Nov. 30, 2013",317.23M
"Oct. 31, 2013",317.02M
"Sept. 30, 2013",316.81M
"Aug. 31, 2013",316.58M
"July 31, 2013",316.36M
"June 30, 2013",316.17M
"May 31, 2013",315.98M
"April 30, 2013",315.82M
"March 31, 2013",315.66M
"Feb. 28, 2013",315.52M
"Jan. 31, 2013",315.39M
"Dec. 31, 2012",315.23M
"Nov. 30, 2012",315.05M
"Oct. 31, 2012",314.85M
"Sept. 30, 2012",314.65M
"Aug. 31, 2012",314.42M
"July 31, 2012",314.21M
"June 30, 2012",314.02M
"May 31, 2012",313.83M
"April 30, 2012",313.67M
"March 31, 2012",313.50M
"Feb. 29, 2012",313.34M
"Jan. 31, 2012",313.18M
"Dec. 31, 2011",313.01M
"Nov. 30, 2011",312.83M
"Oct. 31, 2011",312.64M
"Sept. 30, 2011",312.43M
"Aug. 31, 2011",312.21M
"July 31, 2011",312.00M
"June 30, 2011",311.79M
"May 31, 2011",311.61M
"April 30, 2011",311.44M
"March 31, 2011",311.27M
"Feb. 28, 2011",311.11M
"Jan. 31, 2011",310.96M
"Dec. 31, 2010",310.78M
"Nov. 30, 2010",310.60M
"Oct. 31, 2010",310.40M
"Sept. 30, 2010",310.18M
"Aug. 31, 2010",309.96M
"July 31, 2010",309.75M
"June 30, 2010",309.55M
"May 31, 2010",309.37M
"April 30, 2010",309.19M
"March 31, 2010",309.21M
"Feb. 28, 2010",309.03M
"Jan. 31, 2010",308.83M
"Dec. 31, 2009",308.63M
"Nov. 30, 2009",308.42M
"Oct. 31, 2009",308.19M
"Sept. 30, 2009",307.95M
"Aug. 31, 2009",307.68M
"July 31, 2009",307.44M
"June 30, 2009",307.21M
"May 31, 2009",306.98M
"April 30, 2009",306.79M
"March 31, 2009",306.59M
"Feb. 28, 2009",306.40M
"Jan. 31, 2009",306.21M
"Dec. 31, 2008",306.00M
"Nov. 30, 2008",305.79M
"Oct. 31, 2008",305.55M
"Sept. 30, 2008",305.31M
"Aug. 31, 2008",305.04M
"July 31, 2008",304.80M
"June 30, 2008",304.56M
"May 31, 2008",304.32M
"April 30, 2008",304.12M
"March 31, 2008",303.91M
"Feb. 29, 2008",303.71M
"Jan. 31, 2008",303.51M
"Dec. 31, 2007",303.29M
"Nov. 30, 2007",303.05M
"Oct. 31, 2007",302.81M
"Sept. 30, 2007",302.55M
"Aug. 31, 2007",302.27M
"July 31, 2007",302.00M
"June 30, 2007",301.74M
"May 31, 2007",301.48M
"April 30, 2007",301.25M
"March 31, 2007",301.02M
"Feb. 28, 2007",300.80M
"Jan. 31, 2007",300.57M
"Dec. 31, 2006",300.34M
"Nov. 30, 2006",300.09M
"Oct. 31, 2006",299.84M
"Sept. 30, 2006",299.55M
"Aug. 31, 2006",299.26M
"July 31, 2006",299.00M
"June 30, 2006",298.74M
"May 31, 2006",298.50M
"April 30, 2006",298.28M
"March 31, 2006",298.06M
"Feb. 28, 2006",297.85M
"Jan. 31, 2006",297.65M
"Dec. 31, 2005",297.43M
"Nov. 30, 2005",297.21M
"Oct. 31, 2005",296.97M
"Sept. 30, 2005",296.71M
"Aug. 31, 2005",296.44M
"July 31, 2005",296.19M
"June 30, 2005",295.94M
"May 31, 2005",295.70M
"April 30, 2005",295.49M
"March 31, 2005",295.29M
"Feb. 28, 2005",295.10M
"Jan. 31, 2005",294.91M
"Dec. 31, 2004",294.69M
"Nov. 30, 2004",294.47M
"Oct. 31, 2004",294.23M
"Sept. 30, 2004",293.97M
"Aug. 31, 2004",293.72M
"July 31, 2004",293.46M
"June 30, 2004",293.22M
"May 31, 2004",293.00M
"April 30, 2004",292.78M
"March 31, 2004",292.56M
"Feb. 29, 2004",292.37M
"Jan. 31, 2004",292.19M
"Dec. 31, 2003",292.01M
"Nov. 30, 2003",291.81M
"Oct. 31, 2003",291.57M
"Sept. 30, 2003",291.32M
"Aug. 31, 2003",291.07M
"July 31, 2003",290.82M
"June 30, 2003",290.58M
"May 31, 2003",290.35M
"April 30, 2003",290.12M
"March 31, 2003",289.91M
"Feb. 28, 2003",289.71M
"Jan. 31, 2003",289.52M
"Dec. 31, 2002",289.31M
"Nov. 30, 2002",289.11M
"Oct. 31, 2002",288.87M
"Sept. 30, 2002",288.62M
"Aug. 31, 2002",288.36M
"July 31, 2002",288.10M
"June 30, 2002",287.86M
"May 31, 2002",287.62M
"April 30, 2002",287.40M
"March 31, 2002",287.19M
"Feb. 28, 2002",286.99M
"Jan. 31, 2002",286.79M
"Dec. 31, 2001",286.57M
"Nov. 30, 2001",286.34M
"Oct. 31, 2001",286.10M
"Sept. 30, 2001",285.84M
"Aug. 31, 2001",285.57M
"July 31, 2001",285.31M
"June 30, 2001",285.06M
"May 31, 2001",284.81M
"April 30, 2001",284.58M
"March 31, 2001",284.35M
"Feb. 28, 2001",284.14M
"Jan. 31, 2001",283.92M
"Dec. 31, 2000",283.70M
"Nov. 30, 2000",283.45M
"Oct. 31, 2000",283.20M
"Sept. 30, 2000",282.93M
"Aug. 31, 2000",282.65M
"July 31, 2000",282.38M
"June 30, 2000",282.13M
"May 31, 2000",281.88M
"April 30, 2000",281.65M
"March 31, 2000",281.41M
"Feb. 29, 2000",281.19M
"Jan. 31, 2000",280.98M
"Dec. 31, 1999",280.72M
"Nov. 30, 1999",280.47M
"Oct. 31, 1999",280.20M
"Sept. 30, 1999",279.90M
"Aug. 31, 1999",279.60M
"July 31, 1999",279.30M
"June 30, 1999",279.00M
"May 31, 1999",278.72M
"April 30, 1999",278.45M
"March 31, 1999",278.20M
"Feb. 28, 1999",277.99M
"Jan. 31, 1999",277.79M
"Dec. 31, 1998",277.53M
"Nov. 30, 1998",277.28M
"Oct. 31, 1998",277.00M
"Sept. 30, 1998",276.71M
"Aug. 31, 1998",276.42M
"July 31, 1998",276.12M
"June 30, 1998",275.84M
"May 31, 1998",275.56M
"April 30, 1998",275.30M
"March 31, 1998",275.05M
"Feb. 28, 1998",274.84M
"Jan. 31, 1998",274.63M
"Dec. 31, 1997",274.37M
"Nov. 30, 1997",274.13M
"Oct. 31, 1997",273.85M
"Sept. 30, 1997",273.55M
"Aug. 31, 1997",273.24M
"July 31, 1997",272.91M
"June 30, 1997",272.62M
"May 31, 1997",272.34M
"April 30, 1997",272.08M
"March 31, 1997",271.82M
"Feb. 28, 1997",271.58M
"Jan. 31, 1997",271.36M
"Dec. 31, 1996",271.12M
"Nov. 30, 1996",270.88M
"Oct. 31, 1996",270.58M
"Sept. 30, 1996",270.28M
"Aug. 31, 1996",269.98M
"July 31, 1996",269.67M
"June 30, 1996",269.39M
"May 31, 1996",269.11M
"April 30, 1996",268.85M
"March 31, 1996",268.60M
"Feb. 29, 1996",268.36M
"Jan. 31, 1996",268.15M
"Dec. 31, 1995",267.94M
"Nov. 30, 1995",267.72M
"Oct. 31, 1995",267.46M
"Sept. 30, 1995",267.15M
"Aug. 31, 1995",266.84M
"July 31, 1995",266.56M
"June 30, 1995",266.27M
"May 31, 1995",266.00M
"April 30, 1995",265.76M
"March 31, 1995",265.50M
"Feb. 28, 1995",265.27M
"Jan. 31, 1995",265.04M
"Dec. 31, 1994",264.80M
"Nov. 30, 1994",264.56M
"Oct. 31, 1994",264.30M
"Sept. 30, 1994",264.02M
"Aug. 31, 1994",263.72M
"July 31, 1994",263.44M
"June 30, 1994",263.15M
"May 31, 1994",262.88M
"April 30, 1994",262.63M
"March 31, 1994",262.35M
"Feb. 28, 1994",262.12M
"Jan. 31, 1994",261.92M
"Dec. 31, 1993",261.67M
"Nov. 30, 1993",261.42M
"Oct. 31, 1993",261.16M
"Sept. 30, 1993",260.87M
"Aug. 31, 1993",260.57M
"July 31, 1993",260.26M
"June 30, 1993",259.96M
"May 31, 1993",259.68M
"April 30, 1993",259.41M
"March 31, 1993",259.15M
"Feb. 28, 1993",258.92M
"Jan. 31, 1993",258.68M
"Dec. 31, 1992",258.41M
"Nov. 30, 1992",258.15M
"Oct. 31, 1992",257.86M
"Sept. 30, 1992",257.55M
"Aug. 31, 1992",257.23M
"July 31, 1992",256.89M
"June 30, 1992",256.59M
"May 31, 1992",256.28M
"April 30, 1992",255.99M
"March 31, 1992",255.70M
"Feb. 29, 1992",255.45M
"Jan. 31, 1992",255.21M
"Dec. 31, 1991",254.96M
"Nov. 30, 1991",254.72M
"Oct. 31, 1991",254.44M
"Sept. 30, 1991",254.13M
"Aug. 31, 1991",253.81M
"July 31, 1991",253.49M
"June 30, 1991",253.21M
"May 31, 1991",252.91M
"April 30, 1991",252.64M
"March 31, 1991",252.37M
"Feb. 28, 1991",252.14M
"Jan. 31, 1991",251.89M
"Dec. 31, 1990",251.63M
"Nov. 30, 1990",251.35M
"Oct. 31, 1990",251.06M
"Sept. 30, 1990",250.75M
"Aug. 31, 1990",250.44M
"July 31, 1990",250.13M
"June 30, 1990",249.85M
"May 31, 1990",249.56M
"April 30, 1990",249.31M
"March 31, 1990",249.01M
"Feb. 28, 1990",248.83M
"Jan. 31, 1990",248.66M
"Dec. 31, 1989",248.48M
"Nov. 30, 1989",248.28M
"Oct. 31, 1989",248.07M
"Sept. 30, 1989",247.82M
"Aug. 31, 1989",247.57M
"July 31, 1989",247.34M
"June 30, 1989",247.11M
"May 31, 1989",246.91M
"April 30, 1989",246.72M
"March 31, 1989",246.53M
"Feb. 28, 1989",246.38M
"Jan. 31, 1989",246.22M
"Dec. 31, 1988",246.06M
"Nov. 30, 1988",245.88M
"Oct. 31, 1988",245.69M
"Sept. 30, 1988",245.46M
"Aug. 31, 1988",245.24M
"July 31, 1988",245.02M
"June 30, 1988",244.81M
"May 31, 1988",244.61M
"April 30, 1988",244.44M
"March 31, 1988",244.28M
"Feb. 29, 1988",244.13M
"Jan. 31, 1988",243.98M
"Dec. 31, 1987",243.81M
"Nov. 30, 1987",243.64M
"Oct. 31, 1987",243.45M
"Sept. 30, 1987",243.22M
"Aug. 31, 1987",243.01M
"July 31, 1987",242.80M
"June 30, 1987",242.61M
"May 31, 1987",242.42M
"April 30, 1987",242.25M
"March 31, 1987",242.08M
"Feb. 28, 1987",241.93M
"Jan. 31, 1987",241.78M
"Dec. 31, 1986",241.62M
"Nov. 30, 1986",241.47M
"Oct. 31, 1986",241.27M
"Sept. 30, 1986",241.07M
"Aug. 31, 1986",240.85M
"July 31, 1986",240.65M
"June 30, 1986",240.46M
"May 31, 1986",240.27M
"April 30, 1986",240.09M
"March 31, 1986",239.93M
"Feb. 28, 1986",239.79M
"Jan. 31, 1986",239.64M
"Dec. 31, 1985",239.48M
"Nov. 30, 1985",239.31M
"Oct. 31, 1985",239.11M
"Sept. 30, 1985",238.90M
"Aug. 31, 1985",238.68M
"July 31, 1985",238.47M
"June 30, 1985",238.27M
"May 31, 1985",238.07M
"April 30, 1985",237.90M
"March 31, 1985",237.73M
"Feb. 28, 1985",237.60M
"Jan. 31, 1985",237.47M
"Dec. 31, 1984",237.32M
"Nov. 30, 1984",237.16M
"Oct. 31, 1984",236.98M
"Sept. 30, 1984",236.76M
"Aug. 31, 1984",236.55M
"July 31, 1984",236.35M
"June 30, 1984",236.16M
"May 31, 1984",235.99M
"April 30, 1984",235.84M
"March 31, 1984",235.68M
"Feb. 29, 1984",235.53M
"Jan. 31, 1984",235.38M
"Dec. 31, 1983",235.24M
"Nov. 30, 1983",235.08M
"Oct. 31, 1983",234.91M
"Sept. 30, 1983",234.70M
"Aug. 31, 1983",234.50M
"July 31, 1983",234.31M
"June 30, 1983",234.12M
"May 31, 1983",233.92M
"April 30, 1983",233.78M
"March 31, 1983",233.61M
"Feb. 28, 1983",233.47M
"Jan. 31, 1983",233.32M
"Dec. 31, 1982",233.16M
"Nov. 30, 1982",232.99M
"Oct. 31, 1982",232.82M
"Sept. 30, 1982",232.60M
"Aug. 31, 1982",232.39M
"July 31, 1982",232.19M
"June 30, 1982",231.99M
"May 31, 1982",231.81M
"April 30, 1982",231.64M
"March 31, 1982",231.47M
"Feb. 28, 1982",231.31M
"Jan. 31, 1982",231.16M
"Dec. 31, 1981",230.99M
"Nov. 30, 1981",230.82M
"Oct. 31, 1981",230.64M
"Sept. 30, 1981",230.41M
"Aug. 31, 1981",230.19M
"July 31, 1981",229.97M
"June 30, 1981",229.76M
"May 31, 1981",229.58M
"April 30, 1981",229.40M
"March 31, 1981",229.22M
"Feb. 28, 1981",229.07M
"Jan. 31, 1981",228.94M
"Dec. 31, 1980",228.78M
"Nov. 30, 1980",228.61M
"Oct. 31, 1980",228.42M
"Sept. 30, 1980",228.19M
"Aug. 31, 1980",227.95M
"July 31, 1980",227.73M
"June 30, 1980",227.52M
"May 31, 1980",227.25M
"April 30, 1980",227.06M
"March 31, 1980",226.85M
"Feb. 29, 1980",226.66M
"Jan. 31, 1980",226.45M
"Dec. 31, 1979",226.24M
"Nov. 30, 1979",226.03M
"Oct. 31, 1979",225.80M
"Sept. 30, 1979",225.55M
"Aug. 31, 1979",225.30M
"July 31, 1979",225.06M
"June 30, 1979",224.84M
"May 31, 1979",224.63M
"April 30, 1979",224.44M
"March 31, 1979",224.24M
"Feb. 28, 1979",224.05M
"Jan. 31, 1979",223.86M
"Dec. 31, 1978",223.67M
"Nov. 30, 1978",223.48M
"Oct. 31, 1978",223.27M
"Sept. 30, 1978",223.05M
"Aug. 31, 1978",222.80M
"July 31, 1978",222.58M
"June 30, 1978",222.38M
"May 31, 1978",222.18M
"April 30, 1978",221.99M
"March 31, 1978",221.79M
"Feb. 28, 1978",221.63M
"Jan. 31, 1978",221.48M
"Dec. 31, 1977",221.30M
"Nov. 30, 1977",221.11M
"Oct. 31, 1977",220.90M
"Sept. 30, 1977",220.69M
"Aug. 31, 1977",220.46M
"July 31, 1977",220.24M
"June 30, 1977",220.05M
"May 31, 1977",219.86M
"April 30, 1977",219.68M
"March 31, 1977",219.50M
"Feb. 28, 1977",219.34M
"Jan. 31, 1977",219.18M
"Dec. 31, 1976",219.01M
"Nov. 30, 1976",218.83M
"Oct. 31, 1976",218.64M
"Sept. 30, 1976",218.44M
"Aug. 31, 1976",218.23M
"July 31, 1976",218.04M
"June 30, 1976",217.86M
"May 31, 1976",217.68M
"April 30, 1976",217.53M
"March 31, 1976",217.38M
"Feb. 29, 1976",217.25M
"Jan. 31, 1976",217.10M
"Dec. 31, 1975",216.93M
"Nov. 30, 1975",216.77M
"Oct. 31, 1975",216.59M
"Sept. 30, 1975",216.39M
