date,current_ratio
"Dec. 31, 2019",0.4481
"Sept. 30, 2019",0.4894
"June 30, 2019",0.4895
"March 31, 2019",0.436
"Dec. 31, 2018",0.4773
"Sept. 30, 2018",0.581
"June 30, 2018",0.5505
"March 31, 2018",0.5687
"Dec. 31, 2017",0.5955
"Sept. 30, 2017",0.6534
"June 30, 2017",0.6837
"March 31, 2017",0.6951
"Dec. 31, 2016",0.7442
"Sept. 30, 2016",0.7602
"June 30, 2016",0.7497
"March 31, 2016",0.7071
"Dec. 31, 2015",0.7339
"Sept. 30, 2015",0.9679
"June 30, 2015",0.9378
"March 31, 2015",0.9927
"Dec. 31, 2014",0.8766
"Sept. 30, 2014",0.9685
"June 30, 2014",0.9919
"March 31, 2014",1.008
"Dec. 31, 2013",1.037
"Sept. 30, 2013",1.014
"June 30, 2013",0.9031
"March 31, 2013",0.7533
"Dec. 31, 2012",0.7848
"Sept. 30, 2012",0.7618
"June 30, 2012",0.7932
"March 31, 2012",0.815
"Dec. 31, 2011",0.783
"Sept. 30, 2011",0.7663
"June 30, 2011",0.8189
"March 31, 2011",0.8957
"Dec. 31, 2010",0.7788
"Sept. 30, 2010",0.7649
"June 30, 2010",0.7847
"March 31, 2010",0.8293
"Dec. 31, 2009",0.8595
"Sept. 30, 2009",0.8167
"June 30, 2009",0.6215
"March 31, 2009",0.6019
"Dec. 31, 2008",0.6334
"Sept. 30, 2008",0.7915
"June 30, 2008",0.8526
"March 31, 2008",0.7849
"Dec. 31, 2007",0.8522
"Sept. 30, 2007",0.8729
"June 30, 2007",0.9143
"March 31, 2007",0.8744
"Dec. 31, 2006",0.8115
"Sept. 30, 2006",0.8614
"June 30, 2006",0.8492
"March 31, 2006",0.78
"Dec. 31, 2005",0.7452
"Sept. 30, 2005",0.7608
"June 30, 2005",0.7219
"March 31, 2005",0.7011
"Dec. 31, 2004",0.7083
"Sept. 30, 2004",0.744
"June 30, 2004",0.7555
"March 31, 2004",0.7603
"Dec. 31, 2003",0.7138
"Sept. 30, 2003",0.7117
"June 30, 2003",0.5998
"March 31, 2003",0.5138
"Dec. 31, 2002",0.6819
"Sept. 30, 2002",0.8295
"June 30, 2002",0.784
"March 31, 2002",0.8464
"Dec. 31, 2001",0.8747
"Sept. 30, 2001",0.7505
"June 30, 2001",0.6554
"March 31, 2001",0.6781
"Dec. 31, 2000",0.7409
"Sept. 30, 2000",0.7352
"June 30, 2000",0.7567
"March 31, 2000",0.7961
"Dec. 31, 1999",0.754
"Sept. 30, 1999",0.7854
"June 30, 1999",0.7318
"March 31, 1999",0.7099
"Dec. 31, 1998",0.7486
"Sept. 30, 1998",0.8722
"June 30, 1998",0.8955
"March 31, 1998",0.8866
"Dec. 31, 1997",0.8948
"Sept. 30, 1997",0.9149
"June 30, 1997",0.9142
"March 31, 1997",0.8513
"Dec. 31, 1996",0.8031
"Sept. 30, 1996",0.7893
"June 30, 1996",0.7381
"March 31, 1996",0.7178
"Dec. 31, 1995",0.6684
"Sept. 30, 1995",0.7045
"June 30, 1995",0.6292
"March 31, 1995",0.6033
"Dec. 31, 1994",0.6586
"Sept. 30, 1994",0.709
"June 30, 1994",0.633
"March 31, 1994",0.6414
"Dec. 31, 1993",0.609
"Sept. 30, 1993",0.6873
"June 30, 1993",0.706
"March 31, 1993",0.7456
"Dec. 31, 1992",0.6076
"Sept. 30, 1992",0.5895
"June 30, 1992",0.6216
"March 31, 1992",0.7178
"Dec. 31, 1991",0.5917
"Sept. 30, 1991",0.6792
"June 30, 1991",0.626
"March 31, 1991",0.6326
"Dec. 31, 1990",0.5509
"Sept. 30, 1990",0.616
"June 30, 1990",0.5961
"March 31, 1990",0.6241
"Dec. 31, 1989",0.6011
"Sept. 30, 1989",0.8245
"June 30, 1989",0.7925
"March 31, 1989",
"Dec. 31, 1988",0.9354
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",1.036
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",1.063
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",1.260
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",1.404
