date,eps_est_0q
"March 18, 2020",-0.2185
"March 16, 2020",-0.0716
"March 13, 2020",0.0947
"March 11, 2020",0.262
"March 9, 2020",0.3147
"March 6, 2020",0.3645
"March 5, 2020",0.4078
"March 3, 2020",0.4303
"March 2, 2020",0.4347
"Feb. 28, 2020",0.4515
"Feb. 25, 2020",0.4385
"Feb. 24, 2020",0.4364
"Feb. 21, 2020",0.438
"Feb. 7, 2020",0.4303
"Feb. 4, 2020",0.4414
"Jan. 31, 2020",0.4247
"Jan. 29, 2020",0.4458
"Jan. 27, 2020",0.4606
"Jan. 25, 2020",0.4749
"Jan. 24, 2020",0.4678
"Jan. 23, 2020",0.4173
"Jan. 22, 2020",0.3957
"Jan. 21, 2020",0.3956
"Jan. 16, 2020",0.4138
"Jan. 15, 2020",0.4138
"Jan. 14, 2020",0.4203
"Jan. 13, 2020",0.4232
"Jan. 10, 2020",0.4758
"Jan. 8, 2020",0.4677
"Jan. 6, 2020",0.4741
"Jan. 2, 2020",0.5059
"Dec. 31, 2019",1.156
"Dec. 19, 2019",1.273
"Nov. 22, 2019",1.264
"Nov. 13, 2019",1.263
"Nov. 11, 2019",1.261
"Nov. 6, 2019",1.263
"Nov. 1, 2019",1.267
"Oct. 28, 2019",1.269
"Oct. 25, 2019",1.278
"Oct. 24, 2019",1.331
"Oct. 21, 2019",1.266
"Oct. 14, 2019",1.271
"Oct. 10, 2019",1.270
"Oct. 9, 2019",1.270
"Oct. 8, 2019",1.271
"Oct. 7, 2019",1.279
"Oct. 3, 2019",1.284
"Oct. 2, 2019",1.284
"Oct. 1, 2019",1.282
"Sept. 30, 2019",1.398
"Sept. 29, 2019",1.331
"Sept. 24, 2019",1.328
"Sept. 23, 2019",1.327
"Sept. 6, 2019",1.331
"Aug. 28, 2019",1.340
"Aug. 19, 2019",1.340
"Aug. 16, 2019",1.341
"Aug. 14, 2019",1.346
"Aug. 2, 2019",1.348
"July 30, 2019",1.354
"July 29, 2019",1.348
"July 26, 2019",1.352
"July 25, 2019",1.407
"July 17, 2019",1.489
"July 16, 2019",1.487
"July 15, 2019",1.484
"July 12, 2019",1.481
"July 11, 2019",1.481
"July 10, 2019",1.453
"July 9, 2019",1.421
"July 8, 2019",1.420
"June 30, 2019",1.788
"June 27, 2019",1.688
"June 24, 2019",1.687
"June 17, 2019",1.684
"May 19, 2019",1.675
"May 13, 2019",1.68
"May 7, 2019",1.680
"May 6, 2019",1.677
"April 30, 2019",1.690
"April 29, 2019",1.719
"April 27, 2019",1.825
"April 26, 2019",1.846
"April 22, 2019",1.948
"April 17, 2019",1.952
"April 16, 2019",1.953
"April 12, 2019",1.960
"April 11, 2019",1.966
"April 10, 2019",1.97
"April 9, 2019",2.002
"April 8, 2019",2.067
"April 5, 2019",2.086
"April 4, 2019",2.079
"April 1, 2019",2.100
"March 31, 2019",0.50
"March 29, 2019",0.5853
"March 28, 2019",0.5991
"March 18, 2019",0.603
"March 8, 2019",0.6097
"March 7, 2019",0.6175
"March 1, 2019",0.6153
"Feb. 22, 2019",0.6225
"Feb. 13, 2019",0.6247
"Jan. 28, 2019",0.6536
"Jan. 25, 2019",0.6926
"Jan. 24, 2019",0.7875
"Jan. 23, 2019",0.8222
"Jan. 17, 2019",0.8329
"Jan. 15, 2019",0.8423
"Jan. 14, 2019",0.8304
"Jan. 12, 2019",0.7973
"Jan. 11, 2019",0.7984
"Jan. 10, 2019",0.8096
