date,year_low
"March 19, 2020",10.01
"March 18, 2020",10.17
"March 17, 2020",12.00
"March 16, 2020",12.00
"March 13, 2020",13.12
"March 12, 2020",13.33
"March 11, 2020",14.46
"March 10, 2020",14.46
"March 9, 2020",14.46
"March 6, 2020",14.80
"March 5, 2020",15.98
"March 4, 2020",17.30
"March 3, 2020",17.51
"March 2, 2020",17.51
"Feb. 28, 2020",18.77
"Feb. 27, 2020",19.77
"Feb. 26, 2020",22.11
"Feb. 25, 2020",23.05
"Feb. 24, 2020",24.23
"Feb. 21, 2020",24.23
"Feb. 20, 2020",24.23
"Feb. 19, 2020",24.23
"Feb. 18, 2020",24.23
"Feb. 14, 2020",24.23
"Feb. 13, 2020",24.23
"Feb. 12, 2020",24.23
"Feb. 11, 2020",24.23
"Feb. 10, 2020",24.23
"Feb. 7, 2020",24.23
"Feb. 6, 2020",24.23
"Feb. 5, 2020",24.23
"Feb. 4, 2020",24.23
"Feb. 3, 2020",24.23
"Jan. 31, 2020",24.23
"Jan. 30, 2020",24.23
"Jan. 29, 2020",24.23
"Jan. 28, 2020",24.23
"Jan. 27, 2020",24.23
"Jan. 24, 2020",24.23
"Jan. 23, 2020",24.23
"Jan. 22, 2020",24.23
"Jan. 21, 2020",24.23
"Jan. 17, 2020",24.23
"Jan. 16, 2020",24.23
"Jan. 15, 2020",24.23
"Jan. 14, 2020",24.23
"Jan. 13, 2020",24.23
"Jan. 10, 2020",24.23
"Jan. 9, 2020",24.23
"Jan. 8, 2020",24.23
"Jan. 7, 2020",24.23
"Jan. 6, 2020",24.23
"Jan. 3, 2020",24.23
"Jan. 2, 2020",24.23
"Dec. 31, 2019",24.23
"Dec. 30, 2019",24.23
"Dec. 27, 2019",24.23
"Dec. 26, 2019",24.23
"Dec. 24, 2019",24.23
"Dec. 23, 2019",24.23
"Dec. 20, 2019",24.23
"Dec. 19, 2019",24.23
"Dec. 18, 2019",24.23
"Dec. 17, 2019",24.23
"Dec. 16, 2019",24.23
"Dec. 13, 2019",24.23
"Dec. 12, 2019",24.23
"Dec. 11, 2019",24.23
"Dec. 10, 2019",24.23
"Dec. 9, 2019",24.23
"Dec. 6, 2019",24.23
"Dec. 5, 2019",24.23
"Dec. 4, 2019",24.23
"Dec. 3, 2019",24.23
"Dec. 2, 2019",24.23
"Nov. 29, 2019",24.23
"Nov. 27, 2019",24.23
"Nov. 26, 2019",24.23
"Nov. 25, 2019",24.23
"Nov. 22, 2019",24.23
"Nov. 21, 2019",24.23
"Nov. 20, 2019",24.23
"Nov. 19, 2019",24.23
"Nov. 18, 2019",24.23
"Nov. 15, 2019",24.23
"Nov. 14, 2019",24.23
"Nov. 13, 2019",24.23
"Nov. 12, 2019",24.23
"Nov. 11, 2019",24.23
"Nov. 8, 2019",24.23
"Nov. 7, 2019",24.23
"Nov. 6, 2019",24.23
"Nov. 5, 2019",24.23
"Nov. 4, 2019",24.23
"Nov. 1, 2019",24.23
"Oct. 31, 2019",24.23
"Oct. 30, 2019",24.23
"Oct. 29, 2019",24.23
"Oct. 28, 2019",24.23
"Oct. 25, 2019",24.23
"Oct. 24, 2019",24.23
"Oct. 23, 2019",24.23
"Oct. 22, 2019",24.23
"Oct. 21, 2019",24.23
"Oct. 18, 2019",24.23
"Oct. 17, 2019",24.23
"Oct. 16, 2019",24.23
"Oct. 15, 2019",24.23
"Oct. 14, 2019",24.23
"Oct. 11, 2019",24.23
"Oct. 10, 2019",24.23
"Oct. 9, 2019",24.23
"Oct. 8, 2019",24.23
"Oct. 7, 2019",24.23
"Oct. 4, 2019",24.23
"Oct. 3, 2019",24.23
"Oct. 2, 2019",24.23
"Oct. 1, 2019",24.23
"Sept. 30, 2019",24.23
"Sept. 27, 2019",24.23
"Sept. 26, 2019",24.23
"Sept. 25, 2019",24.23
"Sept. 24, 2019",24.23
"Sept. 23, 2019",24.23
"Sept. 20, 2019",24.23
"Sept. 19, 2019",24.23
"Sept. 18, 2019",24.23
"Sept. 17, 2019",24.23
"Sept. 16, 2019",24.23
"Sept. 13, 2019",24.23
"Sept. 12, 2019",24.23
"Sept. 11, 2019",24.23
"Sept. 10, 2019",24.23
"Sept. 9, 2019",24.23
"Sept. 6, 2019",24.23
"Sept. 5, 2019",24.23
"Sept. 4, 2019",24.23
"Sept. 3, 2019",24.23
"Aug. 30, 2019",24.23
"Aug. 29, 2019",24.23
"Aug. 28, 2019",24.23
"Aug. 27, 2019",24.32
"Aug. 26, 2019",25.03
"Aug. 23, 2019",25.14
"Aug. 22, 2019",25.14
"Aug. 21, 2019",25.14
"Aug. 20, 2019",25.14
"Aug. 19, 2019",25.14
"Aug. 16, 2019",25.14
"Aug. 15, 2019",25.14
"Aug. 14, 2019",26.09
"Aug. 13, 2019",27.02
"Aug. 12, 2019",27.02
"Aug. 9, 2019",27.02
"Aug. 8, 2019",27.02
"Aug. 7, 2019",27.02
"Aug. 6, 2019",27.02
"Aug. 5, 2019",27.02
"Aug. 2, 2019",27.02
"Aug. 1, 2019",27.02
"July 31, 2019",27.02
"July 30, 2019",27.02
"July 29, 2019",27.02
"July 26, 2019",27.02
"July 25, 2019",27.02
"July 24, 2019",27.02
"July 23, 2019",27.02
"July 22, 2019",27.02
"July 19, 2019",27.02
"July 18, 2019",27.02
"July 17, 2019",27.02
"July 16, 2019",27.02
"July 15, 2019",27.02
"July 12, 2019",27.02
"July 11, 2019",27.02
"July 10, 2019",27.02
"July 9, 2019",27.02
