Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03
Operating Revenue,1.316B,1.659B,1.379B,1.556B,1.419B,1.724B,1.563B,1.585B,1.399B,1.723B,1.537B,1.515B,1.356B,1.859B,1.427B,1.434B,1.308B,1.833B,1.401B,1.556B,1.37B,1.67B,1.419B,1.594B,1.322B,1.638B,1.403B,1.475B,1.258B,1.709B,1.402B,1.412B,195.00M,2.268B,1.781B,1.904B,1.706B,2.267B,1.725B,1.94B,1.72B,1.815B,1.684B,1.916B,1.938B,2.06B,1.79B,2.081B,1.796B,1.997B,1.728B,2.024B,1.62B,1.91B,1.55B,1.80B,1.701B,1.868B,1.584B,1.625B,1.477B,1.307B,1.149B,1.218B,1.017B,1.353B,1.088B,1.108B,823.00M,1.166B,978.00M,1.115B,355.00M,1.422B,1.057B,1.025B,894.76M,1.195B,940.71M,825.38M,734.33M,1.194B,859.88M,735.90M,678.51M,1.117B,821.80M,700.80M,731.90M,1.043B,791.80M,759.70M
Revenue,1.316B,1.659B,1.379B,1.556B,1.419B,1.724B,1.563B,1.585B,1.399B,1.723B,1.537B,1.515B,1.356B,1.859B,1.427B,1.434B,1.308B,1.833B,1.401B,1.556B,1.37B,1.67B,1.419B,1.594B,1.322B,1.638B,1.403B,1.475B,1.258B,1.709B,1.402B,1.412B,195.00M,2.268B,1.781B,1.904B,1.706B,2.267B,1.725B,1.94B,1.72B,1.815B,1.684B,1.916B,1.938B,2.06B,1.79B,2.081B,1.796B,1.997B,1.728B,2.024B,1.62B,1.91B,1.55B,1.80B,1.701B,1.868B,1.584B,1.625B,1.477B,1.307B,1.149B,1.218B,1.017B,1.353B,1.088B,1.108B,823.00M,1.166B,978.00M,1.115B,355.00M,1.422B,1.057B,1.025B,894.76M,1.195B,940.71M,825.38M,734.33M,1.194B,859.88M,735.90M,678.51M,1.117B,821.80M,700.80M,731.90M,1.043B,791.80M,759.70M
Cost of Goods Sold,781.00M,760.00M,732.00M,894.00M,902.00M,823.00M,818.00M,953.00M,846.00M,800.00M,811.00M,934.00M,944.00M,828.00M,777.00M,893.00M,862.00M,878.00M,779.00M,982.00M,945.00M,801.00M,800.00M,1.04B,869.00M,775.00M,853.00M,993.00M,867.00M,856.00M,780.00M,974.00M,1.524B,845.00M,687.00M,894.00M,2.564B,821.00M,637.00M,897.00M,701.00M,619.00M,589.00M,890.00M,978.00M,905.00M,611.00M,1.048B,862.00M,825.00M,710.00M,636.00M,786.00M,707.00M,628.00M,978.00M,938.00M,711.00M,591.00M,770.00M,653.00M,367.00M,354.00M,486.00M,363.00M,387.00M,322.00M,232.00M,41.00M,265.00M,231.00M,525.00M,-411.00M,505.00M,,439.71M,357.88M,308.79M,270.09M,297.92M,,,248.00M,240.04M,182.90M,252.80M,226.30M,209.90M,,,,
Gross Profit,535.00M,899.00M,647.00M,662.00M,517.00M,901.00M,745.00M,632.00M,553.00M,923.00M,726.00M,581.00M,412.00M,1.031B,650.00M,541.00M,446.00M,955.00M,622.00M,574.00M,425.00M,869.00M,619.00M,554.00M,453.00M,863.00M,550.00M,482.00M,391.00M,853.00M,622.00M,438.00M,-1.329B,1.423B,1.094B,1.01B,-858.00M,1.446B,1.088B,1.043B,1.019B,1.196B,1.095B,1.026B,960.00M,1.155B,1.179B,1.033B,934.00M,1.172B,1.018B,1.388B,834.00M,1.203B,922.00M,822.00M,763.00M,1.157B,993.00M,855.00M,824.00M,940.00M,795.00M,732.00M,654.00M,966.00M,766.00M,876.00M,782.00M,901.00M,747.00M,590.00M,766.00M,917.00M,,584.82M,536.88M,886.62M,670.61M,527.45M,,,611.88M,495.86M,495.61M,864.30M,595.50M,490.90M,,,,
Special Income and Charges,4.00M,6.00M,7.00M,0.00,-7.00M,7.00M,3.00M,0.00,7.00M,6.00M,2.00M,1.00M,-1.00M,6.00M,3.00M,3.00M,6.00M,8.00M,4.00M,-3.00M,7.00M,7.00M,8.00M,2.00M,6.00M,8.00M,7.00M,4.00M,4.00M,6.00M,5.00M,-3.00M,27.00M,-111.00M,10.00M,11.00M,-18.00M,-575.00M,22.00M,15.00M,6.00M,13.00M,10.00M,4.00M,-3.00M,13.00M,11.00M,15.00M,76.00M,-7.00M,12.00M,-3.00M,37.00M,2.00M,2.00M,4.00M,23.00M,-2.00M,-4.00M,1.00M,25.00M,-7.00M,-2.00M,2.00M,8.00M,-1.00M,1.00M,3.00M,1.00M,3.00M,-34.00M,-1.00M,16.00M,7.00M,,-4.685M,9.081M,-5.481M,-6.119M,-4.922M,,,-1.70M,-2.265M,2.70M,-0.50M,-1.60M,-3.10M,,,,
Non Income Taxes,106.00M,131.00M,118.00M,126.00M,109.00M,127.00M,122.00M,125.00M,113.00M,129.00M,117.00M,118.00M,109.00M,129.00M,115.00M,114.00M,104.00M,128.00M,116.00M,125.00M,106.00M,121.00M,114.00M,127.00M,104.00M,121.00M,111.00M,122.00M,106.00M,114.00M,110.00M,113.00M,78.00M,121.00M,109.00M,125.00M,107.00M,119.00M,102.00M,121.00M,109.00M,104.00M,97.00M,110.00M,104.00M,98.00M,89.00M,113.00M,86.00M,97.00M,96.00M,102.00M,89.00M,99.00M,90.00M,113.00M,81.00M,98.00M,95.00M,91.00M,81.00M,77.00M,74.00M,80.00M,61.00M,83.00M,77.00M,78.00M,51.00M,74.00M,69.00M,68.00M,58.00M,75.00M,,67.19M,61.85M,75.54M,66.77M,60.92M,,,61.20M,59.92M,58.90M,78.20M,70.90M,64.70M,,,,
Operating Interest Expense,91.00M,96.00M,97.00M,97.00M,99.00M,101.00M,100.00M,101.00M,96.00M,97.00M,99.00M,99.00M,95.00M,97.00M,95.00M,95.00M,91.00M,87.00M,89.00M,88.00M,75.00M,85.00M,89.00M,92.00M,109.00M,88.00M,100.00M,101.00M,97.00M,99.00M,98.00M,98.00M,51.00M,113.00M,104.00M,119.00M,120.00M,130.00M,115.00M,132.00M,132.00M,134.00M,124.00M,118.00M,109.00M,113.00M,118.00M,100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,8.00M,8.00M,9.00M,8.00M,8.00M,8.00M,9.00M,8.00M,9.00M,7.00M,9.00M,9.00M,9.00M,10.00M,10.00M,11.00M,9.00M,11.00M,10.00M,11.00M,9.00M,9.00M,9.00M,9.00M,6.00M,9.00M,8.00M,7.00M,7.00M,7.00M,11.00M,7.00M,,,,,,,,,,,,8.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-83.00M,-88.00M,-88.00M,-89.00M,-91.00M,-93.00M,-91.00M,-93.00M,-87.00M,-90.00M,-90.00M,-90.00M,-86.00M,-87.00M,-85.00M,-84.00M,-82.00M,-76.00M,-79.00M,-77.00M,-66.00M,-76.00M,-80.00M,-83.00M,-103.00M,-79.00M,-92.00M,-94.00M,-90.00M,-92.00M,-87.00M,-91.00M,-20.00M,-113.00M,-104.00M,-119.00M,-87.00M,-130.00M,-115.00M,-132.00M,-132.00M,-134.00M,-124.00M,-110.00M,-109.00M,-113.00M,-118.00M,-100.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,0.00,,69.00M,,,,,,,,,,,,,,,,,,,,,,,422.00M,451.00M,421.00M,,456.00M,476.00M,430.00M,458.00M,417.00M,420.00M,810.00M,419.00M,395.00M,394.00M,348.00M,378.00M,391.00M,375.00M,345.00M,381.00M,314.00M,343.00M,306.00M,323.00M,251.00M,307.00M,473.00M,615.00M,278.00M,295.00M,266.00M,498.00M,251.00M,,253.48M,295.16M,257.34M,271.80M,214.35M,,,263.00M,203.58M,245.50M,254.50M,247.50M,211.80M,,,,
Total Operating Expenses,356.00M,379.00M,367.00M,374.00M,351.00M,368.00M,360.00M,359.00M,341.00M,354.00M,339.00M,339.00M,326.00M,340.00M,325.00M,321.00M,306.00M,329.00M,385.00M,318.00M,300.00M,308.00M,297.00M,308.00M,282.00M,296.00M,289.00M,297.00M,283.00M,275.00M,278.00M,280.00M,-1.232B,749.00M,776.00M,783.00M,-1.056B,768.00M,757.00M,745.00M,767.00M,711.00M,730.00M,705.00M,777.00M,727.00M,736.00M,712.00M,691.00M,690.00M,692.00M,1.095B,680.00M,656.00M,646.00M,626.00M,619.00M,647.00M,627.00M,593.00M,621.00M,527.00M,549.00M,516.00M,515.00M,466.00M,516.00M,675.00M,776.00M,460.00M,470.00M,441.00M,659.00M,430.00M,,419.40M,456.04M,417.23M,432.17M,374.62M,,,419.60M,360.94M,401.30M,427.10M,408.40M,370.60M,,,,
