date,cash_dividend_payout_ratio
"Dec. 31, 2019",-173.5%
"Sept. 30, 2019",-183.9%
"June 30, 2019",-351.9%
"March 31, 2019",-3.51K%
"Dec. 31, 2018",-268.5%
"Sept. 30, 2018",-244.5%
"June 30, 2018",-220.0%
"March 31, 2018",-207.1%
"Dec. 31, 2017",-559.7%
"Sept. 30, 2017",1.19K%
"June 30, 2017",683.9%
"March 31, 2017",-913.0%
"Dec. 31, 2016",-2.97K%
"Sept. 30, 2016",-430.2%
"June 30, 2016",-385.8%
"March 31, 2016",2.54K%
"Dec. 31, 2015",648.4%
"Sept. 30, 2015",1.89K%
"June 30, 2015",-299.2%
"March 31, 2015",-193.1%
"Dec. 31, 2014",-132.7%
"Sept. 30, 2014",-191.1%
"June 30, 2014",-251.9%
"March 31, 2014",-1.05K%
"Dec. 31, 2013",144.2%
"Sept. 30, 2013",102.6%
"June 30, 2013",81.04%
"March 31, 2013",73.54%
"Dec. 31, 2012",71.27%
"Sept. 30, 2012",56.97%
"June 30, 2012",47.00%
"March 31, 2012",51.10%
"Dec. 31, 2011",40.11%
"Sept. 30, 2011",48.82%
"June 30, 2011",42.64%
"March 31, 2011",38.87%
"Dec. 31, 2010",51.61%
"Sept. 30, 2010",62.82%
"June 30, 2010",87.29%
"March 31, 2010",197.1%
"Dec. 31, 2009",175.1%
"Sept. 30, 2009",1.12K%
"June 30, 2009",-295.7%
"March 31, 2009",-182.9%
"Dec. 31, 2008",-97.98%
"Sept. 30, 2008",-131.3%
"June 30, 2008",-101.8%
"March 31, 2008",-108.1%
"Dec. 31, 2007",-157.9%
"Sept. 30, 2007",-241.3%
"June 30, 2007",-820.3%
"March 31, 2007",387.4%
"Dec. 31, 2006",210.5%
"Sept. 30, 2006",248.3%
"June 30, 2006",462.5%
"March 31, 2006",212.8%
"Dec. 31, 2005",170.9%
"Sept. 30, 2005",89.88%
"June 30, 2005",89.29%
"March 31, 2005",124.6%
"Dec. 31, 2004",148.3%
"Sept. 30, 2004",341.8%
"June 30, 2004",146.2%
"March 31, 2004",125.8%
"Dec. 31, 2003",120.6%
"Sept. 30, 2003",150.0%
"June 30, 2003",213.4%
"March 31, 2003",251.3%
"Dec. 31, 2002",2.09K%
"Sept. 30, 2002",-258.5%
"June 30, 2002",-268.6%
"March 31, 2002",-84.40%
"Dec. 31, 2001",-89.72%
"Sept. 30, 2001",-119.5%
"June 30, 2001",-165.2%
"March 31, 2001",-355.7%
"Dec. 31, 2000",-368.1%
"Sept. 30, 2000",-468.5%
"June 30, 2000",5.21K%
"March 31, 2000",162.2%
"Dec. 31, 1999",107.3%
"Sept. 30, 1999",65.67%
"June 30, 1999",70.06%
"March 31, 1999",91.24%
"Dec. 31, 1998",76.11%
