date,ebitda_ttm
"Dec. 31, 2019",2.478B
"Sept. 30, 2019",2.435B
"June 30, 2019",2.431B
"March 31, 2019",2.527B
"Dec. 31, 2018",2.492B
"Sept. 30, 2018",2.51B
"June 30, 2018",2.521B
"March 31, 2018",2.497B
"Dec. 31, 2017",2.448B
"Sept. 30, 2017",2.372B
"June 30, 2017",2.469B
"March 31, 2017",2.38B
"Dec. 31, 2016",2.346B
"Sept. 30, 2016",2.33B
"June 30, 2016",2.257B
"March 31, 2016",2.162B
"Dec. 31, 2015",2.177B
"Sept. 30, 2015",2.141B
"June 30, 2015",2.057B
"March 31, 2015",2.129B
"Dec. 31, 2014",2.102B
"Sept. 30, 2014",2.137B
"June 30, 2014",2.127B
"March 31, 2014",2.042B
"Dec. 31, 2013",1.965B
"Sept. 30, 2013",1.896B
"June 30, 2013",1.894B
"March 31, 2013",1.978B
"Dec. 31, 2012",1.937B
"Sept. 30, 2012",1.688B
"June 30, 2012",1.684B
"March 31, 2012",1.672B
"Dec. 31, 2011",1.768B
"Sept. 30, 2011",2.13B
"June 30, 2011",1.675B
"March 31, 2011",1.703B
"Dec. 31, 2010",1.773B
"Sept. 30, 2010",1.799B
"June 30, 2010",2.201B
"March 31, 2010",2.227B
"Dec. 31, 2009",2.245B
"Sept. 30, 2009",2.155B
"June 30, 2009",2.079B
"March 31, 2009",2.136B
"Dec. 31, 2008",2.142B
"Sept. 30, 2008",2.267B
"June 30, 2008",2.295B
"March 31, 2008",2.174B
"Dec. 31, 2007",2.136B
"Sept. 30, 2007",1.985B
"June 30, 2007",2.056B
"March 31, 2007",2.014B
"Dec. 31, 2006",1.89B
"Sept. 30, 2006",1.924B
"June 30, 2006",1.865B
"March 31, 2006",1.949B
"Dec. 31, 2005",2.003B
"Sept. 30, 2005",2.02B
"June 30, 2005",1.91B
"March 31, 2005",1.741B
"Dec. 31, 2004",1.679B
"Sept. 30, 2004",1.582B
"June 30, 2004",1.666B
"March 31, 2004",1.684B
"Dec. 31, 2003",1.652B
"Sept. 30, 2003",1.495B
"June 30, 2003",1.411B
"March 31, 2003",1.407B
"Dec. 31, 2002",1.342B
"Sept. 30, 2002",1.429B
"June 30, 2002",1.479B
"March 31, 2002",2.238B
"Dec. 31, 2001",2.247B
"Sept. 30, 2001",2.217B
"June 30, 2001",2.180B
"March 31, 2001",1.360B
"Dec. 31, 2000",1.342B
"Sept. 30, 2000",-805.65M
"June 30, 2000",-184.36M
"March 31, 2000",-234.50M
"Dec. 31, 1999",-254.33M
"Sept. 30, 1999",1.905B
"June 30, 1999",1.243B
"March 31, 1999",1.232B
"Dec. 31, 1998",1.214B
"Sept. 30, 1998",1.755B
"June 30, 1998",2.266B
"March 31, 1998",2.781B
"Dec. 31, 1997",3.326B
