date,market_beta_60_month
"Feb. 29, 2020",0.2657
"Jan. 31, 2020",0.1676
"Dec. 31, 2019",0.19
"Nov. 30, 2019",0.171
"Oct. 31, 2019",0.1952
"Sept. 30, 2019",0.2225
"Aug. 31, 2019",0.2325
"July 31, 2019",0.244
"June 30, 2019",0.2667
"May 31, 2019",0.2724
"April 30, 2019",0.2733
"March 31, 2019",0.2901
"Feb. 28, 2019",0.2861
"Jan. 31, 2019",0.3092
"Dec. 31, 2018",0.2431
"Nov. 30, 2018",0.1772
"Oct. 31, 2018",0.1554
"Sept. 30, 2018",0.2056
"Aug. 31, 2018",0.2156
"July 31, 2018",0.2683
"June 30, 2018",0.2819
"May 31, 2018",0.2757
"April 30, 2018",0.257
"March 31, 2018",0.2642
"Feb. 28, 2018",0.3189
"Jan. 31, 2018",0.2776
"Dec. 31, 2017",0.3719
"Nov. 30, 2017",0.367
"Oct. 31, 2017",0.3785
"Sept. 30, 2017",0.3626
"Aug. 31, 2017",0.3692
"July 31, 2017",0.366
"June 30, 2017",0.3643
"May 31, 2017",0.3762
"April 30, 2017",0.3766
"March 31, 2017",0.3765
"Feb. 28, 2017",0.3788
"Jan. 31, 2017",0.3636
"Dec. 31, 2016",0.3215
"Nov. 30, 2016",0.3125
"Oct. 31, 2016",0.3163
"Sept. 30, 2016",0.3667
"Aug. 31, 2016",0.3482
"July 31, 2016",0.2843
"June 30, 2016",0.3031
"May 31, 2016",0.3193
"April 30, 2016",0.3154
"March 31, 2016",0.3178
"Feb. 29, 2016",0.28
"Jan. 31, 2016",0.2728
"Dec. 31, 2015",0.309
"Nov. 30, 2015",0.2793
"Oct. 31, 2015",0.2813
"Sept. 30, 2015",0.2804
"Aug. 31, 2015",0.3037
"July 31, 2015",0.1976
"June 30, 2015",0.2243
"May 31, 2015",0.2147
"April 30, 2015",0.2629
"March 31, 2015",0.2609
"Feb. 28, 2015",0.2862
"Jan. 31, 2015",0.3236
"Dec. 31, 2014",0.3634
"Nov. 30, 2014",0.3826
"Oct. 31, 2014",0.4025
"Sept. 30, 2014",0.4052
"Aug. 31, 2014",0.3749
"July 31, 2014",0.3799
"June 30, 2014",0.3502
"May 31, 2014",0.3365
"April 30, 2014",0.3344
"March 31, 2014",0.2931
"Feb. 28, 2014",0.2663
"Jan. 31, 2014",0.5356
"Dec. 31, 2013",0.5256
"Nov. 30, 2013",0.5267
"Oct. 31, 2013",0.4417
"Sept. 30, 2013",0.5452
"Aug. 31, 2013",0.5439
"July 31, 2013",0.5356
"June 30, 2013",0.5345
"May 31, 2013",0.5441
"April 30, 2013",0.5513
"March 31, 2013",0.5502
"Feb. 28, 2013",0.5423
"Jan. 31, 2013",0.5465
"Dec. 31, 2012",0.5883
"Nov. 30, 2012",0.5855
"Oct. 31, 2012",0.5814
"Sept. 30, 2012",0.5854
"Aug. 31, 2012",0.5909
"July 31, 2012",0.6005
"June 30, 2012",0.6002
"May 31, 2012",0.5996
"April 30, 2012",0.6059
"March 31, 2012",0.6113
"Feb. 29, 2012",0.6081
"Jan. 31, 2012",0.6108
"Dec. 31, 2011",0.6267
"Nov. 30, 2011",0.6263
"Oct. 31, 2011",0.6279
"Sept. 30, 2011",0.6259
"Aug. 31, 2011",0.6433
"July 31, 2011",0.6794
"June 30, 2011",0.6825
"May 31, 2011",0.6818
"April 30, 2011",0.6829
"March 31, 2011",0.6786
"Feb. 28, 2011",0.6787
"Jan. 31, 2011",0.6851
"Dec. 31, 2010",0.6824
"Nov. 30, 2010",0.7019
"Oct. 31, 2010",0.6962
"Sept. 30, 2010",0.6965
"Aug. 31, 2010",0.7151
"July 31, 2010",0.7616
"June 30, 2010",0.747
"May 31, 2010",0.7573
"April 30, 2010",0.7774
"March 31, 2010",0.7656
"Feb. 28, 2010",0.7538
"Jan. 31, 2010",0.7681
"Dec. 31, 2009",0.7477
"Nov. 30, 2009",0.7436
"Oct. 31, 2009",0.7253
"Sept. 30, 2009",0.7261
"Aug. 31, 2009",0.7464
"July 31, 2009",0.7369
"June 30, 2009",0.7389
"May 31, 2009",0.7337
"April 30, 2009",0.7472
"March 31, 2009",0.8218
"Feb. 28, 2009",0.8929
"Jan. 31, 2009",0.6639
"Dec. 31, 2008",0.7284
"Nov. 30, 2008",0.7471
