date,momentum_fractile
"Feb. 29, 2020",8.00
"Jan. 31, 2020",7.00
"Dec. 31, 2019",7.00
"Nov. 30, 2019",8.00
"Oct. 31, 2019",9.00
"Sept. 30, 2019",9.00
"Aug. 31, 2019",9.00
"July 31, 2019",9.00
"June 30, 2019",9.00
"May 31, 2019",9.00
"April 30, 2019",9.00
"March 31, 2019",9.00
"Feb. 28, 2019",9.00
"Jan. 31, 2019",9.00
"Dec. 31, 2018",8.00
"Nov. 30, 2018",8.00
"Oct. 31, 2018",7.00
"Sept. 30, 2018",6.00
"Aug. 31, 2018",7.00
"July 31, 2018",7.00
"June 30, 2018",6.00
"May 31, 2018",6.00
"April 30, 2018",6.00
"Feb. 28, 2018",5.00
"Jan. 31, 2018",6.00
"Dec. 31, 2017",8.00
"Nov. 30, 2017",7.00
"Oct. 31, 2017",7.00
"Sept. 30, 2017",8.00
"Aug. 31, 2017",5.00
"July 31, 2017",5.00
"June 30, 2017",7.00
"May 31, 2017",6.00
"April 30, 2017",6.00
"March 31, 2017",6.00
"Feb. 28, 2017",6.00
"Jan. 31, 2017",7.00
"Dec. 31, 2016",7.00
"Nov. 30, 2016",8.00
"Oct. 31, 2016",7.00
"Sept. 30, 2016",8.00
"Aug. 31, 2016",9.00
"July 31, 2016",10.00
"June 30, 2016",9.00
"May 31, 2016",9.00
"April 30, 2016",9.00
"March 31, 2016",9.00
"Feb. 29, 2016",8.00
"Jan. 31, 2016",6.00
"Dec. 31, 2015",8.00
"Nov. 30, 2015",7.00
"Oct. 31, 2015",9.00
"Sept. 30, 2015",8.00
"Aug. 31, 2015",8.00
"July 31, 2015",5.00
"June 30, 2015",7.00
"May 31, 2015",6.00
"April 30, 2015",7.00
"March 31, 2015",7.00
"Feb. 28, 2015",9.00
"Jan. 31, 2015",9.00
"Dec. 31, 2014",9.00
"Nov. 30, 2014",8.00
"Oct. 31, 2014",7.00
"Sept. 30, 2014",7.00
"Aug. 31, 2014",6.00
"July 31, 2014",7.00
"June 30, 2014",7.00
"May 31, 2014",6.00
"April 30, 2014",7.00
"March 31, 2014",7.00
"Feb. 28, 2014",6.00
"Jan. 31, 2014",6.00
"Dec. 31, 2013",6.00
"Nov. 30, 2013",5.00
"Oct. 31, 2013",5.00
"Sept. 30, 2013",5.00
"Aug. 31, 2013",5.00
"July 31, 2013",5.00
"June 30, 2013",5.00
"May 31, 2013",7.00
"April 30, 2013",6.00
"Feb. 28, 2013",5.00
"Jan. 31, 2013",4.00
"Dec. 31, 2012",4.00
"Nov. 30, 2012",6.00
"Oct. 31, 2012",5.00
"Sept. 30, 2012",7.00
"Aug. 31, 2012",9.00
"July 31, 2012",9.00
"June 30, 2012",9.00
"May 31, 2012",9.00
"April 30, 2012",9.00
"March 31, 2012",9.00
"Feb. 29, 2012",8.00
"Jan. 31, 2012",9.00
"Dec. 31, 2011",9.00
"Nov. 30, 2011",8.00
"Oct. 31, 2011",8.00
"Sept. 30, 2011",6.00
"Aug. 31, 2011",6.00
"July 31, 2011",6.00
"June 30, 2011",6.00
