date,net_income_cs_rev
"Dec. 31, 2019",7.14%
"Sept. 30, 2019",21.94%
"June 30, 2019",12.98%
"March 31, 2019",12.28%
"Dec. 31, 2018",4.79%
"Sept. 30, 2018",20.71%
"June 30, 2018",15.29%
"March 31, 2018",9.53%
"Dec. 31, 2017",-4.29%
"Sept. 30, 2017",16.72%
"June 30, 2017",12.56%
"March 31, 2017",6.73%
"Dec. 31, 2016",2.36%
"Sept. 30, 2016",19.85%
"June 30, 2016",10.30%
"March 31, 2016",7.32%
"Dec. 31, 2015",2.22%
"Sept. 30, 2015",18.71%
"June 30, 2015",10.71%
"March 31, 2015",6.94%
"Dec. 31, 2014",3.50%
"Sept. 30, 2014",17.54%
"June 30, 2014",10.50%
"March 31, 2014",6.02%
"Dec. 31, 2013",2.80%
"Sept. 30, 2013",18.44%
"June 30, 2013",6.77%
"March 31, 2013",-9.83%
"Dec. 31, 2012",-91.89%
"Sept. 30, 2012",21.88%
"June 30, 2012",15.05%
"March 31, 2012",-28.54%
"Dec. 31, 2011",12.82%
"Sept. 30, 2011",12.57%
"June 30, 2011",7.75%
"March 31, 2011",3.73%
"Dec. 31, 2010",3.05%
"Sept. 30, 2010",-7.37%
"June 30, 2010",8.81%
"March 31, 2010",5.26%
"Dec. 31, 2009",4.59%
"Sept. 30, 2009",12.51%
"June 30, 2009",9.80%
"March 31, 2009",7.36%
"Dec. 31, 2008",2.94%
"Sept. 30, 2008",9.90%
"June 30, 2008",11.51%
"March 31, 2008",6.63%
"Dec. 31, 2007",6.01%
"Sept. 30, 2007",12.22%
"June 30, 2007",8.28%
"March 31, 2007",6.08%
"Dec. 31, 2006",3.77%
"Sept. 30, 2006",15.34%
"June 30, 2006",7.94%
"March 31, 2006",3.89%
"Dec. 31, 2005",1.18%
"Sept. 30, 2005",14.99%
"June 30, 2005",11.68%
"March 31, 2005",7.45%
"Dec. 31, 2004",5.62%
"Sept. 30, 2004",17.75%
"June 30, 2004",10.27%
"March 31, 2004",7.96%
"Dec. 31, 2003",3.74%
"Sept. 30, 2003",20.33%
"June 30, 2003",10.11%
"March 31, 2003",9.12%
"Dec. 31, 2002",-3.89%
"Sept. 30, 2002",20.58%
"June 30, 2002",11.76%
"March 31, 2002",5.29%
"Dec. 31, 2001",13.80%
"Sept. 30, 2001",18.78%
"June 30, 2001",8.99%
"March 31, 2001",5.71%
"Dec. 31, 2000",2.90%
"Sept. 30, 2000",21.43%
"June 30, 2000",12.07%
"March 31, 2000",7.44%
"Dec. 31, 1999",-0.76%
"Sept. 30, 1999",20.93%
"June 30, 1999",10.06%
"March 31, 1999",7.39%
"Dec. 31, 1998",3.88%
"Sept. 30, 1998",21.19%
"June 30, 1998",10.17%
"March 31, 1998",5.69%
"Dec. 31, 1997",-0.74%
"Sept. 30, 1997",20.65%
"June 30, 1997",10.07%
"March 31, 1997",5.92%
