date,return_on_invested_capital
"Dec. 31, 2019",4.75%
"Sept. 30, 2019",4.67%
"June 30, 2019",4.70%
"March 31, 2019",5.13%
"Dec. 31, 2018",4.98%
"Sept. 30, 2018",4.26%
"June 30, 2018",3.88%
"March 31, 2018",3.64%
"Dec. 31, 2017",3.38%
"Sept. 30, 2017",4.01%
"June 30, 2017",4.58%
"March 31, 2017",4.34%
"Dec. 31, 2016",4.40%
"Sept. 30, 2016",4.42%
"June 30, 2016",4.30%
"March 31, 2016",4.37%
"Dec. 31, 2015",4.44%
"Sept. 30, 2015",4.64%
"June 30, 2015",4.34%
"March 31, 2015",4.39%
"Dec. 31, 2014",4.36%
"Sept. 30, 2014",4.34%
"June 30, 2014",4.47%
"March 31, 2014",4.10%
"Dec. 31, 2013",2.25%
"Sept. 30, 2013",-6.83%
"June 30, 2013",-6.13%
"March 31, 2013",-5.13%
"Dec. 31, 2012",-6.75%
"Sept. 30, 2012",1.39%
"June 30, 2012",0.79%
"March 31, 2012",0.30%
"Dec. 31, 2011",3.38%
"Sept. 30, 2011",3.53%
"June 30, 2011",0.60%
"March 31, 2011",0.68%
"Dec. 31, 2010",0.87%
"Sept. 30, 2010",1.03%
"June 30, 2010",3.49%
"March 31, 2010",3.60%
"Dec. 31, 2009",3.89%
"Sept. 30, 2009",3.81%
"June 30, 2009",3.72%
"March 31, 2009",4.07%
"Dec. 31, 2008",4.12%
"Sept. 30, 2008",4.57%
"June 30, 2008",4.92%
"March 31, 2008",4.58%
"Dec. 31, 2007",4.56%
"Sept. 30, 2007",4.30%
"June 30, 2007",4.75%
"March 31, 2007",4.70%
"Dec. 31, 2006",4.36%
"Sept. 30, 2006",4.09%
"June 30, 2006",4.05%
"March 31, 2006",4.64%
"Dec. 31, 2005",5.13%
"Sept. 30, 2005",5.62%
"June 30, 2005",5.42%
"March 31, 2005",5.00%
"Dec. 31, 2004",4.99%
"Sept. 30, 2004",4.80%
"June 30, 2004",5.59%
"March 31, 2004",5.58%
"Dec. 31, 2003",5.84%
"Sept. 30, 2003",5.21%
"June 30, 2003",4.99%
"March 31, 2003",5.29%
"Dec. 31, 2002",5.02%
"Sept. 30, 2002",6.28%
"June 30, 2002",6.86%
"March 31, 2002",6.78%
"Dec. 31, 2001",6.93%
"Sept. 30, 2001",6.77%
"June 30, 2001",6.74%
"March 31, 2001",7.18%
"Dec. 31, 2000",7.34%
"Sept. 30, 2000",6.93%
"June 30, 2000",6.94%
"March 31, 2000",6.59%
"Dec. 31, 1999",6.54%
"Sept. 30, 1999",7.07%
"June 30, 1999",6.85%
"March 31, 1999",6.78%
"Dec. 31, 1998",6.51%
"Sept. 30, 1998",5.96%
"June 30, 1998",5.64%
