date,sales_est_0q
"March 17, 2020",1.568B
"Feb. 27, 2020",1.614B
"Jan. 29, 2020",1.612B
"Jan. 16, 2020",1.612B
"Jan. 13, 2020",1.612B
"Dec. 31, 2019",1.643B
"Dec. 11, 2019",1.438B
"Nov. 25, 2019",1.461B
"Oct. 21, 2019",1.464B
"Sept. 30, 2019",1.791B
"Sept. 9, 2019",1.792B
"Sept. 4, 2019",1.791B
"Aug. 26, 2019",1.754B
"Aug. 9, 2019",1.755B
"Aug. 4, 2019",1.712B
"July 25, 2019",1.787B
"July 22, 2019",1.749B
"July 18, 2019",1.745B
"June 30, 2019",1.510B
"May 13, 2019",1.543B
"April 10, 2019",1.735B
"April 8, 2019",1.745B
"March 31, 2019",1.615B
"March 29, 2019",1.609B
"Feb. 15, 2019",1.596B
"Jan. 28, 2019",1.592B
"Jan. 14, 2019",1.592B
"Jan. 7, 2019",1.595B
"Jan. 4, 2019",1.595B
"Dec. 31, 2018",1.564B
"Nov. 12, 2018",1.528B
"Nov. 1, 2018",1.528B
"Oct. 19, 2018",1.390B
"Oct. 3, 2018",1.390B
"Sept. 30, 2018",1.815B
"Sept. 6, 2018",1.816B
"Sept. 4, 2018",1.813B
"Aug. 29, 2018",1.719B
"July 20, 2018",1.811B
"July 19, 2018",1.807B
"June 30, 2018",1.539B
"May 22, 2018",1.534B
"May 10, 2018",1.582B
"April 20, 2018",1.531B
"April 19, 2018",1.515B
"March 31, 2018",1.550B
"March 1, 2018",1.536B
"Feb. 20, 2018",1.529B
"Feb. 16, 2018",1.524B
"Jan. 12, 2018",1.547B
"Jan. 10, 2018",1.557B
