date,total_employee_number
"Dec. 31, 2019",9323
"Dec. 31, 2018",8838
"Dec. 31, 2017",8615
"Dec. 31, 2016",8629
"Dec. 31, 2015",8527
"Dec. 31, 2014",8527
"Dec. 31, 2013",8527
"Dec. 31, 2012",9097
"Dec. 31, 2011",9323
"Dec. 31, 2010",9474
"Dec. 31, 2009",9780
"Dec. 31, 2008",9524
"Dec. 31, 2007",9069
"Dec. 31, 2006",8988
"Dec. 31, 2005",9136
"Dec. 31, 2004",9388
"Dec. 31, 2003",7650
"Dec. 31, 2002",7400
"Dec. 31, 2001",7447
"Dec. 31, 2000",7342
"Dec. 31, 1999",7347
"Dec. 31, 1998",7450
"Dec. 31, 1997",8149
