date,book_value_of_equity_per_share
"Dec. 31, 2019",39.73
"Sept. 30, 2019",39.92
"June 30, 2019",39.01
"March 31, 2019",38.90
"Dec. 31, 2018",38.58
"Sept. 30, 2018",38.57
"June 30, 2018",37.98
"March 31, 2018",37.53
"Dec. 31, 2017",37.17
"Sept. 30, 2017",36.74
"June 30, 2017",36.24
"March 31, 2017",35.97
"Dec. 31, 2016",35.38
"Sept. 30, 2016",35.23
"June 30, 2016",37.40
"March 31, 2016",36.90
"Dec. 31, 2015",36.44
"Sept. 30, 2015",36.06
"June 30, 2015",35.54
"March 31, 2015",35.19
"Dec. 31, 2014",34.37
"Sept. 30, 2014",34.48
"June 30, 2014",33.94
"March 31, 2014",33.64
"Dec. 31, 2013",32.98
"Sept. 30, 2013",32.35
"June 30, 2013",31.92
"March 31, 2013",31.73
"Dec. 31, 2012",31.37
"Sept. 30, 2012",31.54
"June 30, 2012",30.95
"March 31, 2012",30.68
"Dec. 31, 2011",30.33
"Sept. 30, 2011",30.35
"June 30, 2011",28.91
"March 31, 2011",28.60
"Dec. 31, 2010",28.33
"Sept. 30, 2010",28.45
"June 30, 2010",27.68
"March 31, 2010",27.82
"Dec. 31, 2009",27.49
"Sept. 30, 2009",27.36
"June 30, 2009",26.73
"March 31, 2009",26.94
"Dec. 31, 2008",26.33
"Sept. 30, 2008",27.14
"June 30, 2008",26.44
"March 31, 2008",26.12
"Dec. 31, 2007",25.17
"Sept. 30, 2007",24.77
"June 30, 2007",24.19
"March 31, 2007",23.92
"Dec. 31, 2006",23.73
"Sept. 30, 2006",24.15
"June 30, 2006",23.93
"March 31, 2006",23.82
"Dec. 31, 2005",23.08
"Sept. 30, 2005",22.84
"June 30, 2005",21.81
"March 31, 2005",21.54
"Dec. 31, 2004",21.51
"Sept. 30, 2004",20.93
"June 30, 2004",20.43
"March 31, 2004",20.40
"Dec. 31, 2003",19.93
"Sept. 30, 2003",21.41
"June 30, 2003",21.30
"March 31, 2003",21.36
"Dec. 31, 2002",20.85
"Sept. 30, 2002",25.58
"June 30, 2002",24.74
"March 31, 2002",25.37
"Dec. 31, 2001",25.54
"Sept. 30, 2001",26.01
"June 30, 2001",25.29
"March 31, 2001",25.01
"Dec. 31, 2000",25.01
"Sept. 30, 2000",26.14
"June 30, 2000",25.63
"March 31, 2000",25.62
"Dec. 31, 1999",44.68
"Sept. 30, 1999",25.86
"June 30, 1999",25.52
"March 31, 1999",25.52
"Dec. 31, 1998",25.24
"Sept. 30, 1998",25.41
"June 30, 1998",24.94
"March 31, 1998",24.86
"Dec. 31, 1997",24.62
"Sept. 30, 1997",24.50
"June 30, 1997",24.57
"March 31, 1997",24.56
"Dec. 31, 1996",24.15
"Sept. 30, 1996",24.01
"June 30, 1996",23.70
"March 31, 1996",23.65
"Dec. 31, 1995",23.25
"Sept. 30, 1995",23.15
"June 30, 1995",22.94
"March 31, 1995",23.05
"Dec. 31, 1994",22.83
"Sept. 30, 1994",22.86
"June 30, 1994",22.68
"March 31, 1994",22.73
