date,forward_ps_ratio_1y
"March 19, 2020",2.258
"March 18, 2020",2.466
"March 17, 2020",2.548
"March 16, 2020",2.281
"March 13, 2020",2.416
"March 12, 2020",2.306
"March 11, 2020",2.506
"March 10, 2020",2.646
"March 9, 2020",2.653
"March 6, 2020",2.729
"March 5, 2020",2.760
"March 4, 2020",2.788
"March 3, 2020",2.666
"March 2, 2020",2.656
"Feb. 28, 2020",2.494
"Feb. 27, 2020",2.566
"Feb. 26, 2020",2.722
"Feb. 25, 2020",2.742
"Feb. 24, 2020",2.795
"Feb. 21, 2020",2.838
"Feb. 20, 2020",2.856
"Feb. 19, 2020",2.888
"Feb. 18, 2020",2.911
"Feb. 14, 2020",2.895
"Feb. 13, 2020",2.869
"Feb. 12, 2020",2.840
"Feb. 11, 2020",2.852
"Feb. 10, 2020",2.843
"Feb. 7, 2020",2.827
"Feb. 6, 2020",2.853
"Feb. 5, 2020",2.849
"Feb. 4, 2020",2.870
"Feb. 3, 2020",2.908
"Jan. 31, 2020",2.908
"Jan. 30, 2020",2.904
"Jan. 29, 2020",2.868
"Jan. 28, 2020",2.851
"Jan. 27, 2020",2.840
"Jan. 24, 2020",2.850
"Jan. 23, 2020",2.817
"Jan. 22, 2020",2.790
"Jan. 21, 2020",2.771
"Jan. 17, 2020",2.750
"Jan. 16, 2020",2.715
"Jan. 15, 2020",2.695
"Jan. 14, 2020",2.650
"Jan. 13, 2020",2.64
"Jan. 10, 2020",2.632
"Jan. 9, 2020",2.619
"Jan. 8, 2020",2.606
"Jan. 7, 2020",2.614
"Jan. 6, 2020",2.613
"Jan. 3, 2020",2.605
"Jan. 2, 2020",2.607
"Dec. 31, 2019",2.637
"Dec. 30, 2019",2.803
"Dec. 27, 2019",2.808
"Dec. 26, 2019",2.799
"Dec. 24, 2019",2.798
"Dec. 23, 2019",2.795
"Dec. 20, 2019",2.829
"Dec. 19, 2019",2.801
"Dec. 18, 2019",2.795
"Dec. 17, 2019",2.779
"Dec. 16, 2019",2.773
"Dec. 13, 2019",2.744
"Dec. 12, 2019",2.717
"Dec. 11, 2019",2.747
"Dec. 10, 2019",2.741
"Dec. 9, 2019",2.738
"Dec. 6, 2019",2.754
"Dec. 5, 2019",2.756
"Dec. 4, 2019",2.744
"Dec. 3, 2019",2.709
"Dec. 2, 2019",2.691
"Nov. 29, 2019",2.723
"Nov. 27, 2019",2.730
"Nov. 26, 2019",2.728
"Nov. 25, 2019",2.710
"Nov. 22, 2019",2.729
"Nov. 21, 2019",2.715
"Nov. 20, 2019",2.726
"Nov. 19, 2019",2.703
"Nov. 18, 2019",2.688
"Nov. 15, 2019",2.670
"Nov. 14, 2019",2.671
"Nov. 13, 2019",2.679
"Nov. 12, 2019",2.638
"Nov. 11, 2019",2.646
"Nov. 8, 2019",2.655
"Nov. 7, 2019",2.663
"Nov. 6, 2019",2.742
"Nov. 5, 2019",2.725
"Nov. 4, 2019",2.766
"Nov. 1, 2019",2.789
"Oct. 31, 2019",2.814
"Oct. 30, 2019",2.805
"Oct. 29, 2019",2.778
"Oct. 28, 2019",2.784
"Oct. 25, 2019",2.813
"Oct. 24, 2019",2.854
"Oct. 23, 2019",2.815
"Oct. 22, 2019",2.807
"Oct. 21, 2019",2.816
"Oct. 18, 2019",2.806
"Oct. 17, 2019",2.772
"Oct. 16, 2019",2.760
"Oct. 15, 2019",2.735
"Oct. 14, 2019",2.743
"Oct. 11, 2019",2.753
"Oct. 10, 2019",2.761
"Oct. 9, 2019",2.769
"Oct. 8, 2019",2.759
"Oct. 7, 2019",2.794
"Oct. 4, 2019",2.790
"Oct. 3, 2019",2.757
"Oct. 2, 2019",2.746
"Oct. 1, 2019",2.779
"Sept. 30, 2019",2.793
"Sept. 27, 2019",2.807
"Sept. 26, 2019",2.81
"Sept. 25, 2019",2.808
"Sept. 24, 2019",2.819
"Sept. 23, 2019",2.784
"Sept. 20, 2019",2.777
"Sept. 19, 2019",2.777
"Sept. 18, 2019",2.772
"Sept. 17, 2019",2.764
"Sept. 16, 2019",2.733
"Sept. 13, 2019",2.728
"Sept. 12, 2019",2.742
"Sept. 11, 2019",2.732
"Sept. 10, 2019",2.715
"Sept. 9, 2019",2.723
"Sept. 6, 2019",2.715
"Sept. 5, 2019",2.728
"Sept. 4, 2019",2.773
"Sept. 3, 2019",2.765
"Aug. 30, 2019",2.716
"Aug. 29, 2019",2.704
"Aug. 28, 2019",2.671
"Aug. 27, 2019",2.702
"Aug. 26, 2019",2.707
"Aug. 23, 2019",2.670
"Aug. 22, 2019",2.711
"Aug. 21, 2019",2.722
"Aug. 20, 2019",2.705
"Aug. 19, 2019",2.698
"Aug. 16, 2019",2.689
"Aug. 15, 2019",2.693
"Aug. 14, 2019",2.637
"Aug. 13, 2019",2.690
"Aug. 12, 2019",2.692
"Aug. 9, 2019",2.681
"Aug. 8, 2019",2.668
"Aug. 7, 2019",2.674
"Aug. 6, 2019",2.656
"Aug. 5, 2019",2.623
"Aug. 2, 2019",2.643
"Aug. 1, 2019",2.647
"July 31, 2019",2.617
"July 30, 2019",2.644
"July 29, 2019",2.674
"July 26, 2019",2.651
"July 25, 2019",2.655
"July 24, 2019",2.670
"July 23, 2019",2.667
"July 22, 2019",2.686
"July 19, 2019",2.690
"July 18, 2019",2.734
"July 17, 2019",2.712
"July 16, 2019",2.697
"July 15, 2019",2.717
"July 12, 2019",2.689
"July 11, 2019",2.710
"July 10, 2019",2.706
"July 9, 2019",2.693
"July 8, 2019",2.680
"July 5, 2019",2.677
"July 3, 2019",2.686
"July 2, 2019",2.658
"July 1, 2019",2.626
"June 30, 2019",
"June 28, 2019",2.621
"June 27, 2019",2.618
"June 26, 2019",2.636
"June 25, 2019",2.691
"June 24, 2019",2.707
"June 21, 2019",2.726
"June 20, 2019",2.706
"June 19, 2019",2.706
"June 18, 2019",2.674
"June 17, 2019",2.683
