date,free_cash_flow
"Dec. 31, 2019",-795.60M
"Sept. 30, 2019",141.70M
"June 30, 2019",-430.20M
"March 31, 2019",-789.50M
"Dec. 31, 2018",-351.90M
"Sept. 30, 2018",458.90M
"June 30, 2018",-113.40M
"March 31, 2018",-1.127B
"Dec. 31, 2017",-801.70M
"Sept. 30, 2017",105.10M
"June 30, 2017",-269.60M
"March 31, 2017",-562.70M
"Dec. 31, 2016",-294.20M
"Sept. 30, 2016",545.60M
"June 30, 2016",-192.60M
"March 31, 2016",-449.10M
"Dec. 31, 2015",-366.30M
"Sept. 30, 2015",615.00M
"June 30, 2015",-159.30M
"March 31, 2015",129.10M
"Dec. 31, 2014",-341.70M
"Sept. 30, 2014",453.00M
"June 30, 2014",79.00M
"March 31, 2014",177.00M
"Dec. 31, 2013",-113.40M
"Sept. 30, 2013",629.00M
"June 30, 2013",-46.00M
"March 31, 2013",-134.00M
"Dec. 31, 2012",-119.00M
"Sept. 30, 2012",460.00M
"June 30, 2012",207.00M
"March 31, 2012",124.00M
"Dec. 31, 2011",-362.00M
"Sept. 30, 2011",859.00M
"June 30, 2011",255.00M
"March 31, 2011",261.00M
"Dec. 31, 2010",238.00M
"Sept. 30, 2010",563.00M
"June 30, 2010",70.00M
"March 31, 2010",-645.00M
"Dec. 31, 2009",-81.00M
"Sept. 30, 2009",437.00M
"June 30, 2009",-186.00M
"March 31, 2009",-656.00M
"Dec. 31, 2008",-603.00M
"Sept. 30, 2008",-110.00M
"June 30, 2008",-261.00M
"March 31, 2008",-245.00M
"Dec. 31, 2007",-789.00M
"Sept. 30, 2007",316.00M
"June 30, 2007",-725.00M
"March 31, 2007",-556.00M
"Dec. 31, 2006",-564.00M
"Sept. 30, 2006",256.00M
"June 30, 2006",-306.00M
"March 31, 2006",-182.00M
"Dec. 31, 2005",-616.00M
"Sept. 30, 2005",125.00M
"June 30, 2005",-269.00M
"March 31, 2005",233.00M
"Dec. 31, 2004",-216.00M
"Sept. 30, 2004",646.00M
"June 30, 2004",-7.00M
"March 31, 2004",592.00M
"Dec. 31, 2003",137.00M
"Sept. 30, 2003",587.00M
"June 30, 2003",-303.00M
"March 31, 2003",529.00M
"Dec. 31, 2002",773.00M
"Sept. 30, 2002",296.00M
"June 30, 2002",-320.00M
"March 31, 2002",-367.00M
"Dec. 31, 2001",1.227B
"Sept. 30, 2001",74.00M
"June 30, 2001",-449.00M
"March 31, 2001",269.00M
"Dec. 31, 2000",406.00M
"Sept. 30, 2000",-237.00M
"June 30, 2000",-541.00M
"March 31, 2000",102.00M
"Dec. 31, 1999",-112.00M
"Sept. 30, 1999",253.00M
"June 30, 1999",-398.00M
"March 31, 1999",191.00M
"Dec. 31, 1998",-50.00M
"Sept. 30, 1998",96.00M
"June 30, 1998",6.00M
"March 31, 1998",186.00M
"Dec. 31, 1997",-32.30M
"Sept. 30, 1997",234.70M
"June 30, 1997",-56.20M
"March 31, 1997",291.30M
"Dec. 31, 1996",30.70M
"Sept. 30, 1996",289.60M
"June 30, 1996",16.40M
"March 31, 1996",322.70M
"Dec. 31, 1995",71.80M
"Sept. 30, 1995",326.20M
"June 30, 1995",-150.10M
"March 31, 1995",202.70M
"Dec. 31, 1994",-42.90M
"Sept. 30, 1994",240.20M
"June 30, 1994",-102.90M
"March 31, 1994",239.80M
