date,net_income_ttm
"Dec. 31, 2019",1.921B
"Sept. 30, 2019",2.131B
"June 30, 2019",1.975B
"March 31, 2019",2.042B
"Dec. 31, 2018",1.924B
"Sept. 30, 2018",1.961B
"June 30, 2018",1.928B
"March 31, 2018",1.775B
"Dec. 31, 2017",1.913B
"Sept. 30, 2017",1.885B
"June 30, 2017",574.80M
"March 31, 2017",701.90M
"Dec. 31, 2016",610.90M
"Sept. 30, 2016",707.10M
"June 30, 2016",1.991B
"March 31, 2016",1.919B
"Dec. 31, 2015",2.047B
"Sept. 30, 2015",1.768B
"June 30, 2015",1.743B
"March 31, 2015",1.703B
"Dec. 31, 2014",1.634B
"Sept. 30, 2014",1.790B
"June 30, 2014",1.730B
"March 31, 2014",1.678B
"Dec. 31, 2013",1.480B
"Sept. 30, 2013",1.155B
"June 30, 2013",1.209B
"March 31, 2013",1.233B
"Dec. 31, 2012",1.259B
"Sept. 30, 2012",1.549B
"June 30, 2012",1.991B
"March 31, 2012",1.981B
"Dec. 31, 2011",1.946B
"Sept. 30, 2011",1.812B
"June 30, 2011",1.439B
"March 31, 2011",1.223B
"Dec. 31, 2010",1.214B
"Sept. 30, 2010",1.276B
"June 30, 2010",1.164B
"March 31, 2010",1.344B
"Dec. 31, 2009",1.36B
"Sept. 30, 2009",1.274B
"June 30, 2009",1.205B
"March 31, 2009",1.17B
"Dec. 31, 2008",1.383B
"Sept. 30, 2008",1.461B
"June 30, 2008",1.493B
"March 31, 2008",1.392B
"Dec. 31, 2007",1.089B
"Sept. 30, 2007",1.039B
"June 30, 2007",897.00M
"March 31, 2007",892.00M
"Dec. 31, 2006",1.002B
"Sept. 30, 2006",672.00M
"June 30, 2006",794.00M
"March 31, 2006",840.00M
"Dec. 31, 2005",814.00M
"Sept. 30, 2005",1.14B
"June 30, 2005",1.283B
"March 31, 2005",1.162B
"Dec. 31, 2004",1.089B
"Sept. 30, 2004",150.00M
"June 30, 2004",-123.00M
"March 31, 2004",-48.00M
"Dec. 31, 2003",-132.00M
"Sept. 30, 2003",-207.00M
"June 30, 2003",-39.00M
"March 31, 2003",-152.00M
"Dec. 31, 2002",-169.00M
"Sept. 30, 2002",720.00M
"June 30, 2002",716.00M
"March 31, 2002",886.00M
"Dec. 31, 2001",971.00M
"Sept. 30, 2001",697.00M
"June 30, 2001",635.00M
"March 31, 2001",394.00M
"Dec. 31, 2000",232.00M
"Sept. 30, 2000",647.00M
"June 30, 2000",683.00M
"March 31, 2000",882.00M
"Dec. 31, 1999",929.00M
"Sept. 30, 1999",1.247B
"June 30, 1999",1.047B
"March 31, 1999",975.00M
"Dec. 31, 1998",975.00M
"Sept. 30, 1998",590.10M
"June 30, 1998",486.30M
"March 31, 1998",489.40M
"Dec. 31, 1997",511.00M
"Sept. 30, 1997",517.30M
"June 30, 1997",588.40M
"March 31, 1997",580.00M
"Dec. 31, 1996",587.40M
"Sept. 30, 1996",586.40M
"June 30, 1996",578.30M
"March 31, 1996",562.10M
"Dec. 31, 1995",530.00M
"Sept. 30, 1995",502.10M
"June 30, 1995",487.70M
"March 31, 1995",495.00M
"Dec. 31, 1994",500.10M
"Sept. 30, 1994",541.30M
"June 30, 1994",391.40M
"March 31, 1994",373.80M
"Dec. 31, 1993",353.90M
"Sept. 30, 1993",365.10M
"June 30, 1993",483.00M
"March 31, 1993",471.10M
"Dec. 31, 1992",468.30M
"Sept. 30, 1992",427.40M
"June 30, 1992",455.60M
"March 31, 1992",482.70M
"Dec. 31, 1991",498.00M
"Sept. 30, 1991",493.20M
"June 30, 1991",486.30M
"March 31, 1991",497.20M
"Dec. 31, 1990",496.50M
"Sept. 30, 1990",386.30M
"June 30, 1990",420.00M
"March 31, 1990",437.00M
"Dec. 31, 1989",451.90M
"Sept. 30, 1989",612.20M
"June 30, 1989",621.70M
"March 31, 1989",611.20M
"Dec. 31, 1988",626.80M
"Sept. 30, 1988",555.80M
"June 30, 1988",531.70M
"March 31, 1988",530.20M
"Dec. 31, 1987",502.50M
"Sept. 30, 1987",564.30M
"June 30, 1987",549.00M
"March 31, 1987",528.80M
"Dec. 31, 1986",507.20M
"Sept. 30, 1986",488.60M
"June 30, 1986",469.80M
"March 31, 1986",462.30M
"Dec. 31, 1985",485.00M
"Sept. 30, 1985",474.90M
"June 30, 1985",482.60M
"March 31, 1985",490.90M
"Dec. 31, 1984",487.70M
