date,price_target_upside
"March 19, 2020",25.31%
"March 18, 2020",14.71%
"March 17, 2020",11.03%
"March 16, 2020",24.01%
"March 13, 2020",18.39%
"March 12, 2020",24.65%
"March 11, 2020",14.24%
"March 10, 2020",8.21%
"March 9, 2020",8.41%
"March 6, 2020",4.91%
"March 5, 2020",3.76%
"March 4, 2020",2.68%
"March 3, 2020",6.98%
"March 2, 2020",7.44%
"Feb. 28, 2020",15.14%
"Feb. 27, 2020",11.89%
"Feb. 26, 2020",5.49%
"Feb. 25, 2020",4.52%
"Feb. 24, 2020",2.68%
"Feb. 21, 2020",0.72%
"Feb. 20, 2020",-0.42%
"Feb. 19, 2020",-1.86%
"Feb. 18, 2020",-3.14%
"Feb. 14, 2020",-2.61%
"Feb. 13, 2020",-1.91%
"Feb. 12, 2020",-0.89%
"Feb. 11, 2020",-1.30%
"Feb. 10, 2020",-1.01%
"Feb. 7, 2020",-0.45%
"Feb. 6, 2020",-1.33%
"Feb. 5, 2020",-1.21%
"Feb. 4, 2020",-1.93%
"Feb. 3, 2020",-3.20%
"Jan. 31, 2020",-3.20%
"Jan. 30, 2020",-3.08%
"Jan. 29, 2020",-1.87%
"Jan. 28, 2020",-1.93%
"Jan. 27, 2020",-1.80%
"Jan. 24, 2020",-3.85%
"Jan. 23, 2020",-2.72%
"Jan. 22, 2020",-1.78%
"Jan. 21, 2020",-1.29%
"Jan. 17, 2020",-0.68%
"Jan. 16, 2020",0.59%
"Jan. 15, 2020",0.82%
"Jan. 14, 2020",2.54%
"Jan. 13, 2020",3.09%
"Jan. 10, 2020",3.41%
"Jan. 9, 2020",3.92%
"Jan. 8, 2020",4.38%
"Jan. 7, 2020",4.07%
"Jan. 6, 2020",3.32%
"Jan. 3, 2020",3.66%
"Jan. 2, 2020",3.55%
"Dec. 31, 2019",2.40%
"Dec. 30, 2019",2.92%
"Dec. 27, 2019",2.75%
"Dec. 26, 2019",3.09%
"Dec. 24, 2019",3.13%
"Dec. 23, 2019",3.23%
"Dec. 20, 2019",1.98%
"Dec. 19, 2019",2.46%
"Dec. 18, 2019",2.70%
"Dec. 17, 2019",3.28%
"Dec. 16, 2019",3.49%
"Dec. 13, 2019",4.65%
"Dec. 12, 2019",5.70%
"Dec. 11, 2019",4.54%
"Dec. 10, 2019",4.78%
"Dec. 9, 2019",4.87%
"Dec. 6, 2019",4.27%
"Dec. 5, 2019",4.19%
"Dec. 4, 2019",4.62%
"Dec. 3, 2019",5.94%
"Dec. 2, 2019",6.64%
"Nov. 29, 2019",5.52%
"Nov. 27, 2019",5.24%
"Nov. 26, 2019",5.34%
"Nov. 25, 2019",6.05%
"Nov. 22, 2019",5.30%
"Nov. 21, 2019",5.84%
"Nov. 20, 2019",5.39%
"Nov. 19, 2019",6.31%
"Nov. 18, 2019",6.92%
"Nov. 15, 2019",7.62%
"Nov. 14, 2019",7.58%
"Nov. 13, 2019",7.27%
"Nov. 12, 2019",8.91%
"Nov. 11, 2019",8.58%
"Nov. 8, 2019",8.22%
"Nov. 7, 2019",7.89%
"Nov. 6, 2019",4.79%
"Nov. 5, 2019",5.72%
"Nov. 4, 2019",4.13%
"Nov. 1, 2019",3.28%
"Oct. 31, 2019",2.37%
"Oct. 30, 2019",2.69%
"Oct. 29, 2019",3.43%
"Oct. 28, 2019",3.27%
"Oct. 25, 2019",1.41%
"Oct. 24, 2019",-0.37%
"Oct. 23, 2019",0.26%
"Oct. 22, 2019",0.57%
"Oct. 21, 2019",0.22%
"Oct. 18, 2019",0.19%
"Oct. 17, 2019",1.41%
"Oct. 16, 2019",1.91%
"Oct. 15, 2019",2.87%
"Oct. 14, 2019",2.54%
"Oct. 11, 2019",1.51%
"Oct. 10, 2019",0.79%
"Oct. 9, 2019",0.50%
"Oct. 8, 2019",0.84%
"Oct. 7, 2019",-0.39%
