date,tangible_common_equity_ratio
"Dec. 31, 2019",25.82%
"Sept. 30, 2019",26.63%
"June 30, 2019",26.49%
"March 31, 2019",27.09%
"Dec. 31, 2018",27.60%
"Sept. 30, 2018",28.07%
"June 30, 2018",27.94%
"March 31, 2018",28.11%
"Dec. 31, 2017",28.19%
"Sept. 30, 2017",28.19%
"June 30, 2017",28.35%
"March 31, 2017",28.59%
"Dec. 31, 2016",27.35%
"Sept. 30, 2016",28.13%
"June 30, 2016",28.98%
"March 31, 2016",28.95%
"Dec. 31, 2015",28.95%
"Sept. 30, 2015",28.91%
"June 30, 2015",28.50%
"March 31, 2015",28.61%
"Dec. 31, 2014",28.18%
"Sept. 30, 2014",29.01%
"June 30, 2014",28.66%
"March 31, 2014",28.67%
"Dec. 31, 2013",28.40%
"Sept. 30, 2013",28.56%
"June 30, 2013",28.14%
"March 31, 2013",28.15%
"Dec. 31, 2012",27.91%
"Sept. 30, 2012",28.31%
"June 30, 2012",27.97%
"March 31, 2012",27.96%
"Dec. 31, 2011",27.97%
"Sept. 30, 2011",28.52%
"June 30, 2011",27.36%
"March 31, 2011",27.14%
"Dec. 31, 2010",26.89%
"Sept. 30, 2010",27.26%
"June 30, 2010",26.46%
"March 31, 2010",26.74%
"Dec. 31, 2009",27.06%
"Sept. 30, 2009",27.57%
"June 30, 2009",27.39%
"March 31, 2009",23.73%
"Dec. 31, 2008",23.55%
"Sept. 30, 2008",25.23%
"June 30, 2008",24.77%
"March 31, 2008",25.25%
"Dec. 31, 2007",24.86%
"Sept. 30, 2007",24.97%
"June 30, 2007",24.49%
"March 31, 2007",25.00%
"Dec. 31, 2006",24.63%
"Sept. 30, 2006",26.02%
"June 30, 2006",25.89%
"March 31, 2006",26.08%
"Dec. 31, 2005",24.97%
"Sept. 30, 2005",24.83%
"June 30, 2005",24.53%
"March 31, 2005",23.39%
"Dec. 31, 2004",24.42%
"Sept. 30, 2004",23.62%
"June 30, 2004",22.38%
"March 31, 2004",22.11%
"Dec. 31, 2003",21.24%
"Sept. 30, 2003",22.59%
"June 30, 2003",22.93%
"March 31, 2003",22.03%
"Dec. 31, 2002",19.14%
"Sept. 30, 2002",18.15%
"June 30, 2002",14.98%
"March 31, 2002",12.73%
"Dec. 31, 2001",14.71%
"Sept. 30, 2001",3.35%
"June 30, 2001",14.00%
"March 31, 2001",14.80%
"Dec. 31, 2000",12.84%
"Sept. 30, 2000",17.98%
"June 30, 2000",17.53%
"March 31, 2000",22.70%
"Dec. 31, 1999",20.89%
"Sept. 30, 1999",24.56%
"June 30, 1999",23.96%
"March 31, 1999",24.42%
"Dec. 31, 1998",24.85%
"Sept. 30, 1998",27.82%
"June 30, 1998",26.72%
"March 31, 1998",28.17%
"Dec. 31, 1997",28.15%
"Sept. 30, 1997",28.59%
"June 30, 1997",28.47%
"March 31, 1997",29.08%
"Dec. 31, 1996",28.62%
"Sept. 30, 1996",28.75%
"June 30, 1996",28.01%
"March 31, 1996",27.67%
"Dec. 31, 1995",27.29%
"Sept. 30, 1995",27.47%
"June 30, 1995",26.72%
"March 31, 1995",27.13%
"Dec. 31, 1994",26.87%
"Sept. 30, 1994",27.44%
"June 30, 1994",26.98%
"March 31, 1994",27.13%
