date,accruals
"Dec. 31, 2019",-126.00M
"Sept. 30, 2019",-277.00M
"June 30, 2019",-392.00M
"March 31, 2019",-98.00M
"Dec. 31, 2018",-355.00M
"Sept. 30, 2018",-209.00M
"June 30, 2018",-279.00M
"March 31, 2018",-353.00M
"Dec. 31, 2017",-518.00M
"Sept. 30, 2017",-298.00M
"June 30, 2017",-364.00M
"March 31, 2017",-202.00M
"Dec. 31, 2016",-138.00M
"Sept. 30, 2016",-199.00M
"June 30, 2016",-408.00M
"March 31, 2016",-184.00M
"Dec. 31, 2015",-298.00M
"Sept. 30, 2015",-127.00M
"June 30, 2015",-311.00M
"March 31, 2015",-354.00M
"Dec. 31, 2014",-660.72M
"Sept. 30, 2014",-30.29M
"June 30, 2014",-115.07M
"March 31, 2014",-100.92M
"Dec. 31, 2013",-1.035B
"Sept. 30, 2013",-28.58M
"June 30, 2013",-84.08M
"March 31, 2013",-80.35M
"Dec. 31, 2012",-57.17M
"Sept. 30, 2012",-27.13M
"June 30, 2012",-96.21M
"March 31, 2012",-49.73M
"Dec. 31, 2011",-13.92M
"Sept. 30, 2011",4.032M
"June 30, 2011",-83.18M
"March 31, 2011",-30.09M
"Dec. 31, 2010",-50.22M
"Sept. 30, 2010",-51.08M
"June 30, 2010",-28.97M
"March 31, 2010",-30.07M
"Dec. 31, 2009",-50.21M
"Sept. 30, 2009",-19.23M
"June 30, 2009",-28.44M
"March 31, 2009",-19.92M
"Dec. 31, 2008",-30.52M
"Sept. 30, 2008",-13.16M
"June 30, 2008",-21.20M
"March 31, 2008",-28.72M
"Dec. 31, 2007",-26.08M
"Sept. 30, 2007",-30.61M
"June 30, 2007",-25.43M
"March 31, 2007",22.20M
"Dec. 31, 2006",-35.70M
"Sept. 30, 2006",-17.63M
"June 30, 2006",1.084M
"March 31, 2006",-60.03M
"Dec. 31, 2005",-47.97M
"Sept. 30, 2005",3.005M
"June 30, 2005",-8.507M
"March 31, 2005",-0.803M
"Dec. 31, 2004",-37.83M
"Sept. 30, 2004",22.56M
"June 30, 2004",21.40M
"March 31, 2004",-21.71M
"Dec. 31, 2003",15.08M
"Sept. 30, 2003",-30.22M
"June 30, 2003",-44.44M
"March 31, 2003",-5.27M
"Dec. 31, 2002",-50.35M
"Sept. 30, 2002",-60.44M
"June 30, 2002",-5.567M
"March 31, 2002",12.68M
"Dec. 31, 2001",-67.72M
"Sept. 30, 2001",-21.47M
"June 30, 2001",-19.96M
"March 31, 2001",11.57M
"Dec. 31, 2000",-42.60M
"Sept. 30, 2000",-2.588M
"June 30, 2000",13.84M
"March 31, 2000",-9.209M
"Dec. 31, 1999",-31.00M
"Sept. 30, 1999",-23.20M
"June 30, 1999",16.80M
"March 31, 1999",-8.90M
"Dec. 31, 1998",-48.20M
"Sept. 30, 1998",-2.10M
"June 30, 1998",-11.70M
"March 31, 1998",-8.80M
"Dec. 31, 1997",-53.80M
"Sept. 30, 1997",-21.60M
"June 30, 1997",-18.00M
"March 31, 1997",-29.30M
"Dec. 31, 1996",-32.90M
"Sept. 30, 1996",-38.20M
"June 30, 1996",-23.50M
"March 31, 1996",-11.10M
"Dec. 31, 1995",-36.10M
"Sept. 30, 1995",-14.30M
"June 30, 1995",-43.20M
"March 31, 1995",-17.50M
"Dec. 31, 1994",-51.20M
"Sept. 30, 1994",-10.70M
"June 30, 1994",-26.40M
"March 31, 1994",-1.90M
