date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",38.20
"Sept. 30, 2019",37.89
"June 30, 2019",37.83
"March 31, 2019",37.90
"Dec. 31, 2018",37.71
"Sept. 30, 2018",37.78
"June 30, 2018",37.80
"March 31, 2018",37.91
"Dec. 31, 2017",37.61
"Sept. 30, 2017",37.39
"June 30, 2017",37.45
"March 31, 2017",37.47
"Dec. 31, 2016",37.32
"Sept. 30, 2016",36.84
"June 30, 2016",36.87
"March 31, 2016",37.04
"Dec. 31, 2015",36.85
"Sept. 30, 2015",19.82
"June 30, 2015",19.97
"March 31, 2015",20.09
"Dec. 31, 2014",186.24
"Sept. 30, 2014",19.33
"June 30, 2014",19.54
"March 31, 2014",19.79
"Dec. 31, 2013",19.26
"Sept. 30, 2013",17.03
"June 30, 2013",17.33
"March 31, 2013",17.40
"Dec. 31, 2012",16.71
"Sept. 30, 2012",16.64
"June 30, 2012",16.76
"March 31, 2012",16.95
"Dec. 31, 2011",16.34
"Sept. 30, 2011",15.66
"June 30, 2011",15.85
"March 31, 2011",16.01
"Dec. 31, 2010",15.39
"Sept. 30, 2010",
"June 30, 2010",19.25
"March 31, 2010",19.30
"Dec. 31, 2009",19.15
"Sept. 30, 2009",19.36
"June 30, 2009",22.51
"March 31, 2009",18.87
"Dec. 31, 2008",18.79
"Sept. 30, 2008",18.82
"June 30, 2008",18.35
"March 31, 2008",18.30
"Dec. 31, 2007",18.55
"Sept. 30, 2007",18.45
"June 30, 2007",18.01
"March 31, 2007",18.03
"Dec. 31, 2006",18.53
"Sept. 30, 2006",20.21
"June 30, 2006",33.36
"March 31, 2006",33.81
"Dec. 31, 2005",37.32
"Sept. 30, 2005",32.09
"June 30, 2005",31.64
"March 31, 2005",32.15
"Dec. 31, 2004",32.95
"Sept. 30, 2004",33.03
"June 30, 2004",32.42
"March 31, 2004",28.94
"Dec. 31, 2003",29.64
"Sept. 30, 2003",27.75
"June 30, 2003",27.22
"March 31, 2003",28.02
"Dec. 31, 2002",29.11
"Sept. 30, 2002",30.31
"June 30, 2002",29.53
"March 31, 2002",29.94
"Dec. 31, 2001",30.93
"Sept. 30, 2001",30.55
"June 30, 2001",29.69
"March 31, 2001",29.81
"Dec. 31, 2000",29.85
"Sept. 30, 2000",33.69
"June 30, 2000",31.96
"March 31, 2000",19.85
"Dec. 31, 1999",19.55
"Sept. 30, 1999",19.45
"June 30, 1999",18.82
"March 31, 1999",18.65
"Dec. 31, 1998",18.65
"Sept. 30, 1998",19.00
"June 30, 1998",18.31
"March 31, 1998",18.49
"Dec. 31, 1997",18.45
"Sept. 30, 1997",18.68
"June 30, 1997",18.55
"March 31, 1997",18.62
"Dec. 31, 1996",18.72
"Sept. 30, 1996",19.13
"June 30, 1996",18.80
"March 31, 1996",18.78
"Dec. 31, 1995",18.72
"Sept. 30, 1995",18.86
"June 30, 1995",18.16
"March 31, 1995",18.18
"Dec. 31, 1994",18.23
"Sept. 30, 1994",18.56
"June 30, 1994",17.91
"March 31, 1994",18.08
