date,days_inventory_outstanding
"Dec. 31, 2019",22.93
"Sept. 30, 2019",24.63
"June 30, 2019",22.65
"March 31, 2019",17.54
"Dec. 31, 2018",20.38
"Sept. 30, 2018",22.56
"June 30, 2018",21.91
"March 31, 2018",16.30
"Dec. 31, 2017",29.86
"Sept. 30, 2017",44.75
"June 30, 2017",44.82
"March 31, 2017",33.56
"Dec. 31, 2016",38.06
"Sept. 30, 2016",36.03
"June 30, 2016",38.66
"March 31, 2016",33.97
"Dec. 31, 2015",26.95
"Sept. 30, 2015",7.905
"June 30, 2015",6.143
"March 31, 2015",21.18
"Dec. 31, 2014",9.846
"Sept. 30, 2014",35.98
"June 30, 2014",18.02
"March 31, 2014",13.47
"Dec. 31, 2013",4.121
"Sept. 30, 2013",35.67
"June 30, 2013",21.64
"March 31, 2013",14.77
"Dec. 31, 2012",30.79
"Sept. 30, 2012",40.37
"June 30, 2012",40.05
"March 31, 2012",30.49
"Dec. 31, 2011",20.39
"Sept. 30, 2011",70.59
"June 30, 2011",51.89
"March 31, 2011",26.14
"Dec. 31, 2010",
"Sept. 30, 2010",
"June 30, 2010",6.676
"March 31, 2010",4.685
"Dec. 31, 2009",5.014
"Sept. 30, 2009",4.065
"June 30, 2009",4.990
"March 31, 2009",3.185
"Dec. 31, 2008",2.761
"Sept. 30, 2008",3.460
"June 30, 2008",4.372
"March 31, 2008",2.890
"Dec. 31, 2007",3.026
"Sept. 30, 2007",2.331
"June 30, 2007",2.183
"March 31, 2007",1.213
"Dec. 31, 2006",2.268
"Sept. 30, 2006",1.566
"June 30, 2006",4.261
"March 31, 2006",4.018
"Dec. 31, 2005",3.824
"Sept. 30, 2005",3.938
"June 30, 2005",5.282
"March 31, 2005",5.16
"Dec. 31, 2004",5.634
"Sept. 30, 2004",4.122
"June 30, 2004",5.854
"March 31, 2004",4.995
"Dec. 31, 2003",8.14
"Sept. 30, 2003",9.697
"June 30, 2003",11.98
"March 31, 2003",7.794
"Dec. 31, 2002",12.63
"Sept. 30, 2002",16.39
"June 30, 2002",21.23
"March 31, 2002",20.89
"Dec. 31, 2001",21.77
"Sept. 30, 2001",14.14
"June 30, 2001",13.68
"March 31, 2001",13.49
"Dec. 31, 2000",14.33
"Sept. 30, 2000",12.40
"June 30, 2000",11.93
"March 31, 2000",12.61
"Dec. 31, 1999",18.12
"Sept. 30, 1999",11.96
"June 30, 1999",40.41
"March 31, 1999",71.73
"Dec. 31, 1998",59.38
"Sept. 30, 1998",55.82
"June 30, 1998",57.68
"March 31, 1998",40.95
"Dec. 31, 1997",32.79
"Sept. 30, 1997",35.79
"June 30, 1997",39.50
"March 31, 1997",30.58
"Dec. 31, 1996",34.39
"Sept. 30, 1996",34.80
"June 30, 1996",45.93
"March 31, 1996",47.46
"Dec. 31, 1995",49.89
"Sept. 30, 1995",44.30
"June 30, 1995",46.02
"March 31, 1995",41.59
"Dec. 31, 1994",55.31
"Sept. 30, 1994",48.10
"June 30, 1994",52.64
