date,debt_equity_ratio
"Dec. 31, 2019",0.5254
"Sept. 30, 2019",0.4997
"June 30, 2019",0.475
"March 31, 2019",0.4361
"Dec. 31, 2018",0.4204
"Sept. 30, 2018",0.4045
"June 30, 2018",0.3859
"March 31, 2018",0.3958
"Dec. 31, 2017",0.407
"Sept. 30, 2017",0.3779
"June 30, 2017",0.3533
"March 31, 2017",0.34
"Dec. 31, 2016",0.3297
"Sept. 30, 2016",0.305
"June 30, 2016",0.3108
"March 31, 2016",0.3102
"Dec. 31, 2015",0.3254
"Sept. 30, 2015",1.312
"June 30, 2015",1.321
"March 31, 2015",1.273
"Dec. 31, 2014",0.2116
"Sept. 30, 2014",1.273
"June 30, 2014",1.264
"March 31, 2014",1.252
"Dec. 31, 2013",1.282
"Sept. 30, 2013",1.638
"June 30, 2013",1.562
"March 31, 2013",1.567
"Dec. 31, 2012",1.644
"Sept. 30, 2012",1.629
"June 30, 2012",1.572
"March 31, 2012",1.578
"Dec. 31, 2011",1.641
"Sept. 30, 2011",1.558
"June 30, 2011",1.460
"March 31, 2011",1.478
"Dec. 31, 2010",1.554
"Sept. 30, 2010",
"June 30, 2010",1.324
"March 31, 2010",1.289
"Dec. 31, 2009",1.274
"Sept. 30, 2009",1.231
"June 30, 2009",1.233
"March 31, 2009",1.656
"Dec. 31, 2008",1.585
"Sept. 30, 2008",1.484
"June 30, 2008",1.462
"March 31, 2008",1.379
"Dec. 31, 2007",1.289
"Sept. 30, 2007",1.255
"June 30, 2007",1.167
"March 31, 2007",1.148
"Dec. 31, 2006",1.057
"Sept. 30, 2006",0.9758
"June 30, 2006",0.9875
"March 31, 2006",0.9821
"Dec. 31, 2005",0.9387
"Sept. 30, 2005",0.9457
"June 30, 2005",0.9531
"March 31, 2005",0.9544
"Dec. 31, 2004",0.928
"Sept. 30, 2004",0.9145
"June 30, 2004",0.9185
"March 31, 2004",1.155
"Dec. 31, 2003",1.168
"Sept. 30, 2003",1.150
"June 30, 2003",1.132
"March 31, 2003",1.109
"Dec. 31, 2002",1.117
"Sept. 30, 2002",1.174
"June 30, 2002",1.275
"March 31, 2002",1.261
"Dec. 31, 2001",1.289
"Sept. 30, 2001",1.249
"June 30, 2001",1.314
"March 31, 2001",1.365
"Dec. 31, 2000",1.322
"Sept. 30, 2000",1.251
"June 30, 2000",1.136
"March 31, 2000",1.154
"Dec. 31, 1999",1.223
"Sept. 30, 1999",1.223
"June 30, 1999",1.277
"March 31, 1999",1.654
"Dec. 31, 1998",1.818
"Sept. 30, 1998",1.643
"June 30, 1998",1.716
"March 31, 1998",1.714
"Dec. 31, 1997",1.765
"Sept. 30, 1997",1.997
"June 30, 1997",1.892
"March 31, 1997",1.928
"Dec. 31, 1996",1.892
"Sept. 30, 1996",1.929
"June 30, 1996",2.058
"March 31, 1996",1.983
"Dec. 31, 1995",1.968
"Sept. 30, 1995",2.062
"June 30, 1995",2.199
"March 31, 1995",2.081
"Dec. 31, 1994",2.051
"Sept. 30, 1994",2.087
"June 30, 1994",2.161
"March 31, 1994",2.066
