date,liabilities
"Dec. 31, 2019",18.83B
"Sept. 30, 2019",18.03B
"June 30, 2019",17.59B
"March 31, 2019",17.15B
"Dec. 31, 2018",16.76B
"Sept. 30, 2018",16.30B
"June 30, 2018",15.91B
"March 31, 2018",16.16B
"Dec. 31, 2017",16.58B
"Sept. 30, 2017",16.70B
"June 30, 2017",16.24B
"March 31, 2017",16.14B
"Dec. 31, 2016",16.10B
"Sept. 30, 2016",15.56B
"June 30, 2016",15.35B
"March 31, 2016",15.42B
"Dec. 31, 2015",15.68B
"Sept. 30, 2015",3.784B
"June 30, 2015",3.804B
"March 31, 2015",3.725B
"Dec. 31, 2014",11.68B
"Sept. 30, 2014",3.499B
"June 30, 2014",3.727B
"March 31, 2014",3.745B
"Dec. 31, 2013",3.790B
"Sept. 30, 2013",3.736B
"June 30, 2013",3.730B
"March 31, 2013",3.814B
"Dec. 31, 2012",3.902B
"Sept. 30, 2012",3.621B
"June 30, 2012",3.529B
"March 31, 2012",3.540B
"Dec. 31, 2011",3.649B
"Sept. 30, 2011",3.489B
"June 30, 2011",3.384B
"March 31, 2011",3.326B
"Dec. 31, 2010",3.406B
"Sept. 30, 2010",
"June 30, 2010",1.617B
"March 31, 2010",1.585B
"Dec. 31, 2009",1.648B
"Sept. 30, 2009",1.581B
"June 30, 2009",1.555B
"March 31, 2009",1.643B
"Dec. 31, 2008",1.609B
"Sept. 30, 2008",1.448B
"June 30, 2008",1.410B
"March 31, 2008",1.359B
"Dec. 31, 2007",1.312B
"Sept. 30, 2007",1.320B
"June 30, 2007",1.206B
"March 31, 2007",1.196B
"Dec. 31, 2006",1.171B
"Sept. 30, 2006",1.184B
"June 30, 2006",1.203B
"March 31, 2006",1.226B
"Dec. 31, 2005",1.254B
"Sept. 30, 2005",1.242B
"June 30, 2005",1.232B
"March 31, 2005",1.228B
"Dec. 31, 2004",1.239B
"Sept. 30, 2004",1.242B
"June 30, 2004",1.297B
"March 31, 2004",1.405B
"Dec. 31, 2003",1.405B
"Sept. 30, 2003",1.330B
"June 30, 2003",1.311B
"March 31, 2003",1.328B
"Dec. 31, 2002",1.311B
"Sept. 30, 2002",1.358B
"June 30, 2002",1.345B
"March 31, 2002",1.340B
"Dec. 31, 2001",1.364B
"Sept. 30, 2001",1.404B
"June 30, 2001",1.393B
"March 31, 2001",1.424B
"Dec. 31, 2000",1.390B
"Sept. 30, 2000",1.373B
"June 30, 2000",1.274B
"March 31, 2000",1.270B
"Dec. 31, 1999",1.290B
"Sept. 30, 1999",1.187B
"June 30, 1999",1.172B
"March 31, 1999",1.291B
"Dec. 31, 1998",1.441B
"Sept. 30, 1998",1.283B
"June 30, 1998",1.297B
"March 31, 1998",1.297B
"Dec. 31, 1997",1.387B
"Sept. 30, 1997",1.472B
"June 30, 1997",1.419B
"March 31, 1997",1.464B
"Dec. 31, 1996",1.466B
"Sept. 30, 1996",1.487B
"June 30, 1996",1.516B
"March 31, 1996",1.488B
"Dec. 31, 1995",1.485B
"Sept. 30, 1995",1.550B
"June 30, 1995",1.604B
"March 31, 1995",1.614B
"Dec. 31, 1994",1.602B
"Sept. 30, 1994",1.609B
"June 30, 1994",1.623B
"March 31, 1994",1.609B
