date,one_month_return
"March 19, 2020",-15.44%
"March 18, 2020",-8.62%
"March 17, 2020",-6.74%
"March 16, 2020",-20.62%
"March 13, 2020",-14.52%
"March 12, 2020",-19.07%
"March 11, 2020",-10.04%
"March 10, 2020",-5.81%
"March 9, 2020",-5.17%
"March 6, 2020",-3.10%
"March 5, 2020",-1.57%
"March 4, 2020",1.51%
"March 3, 2020",-3.47%
"March 2, 2020",-2.37%
"Feb. 28, 2020",-6.84%
"Feb. 27, 2020",-5.25%
"Feb. 26, 2020",-0.69%
"Feb. 25, 2020",7.83%
"Feb. 24, 2020",8.35%
"Feb. 21, 2020",8.84%
"Feb. 20, 2020",8.60%
"Feb. 19, 2020",7.41%
"Feb. 18, 2020",7.27%
"Feb. 14, 2020",6.06%
"Feb. 13, 2020",5.56%
"Feb. 12, 2020",4.43%
"Feb. 11, 2020",4.71%
"Feb. 10, 2020",4.69%
"Feb. 7, 2020",4.07%
"Feb. 6, 2020",4.36%
"Feb. 5, 2020",4.04%
"Feb. 4, 2020",4.28%
"Feb. 3, 2020",5.14%
"Jan. 31, 2020",4.10%
"Jan. 30, 2020",5.74%
"Jan. 29, 2020",5.20%
"Jan. 28, 2020",4.71%
"Jan. 27, 2020",3.14%
"Jan. 24, 2020",3.10%
"Jan. 23, 2020",0.62%
"Jan. 22, 2020",-0.95%
"Jan. 21, 2020",-0.60%
"Jan. 17, 2020",0.89%
"Jan. 16, 2020",1.80%
"Jan. 15, 2020",3.36%
"Jan. 14, 2020",2.88%
"Jan. 13, 2020",2.82%
"Jan. 10, 2020",3.14%
"Jan. 9, 2020",4.21%
"Jan. 8, 2020",2.97%
"Jan. 7, 2020",3.46%
"Jan. 6, 2020",3.72%
"Jan. 3, 2020",5.01%
"Jan. 2, 2020",5.66%
"Dec. 31, 2019",5.40%
"Dec. 30, 2019",4.84%
"Dec. 27, 2019",3.90%
"Dec. 26, 2019",3.14%
"Dec. 24, 2019",4.95%
"Dec. 23, 2019",6.49%
"Dec. 20, 2019",6.28%
"Dec. 19, 2019",5.38%
"Dec. 18, 2019",5.01%
"Dec. 17, 2019",4.06%
"Dec. 16, 2019",2.65%
"Dec. 13, 2019",1.31%
"Dec. 12, 2019",1.73%
"Dec. 11, 2019",0.99%
"Dec. 10, 2019",1.22%
"Dec. 9, 2019",0.66%
"Dec. 6, 2019",-1.21%
"Dec. 5, 2019",-0.83%
"Dec. 4, 2019",-0.79%
"Dec. 3, 2019",-3.08%
"Dec. 2, 2019",-3.92%
"Nov. 29, 2019",-2.90%
"Nov. 27, 2019",-2.29%
"Nov. 26, 2019",-2.29%
"Nov. 25, 2019",-3.27%
"Nov. 22, 2019",-5.39%
"Nov. 21, 2019",-4.19%
"Nov. 20, 2019",-3.29%
"Nov. 19, 2019",-3.75%
"Nov. 18, 2019",-3.04%
"Nov. 15, 2019",-1.59%
"Nov. 14, 2019",-1.61%
"Nov. 13, 2019",-2.29%
"Nov. 12, 2019",-3.57%
"Nov. 11, 2019",-3.25%
"Nov. 8, 2019",-4.54%
"Nov. 7, 2019",-4.39%
"Nov. 6, 2019",-4.00%
"Nov. 5, 2019",-4.04%
"Nov. 4, 2019",-4.06%
"Nov. 1, 2019",-3.62%
"Oct. 31, 2019",-4.21%
"Oct. 30, 2019",-5.47%
"Oct. 29, 2019",-4.31%
"Oct. 28, 2019",-5.00%
"Oct. 25, 2019",-3.46%
"Oct. 24, 2019",-1.86%
"Oct. 23, 2019",-1.06%
"Oct. 22, 2019",-1.11%
"Oct. 21, 2019",-1.49%
"Oct. 18, 2019",-1.52%
"Oct. 17, 2019",-2.08%
"Oct. 16, 2019",-2.38%
"Oct. 15, 2019",-2.50%
"Oct. 14, 2019",-2.48%
"Oct. 11, 2019",-1.85%
"Oct. 10, 2019",-0.02%
"Oct. 9, 2019",1.90%
"Oct. 8, 2019",0.94%
"Oct. 7, 2019",1.53%
"Oct. 4, 2019",-0.67%
"Oct. 3, 2019",-0.89%
"Oct. 2, 2019",1.80%
"Oct. 1, 2019",2.75%
"Sept. 30, 2019",3.38%
"Sept. 27, 2019",5.98%
"Sept. 26, 2019",5.58%
"Sept. 25, 2019",6.26%
"Sept. 24, 2019",6.44%
"Sept. 23, 2019",5.93%
"Sept. 20, 2019",4.88%
"Sept. 19, 2019",3.64%
"Sept. 18, 2019",3.88%
"Sept. 17, 2019",3.51%
"Sept. 16, 2019",3.19%
"Sept. 13, 2019",2.94%
"Sept. 12, 2019",2.95%
"Sept. 11, 2019",0.87%
"Sept. 10, 2019",-0.85%
"Sept. 9, 2019",-1.65%
"Sept. 6, 2019",-0.32%
"Sept. 5, 2019",2.82%
"Sept. 4, 2019",3.43%
"Sept. 3, 2019",2.57%
"Aug. 30, 2019",0.46%
"Aug. 29, 2019",1.01%
"Aug. 28, 2019",0.51%
"Aug. 27, 2019",0.65%
"Aug. 26, 2019",0.65%
"Aug. 23, 2019",0.87%
"Aug. 22, 2019",1.33%
"Aug. 21, 2019",0.22%
"Aug. 20, 2019",0.00%
"Aug. 19, 2019",0.59%
"Aug. 16, 2019",-0.26%
"Aug. 15, 2019",-1.43%
"Aug. 14, 2019",-3.02%
"Aug. 13, 2019",-1.14%
"Aug. 12, 2019",-0.88%
"Aug. 9, 2019",-0.85%
"Aug. 8, 2019",-0.55%
"Aug. 7, 2019",-1.98%
"Aug. 6, 2019",-1.41%
"Aug. 5, 2019",-3.66%
"Aug. 2, 2019",-1.38%
"Aug. 1, 2019",1.21%
"July 31, 2019",0.10%
"July 30, 2019",-0.38%
"July 29, 2019",-1.74%
"July 26, 2019",-3.01%
"July 25, 2019",-4.28%
"July 24, 2019",-5.56%
"July 23, 2019",-6.44%
"July 22, 2019",-5.77%
"July 19, 2019",-4.06%
"July 18, 2019",-2.14%
"July 17, 2019",-3.52%
"July 16, 2019",-3.98%
"July 15, 2019",-3.60%
"July 12, 2019",-2.65%
"July 11, 2019",0.63%
"July 10, 2019",-0.04%
"July 9, 2019",-1.63%
"July 8, 2019",-1.10%
"July 5, 2019",-1.12%
"July 3, 2019",-0.49%
"July 2, 2019",1.62%
"July 1, 2019",0.70%
"June 28, 2019",-0.16%
"June 27, 2019",-1.08%
"June 26, 2019",-0.67%
"June 25, 2019",0.67%
"June 24, 2019",1.22%
"June 21, 2019",3.47%
"June 20, 2019",2.71%
"June 19, 2019",2.17%
"June 18, 2019",1.42%
"June 17, 2019",2.41%
"June 14, 2019",2.88%
"June 13, 2019",2.10%
"June 12, 2019",2.79%
"June 11, 2019",1.66%
"June 10, 2019",2.65%
"June 7, 2019",3.34%
"June 6, 2019",3.05%
"June 5, 2019",1.55%
"June 4, 2019",-0.26%
"June 3, 2019",0.53%
"May 31, 2019",-2.25%
"May 30, 2019",-3.22%
"May 29, 2019",-1.70%
"May 28, 2019",-0.94%
"May 24, 2019",-3.42%
"May 23, 2019",-3.34%
"May 22, 2019",-3.11%
"May 21, 2019",-2.91%
"May 20, 2019",-2.60%
"May 17, 2019",-2.32%
"May 16, 2019",-2.30%
"May 15, 2019",-3.21%
"May 14, 2019",-2.86%
"May 13, 2019",-2.08%
"May 10, 2019",-1.96%
"May 9, 2019",-3.25%
"May 8, 2019",-2.99%
"May 7, 2019",-1.05%
"May 6, 2019",-0.55%
"May 3, 2019",1.25%
