date,price_target_upside
"March 19, 2020",5.42%
"March 18, 2020",-2.33%
"March 17, 2020",-2.47%
"March 16, 2020",14.59%
"March 13, 2020",6.99%
"March 12, 2020",14.78%
"March 11, 2020",2.98%
"March 10, 2020",-1.63%
"March 9, 2020",-1.82%
"March 6, 2020",-4.43%
"March 5, 2020",-6.08%
"March 4, 2020",-9.12%
"March 3, 2020",-5.22%
"March 2, 2020",-5.13%
"Feb. 28, 2020",0.18%
"Feb. 27, 2020",-0.00%
"Feb. 26, 2020",-2.28%
"Feb. 25, 2020",-9.71%
"Feb. 24, 2020",-10.14%
"Feb. 21, 2020",-9.29%
"Feb. 20, 2020",-8.54%
"Feb. 19, 2020",-7.53%
"Feb. 18, 2020",-7.41%
"Feb. 14, 2020",-5.64%
"Feb. 13, 2020",-5.13%
"Feb. 12, 2020",-3.63%
"Feb. 11, 2020",-3.89%
"Feb. 10, 2020",-3.87%
"Feb. 7, 2020",-3.41%
"Feb. 6, 2020",-3.92%
"Feb. 5, 2020",-4.09%
"Feb. 4, 2020",-4.30%
"Feb. 3, 2020",-5.09%
"Jan. 31, 2020",-5.08%
"Jan. 30, 2020",-6.05%
"Jan. 29, 2020",-5.66%
"Jan. 28, 2020",-5.22%
"Jan. 27, 2020",-3.78%
"Jan. 24, 2020",-4.55%
"Jan. 23, 2020",-3.61%
"Jan. 22, 2020",-2.88%
"Jan. 21, 2020",-3.22%
"Jan. 17, 2020",-2.63%
"Jan. 16, 2020",-2.17%
"Jan. 15, 2020",-2.34%
"Jan. 14, 2020",-1.88%
"Jan. 13, 2020",-1.83%
"Jan. 10, 2020",-1.34%
"Jan. 9, 2020",-1.81%
"Jan. 8, 2020",-1.43%
"Jan. 7, 2020",-1.90%
"Jan. 6, 2020",-2.15%
"Jan. 3, 2020",-2.61%
"Jan. 2, 2020",-2.36%
"Dec. 31, 2019",-3.03%
"Dec. 30, 2019",-2.51%
"Dec. 27, 2019",-2.61%
"Dec. 26, 2019",-1.90%
"Dec. 24, 2019",-2.03%
"Dec. 23, 2019",-3.44%
"Dec. 20, 2019",-4.23%
"Dec. 19, 2019",-2.95%
"Dec. 18, 2019",-3.33%
"Dec. 17, 2019",-2.21%
"Dec. 16, 2019",-0.86%
"Dec. 13, 2019",0.49%
"Dec. 12, 2019",1.41%
"Dec. 11, 2019",1.81%
"Dec. 10, 2019",1.31%
"Dec. 9, 2019",1.87%
"Dec. 6, 2019",1.50%
"Dec. 5, 2019",1.14%
"Dec. 4, 2019",1.12%
"Dec. 3, 2019",2.27%
"Dec. 2, 2019",3.16%
"Nov. 29, 2019",2.21%
"Nov. 27, 2019",1.19%
"Nov. 26, 2019",1.19%
"Nov. 25, 2019",2.21%
"Nov. 22, 2019",2.82%
"Nov. 21, 2019",1.93%
"Nov. 20, 2019",1.79%
"Nov. 19, 2019",2.27%
"Nov. 18, 2019",1.52%
"Nov. 15, 2019",1.77%
"Nov. 14, 2019",1.77%
"Nov. 13, 2019",1.81%
"Nov. 12, 2019",3.16%
"Nov. 11, 2019",2.82%
"Nov. 8, 2019",2.54%
"Nov. 7, 2019",1.79%
"Nov. 6, 2019",0.26%
"Nov. 5, 2019",0.38%
"Nov. 4, 2019",0.61%
"Nov. 1, 2019",-0.60%
"Oct. 31, 2019",-0.70%
"Oct. 30, 2019",1.03%
