date,revenues_per_share
"Dec. 31, 2019",5.198
"Sept. 30, 2019",4.804
"June 30, 2019",4.523
"March 31, 2019",5.948
"Dec. 31, 2018",5.376
"Sept. 30, 2018",4.992
"June 30, 2018",4.527
"March 31, 2018",6.020
"Dec. 31, 2017",4.953
"Sept. 30, 2017",4.329
"June 30, 2017",4.296
"March 31, 2017",5.674
"Dec. 31, 2016",4.818
"Sept. 30, 2016",4.574
"June 30, 2016",4.647
"March 31, 2016",5.390
"Dec. 31, 2015",4.406
"Sept. 30, 2015",4.155
"June 30, 2015",3.723
"March 31, 2015",4.864
"Dec. 31, 2014",60.04
"Sept. 30, 2014",5.129
"June 30, 2014",5.863
"March 31, 2014",10.01
"Dec. 31, 2013",55.42
"Sept. 30, 2013",6.178
"June 30, 2013",6.232
"March 31, 2013",10.71
"Dec. 31, 2012",8.226
"Sept. 30, 2012",6.327
"June 30, 2012",5.542
"March 31, 2012",8.980
"Dec. 31, 2011",7.318
"Sept. 30, 2011",6.312
"June 30, 2011",6.173
"March 31, 2011",11.04
"Dec. 31, 2010",6.532
"Sept. 30, 2010",7.279
"June 30, 2010",6.833
"March 31, 2010",7.274
"Dec. 31, 2009",6.788
"Sept. 30, 2009",8.472
"June 30, 2009",7.327
"March 31, 2009",9.220
"Dec. 31, 2008",8.539
"Sept. 30, 2008",10.96
"June 30, 2008",8.515
"March 31, 2008",9.238
"Dec. 31, 2007",8.750
"Sept. 30, 2007",10.60
"June 30, 2007",8.585
"March 31, 2007",10.88
"Dec. 31, 2006",7.432
"Sept. 30, 2006",10.51
"June 30, 2006",8.092
"March 31, 2006",8.165
"Dec. 31, 2005",7.310
"Sept. 30, 2005",10.59
"June 30, 2005",7.624
"March 31, 2005",19.09
"Dec. 31, 2004",-4.790
"Sept. 30, 2004",22.40
"June 30, 2004",18.12
"March 31, 2004",17.29
"Dec. 31, 2003",10.18
"Sept. 30, 2003",20.42
"June 30, 2003",16.13
"March 31, 2003",16.40
"Dec. 31, 2002",12.18
"Sept. 30, 2002",22.49
"June 30, 2002",19.85
"March 31, 2002",18.12
"Dec. 31, 2001",14.78
"Sept. 30, 2001",22.16
"June 30, 2001",18.55
"March 31, 2001",17.13
"Dec. 31, 2000",4.146
"Sept. 30, 2000",17.51
"June 30, 2000",8.302
"March 31, 2000",8.708
"Dec. 31, 1999",6.338
"Sept. 30, 1999",8.506
"June 30, 1999",6.980
"March 31, 1999",7.23
"Dec. 31, 1998",8.932
"Sept. 30, 1998",8.538
"June 30, 1998",6.925
"March 31, 1998",7.011
"Dec. 31, 1997",7.228
"Sept. 30, 1997",8.505
"June 30, 1997",7.137
"March 31, 1997",7.686
"Dec. 31, 1996",7.828
"Sept. 30, 1996",8.885
"June 30, 1996",8.632
"March 31, 1996",7.248
"Dec. 31, 1995",6.955
"Sept. 30, 1995",8.604
"June 30, 1995",8.758
"March 31, 1995",6.992
"Dec. 31, 1994",6.426
"Sept. 30, 1994",7.855
"June 30, 1994",6.459
"March 31, 1994",7.170
"Dec. 31, 1993",6.398
"Sept. 30, 1993",8.065
"June 30, 1993",6.430
"March 31, 1993",6.926
"Dec. 31, 1992",6.606
"Sept. 30, 1992",7.579
"June 30, 1992",6.905
"March 31, 1992",7.661
"Dec. 31, 1991",7.862
"Sept. 30, 1991",7.206
"June 30, 1991",6.452
"March 31, 1991",7.344
"Dec. 31, 1990",6.636
"Sept. 30, 1990",7.029
"June 30, 1990",5.448
"March 31, 1990",5.960
"Dec. 31, 1989",5.606
"Sept. 30, 1989",6.227
"June 30, 1989",5.517
"March 31, 1989",5.569
"Dec. 31, 1988",5.491
"Sept. 30, 1988",6.247
"June 30, 1988",5.206
"March 31, 1988",5.474
"Dec. 31, 1987",5.240
"Sept. 30, 1987",5.806
"June 30, 1987",5.185
"March 31, 1987",5.267
"Dec. 31, 1986",4.882
"Sept. 30, 1986",5.144
"June 30, 1986",4.871
"March 31, 1986",5.567
"Dec. 31, 1985",5.633
"Sept. 30, 1985",5.700
"June 30, 1985",5.346
"March 31, 1985",6.002
"Dec. 31, 1984",5.554
"Sept. 30, 1984",6.012
"June 30, 1984",5.602
"March 31, 1984",5.922
