date,assets
"Dec. 31, 2019",18.11B
"Sept. 30, 2019",21.40B
"June 30, 2019",21.81B
"March 31, 2019",21.75B
"Dec. 31, 2018",21.58B
"Sept. 30, 2018",21.87B
"June 30, 2018",21.91B
"March 31, 2018",21.79B
"Dec. 31, 2017",21.92B
"Sept. 30, 2017",21.84B
"June 30, 2017",22.60B
"March 31, 2017",22.61B
"Dec. 31, 2016",22.52B
"Sept. 30, 2016",23.15B
"June 30, 2016",24.35B
"March 31, 2016",17.68B
"Dec. 31, 2015",25.50B
"Sept. 30, 2015",27.81B
"June 30, 2015",35.31B
"March 31, 2015",48.65B
"Dec. 31, 2014",55.95B
"Sept. 30, 2014",60.99B
"June 30, 2014",61.17B
"March 31, 2014",61.12B
"Dec. 31, 2013",61.64B
"Sept. 30, 2013",60.24B
"June 30, 2013",63.35B
"March 31, 2013",61.79B
"Dec. 31, 2012",60.74B
"Sept. 30, 2012",58.81B
"June 30, 2012",57.22B
"March 31, 2012",53.24B
"Dec. 31, 2011",52.05B
"Sept. 30, 2011",47.48B
"June 30, 2011",46.53B
"March 31, 2011",44.87B
"Dec. 31, 2010",43.42B
"Sept. 30, 2010",36.93B
"June 30, 2010",30.43B
"March 31, 2010",29.23B
"Dec. 31, 2009",28.19B
"Sept. 30, 2009",27.23B
"June 30, 2009",26.40B
"March 31, 2009",26.29B
"Dec. 31, 2008",29.19B
"Sept. 30, 2008",32.99B
"June 30, 2008",31.88B
"March 31, 2008",29.82B
"Dec. 31, 2007",28.63B
"Sept. 30, 2007",27.65B
"June 30, 2007",26.93B
"March 31, 2007",26.05B
"Dec. 31, 2006",24.31B
"Sept. 30, 2006",23.43B
"June 30, 2006",21.91B
"March 31, 2006",20.00B
"Dec. 31, 2005",19.27B
"Sept. 30, 2005",17.85B
"June 30, 2005",16.88B
"March 31, 2005",16.26B
"Dec. 31, 2004",15.50B
"Sept. 30, 2004",14.62B
"June 30, 2004",13.25B
"March 31, 2004",12.79B
"Dec. 31, 2003",12.42B
"Sept. 30, 2003",12.24B
"June 30, 2003",11.90B
"March 31, 2003",10.87B
"Dec. 31, 2002",9.460B
"Sept. 30, 2002",9.249B
"June 30, 2002",9.166B
"March 31, 2002",8.964B
"Dec. 31, 2001",8.934B
"Sept. 30, 2001",9.067B
"June 30, 2001",8.965B
"March 31, 2001",8.856B
"Dec. 31, 2000",7.482B
"Sept. 30, 2000",6.751B
"June 30, 2000",6.215B
"March 31, 2000",5.717B
"Dec. 31, 1999",5.503B
"Sept. 30, 1999",4.928B
"June 30, 1999",4.895B
"March 31, 1999",4.092B
"Dec. 31, 1998",3.996B
"Sept. 30, 1998",4.144B
"June 30, 1998",4.178B
"March 31, 1998",4.142B
"Dec. 31, 1997",4.139B
"Sept. 30, 1997",3.726B
"June 30, 1997",3.600B
"March 31, 1997",3.494B
"Dec. 31, 1996",3.432B
"Sept. 30, 1996",3.297B
"June 30, 1996",3.180B
"March 31, 1996",2.746B
"Dec. 31, 1995",2.682B
"Sept. 30, 1995",2.636B
"June 30, 1995",2.555B
"March 31, 1995",2.422B
"Dec. 31, 1994",1.879B
"Sept. 30, 1994",1.715B
"June 30, 1994",1.662B
"March 31, 1994",1.618B
"Dec. 31, 1993",1.592B
"Sept. 30, 1993",1.526B
"June 30, 1993",1.269B
"March 31, 1993",1.274B
"Dec. 31, 1992",1.219B
"Sept. 30, 1992",1.159B
"June 30, 1992",1.185B
"March 31, 1992",1.191B
"Dec. 31, 1991",1.209B
"Sept. 30, 1991",1.262B
"June 30, 1991",806.80M
"March 31, 1991",812.00M
"Dec. 31, 1990",829.60M
"Sept. 30, 1990",798.80M
"June 30, 1990",758.50M
"March 31, 1990",763.40M
"Dec. 31, 1989",764.40M
"Dec. 31, 1988",701.70M
"Dec. 31, 1987",504.30M
"Dec. 31, 1986",728.90M
"Dec. 31, 1985",536.40M
"Dec. 31, 1984",489.30M
