date,beneish_m_score
"Dec. 31, 2019",-3.640
"Dec. 31, 2018",-3.551
"Dec. 31, 2017",-2.806
"Dec. 31, 2016",-3.773
"Dec. 31, 2015",-4.692
"Dec. 31, 2014",-4.391
"Dec. 31, 2013",-3.139
"Dec. 31, 2012",-2.873
"Dec. 31, 2011",-3.663
"Dec. 31, 2010",-2.856
"Dec. 31, 2009",-4.778
"Dec. 31, 2008",
"Dec. 31, 2007",-2.725
"Dec. 31, 2006",-2.624
"Dec. 31, 2005",-2.444
"Dec. 31, 2004",-2.586
"Dec. 31, 2003",-2.753
"Dec. 31, 2002",-2.584
"Dec. 31, 2001",-1.662
"Dec. 31, 2000",-2.210
"Dec. 31, 1999",-3.340
"Dec. 31, 1998",-4.732
"Dec. 31, 1997",-3.949
"Dec. 31, 1996",-3.694
"Dec. 31, 1995",-3.583
"Dec. 31, 1994",-3.823
"Dec. 31, 1993",-3.822
"Dec. 31, 1992",-3.845
"Dec. 31, 1991",-3.688
"Dec. 31, 1990",-4.227
