date,cash_financing_ttm
"Dec. 31, 2019",112.00M
"Sept. 30, 2019",325.00M
"June 30, 2019",-64.00M
"March 31, 2019",-518.00M
"Dec. 31, 2018",-787.00M
"Sept. 30, 2018",-1.118B
"June 30, 2018",-844.00M
"March 31, 2018",-819.00M
"Dec. 31, 2017",-721.00M
"Sept. 30, 2017",-923.00M
"June 30, 2017",-964.00M
"March 31, 2017",-931.00M
"Dec. 31, 2016",-860.00M
"Sept. 30, 2016",-608.00M
"June 30, 2016",-1.461B
"March 31, 2016",-4.037B
"Dec. 31, 2015",-2.962B
"Sept. 30, 2015",-2.674B
"June 30, 2015",-1.055B
"March 31, 2015",741.00M
"Dec. 31, 2014",-794.00M
"Sept. 30, 2014",-23.00M
"June 30, 2014",-2.504B
"March 31, 2014",-1.639B
"Dec. 31, 2013",-973.00M
"Sept. 30, 2013",-1.309B
"June 30, 2013",1.94B
"March 31, 2013",4.259B
"Dec. 31, 2012",4.785B
"Sept. 30, 2012",4.107B
"June 30, 2012",2.08B
"March 31, 2012",-554.00M
"Dec. 31, 2011",-1.147B
"Sept. 30, 2011",-1.149B
"June 30, 2011",4.499B
"March 31, 2011",4.783B
"Dec. 31, 2010",4.763B
"Sept. 30, 2010",4.697B
"June 30, 2010",-186.17M
"March 31, 2010",-84.82M
"Dec. 31, 2009",-110.00M
"Sept. 30, 2009",813.68M
"June 30, 2009",738.16M
"March 31, 2009",618.37M
"Dec. 31, 2008",525.26M
"Sept. 30, 2008",-948.14M
"June 30, 2008",-1.085B
"March 31, 2008",-1.034B
"Dec. 31, 2007",253.80M
"Sept. 30, 2007",1.081B
"June 30, 2007",1.379B
"March 31, 2007",2.398B
"Dec. 31, 2006",1.374B
"Sept. 30, 2006",1.180B
"June 30, 2006",729.67M
"March 31, 2006",-296.27M
"Dec. 31, 2005",-482.66M
"Sept. 30, 2005",-560.12M
"June 30, 2005",290.06M
"March 31, 2005",334.41M
"Dec. 31, 2004",257.08M
"Sept. 30, 2004",174.34M
"June 30, 2004",-648.73M
"March 31, 2004",-244.92M
"Dec. 31, 2003",234.47M
"Sept. 30, 2003",417.12M
"June 30, 2003",662.62M
"March 31, 2003",181.73M
"Dec. 31, 2002",-128.45M
"Sept. 30, 2002",-215.89M
"June 30, 2002",-87.64M
"March 31, 2002",-127.79M
"Dec. 31, 2001",377.79M
"Sept. 30, 2001",721.81M
"June 30, 2001",813.05M
"March 31, 2001",1.210B
"Dec. 31, 2000",723.63M
"Sept. 30, 2000",902.10M
"June 30, 2000",602.08M
"March 31, 2000",992.43M
"Dec. 31, 1999",1.130B
"Sept. 30, 1999",752.00M
"June 30, 1999",813.93M
"March 31, 1999",190.00M
"Dec. 31, 1998",45.50M
"Sept. 30, 1998",281.30M
"June 30, 1998",298.60M
"March 31, 1998",367.20M
"Dec. 31, 1997",338.90M
"Sept. 30, 1997",48.80M
"June 30, 1997",164.20M
"March 31, 1997",73.10M
"Dec. 31, 1996",127.30M
"Sept. 30, 1996",136.20M
"June 30, 1996",118.50M
"March 31, 1996",48.40M
"Dec. 31, 1995",521.60M
"Sept. 30, 1995",627.30M
"June 30, 1995",599.60M
"March 31, 1995",681.30M
"Dec. 31, 1994",182.10M
"Sept. 30, 1994",120.40M
"June 30, 1994",248.00M
"March 31, 1994",196.10M
"Dec. 31, 1993",232.40M
"Sept. 30, 1993",219.40M
"June 30, 1993",33.50M
"March 31, 1993",-3.80M
"Dec. 31, 1992",-56.70M
"Sept. 30, 1992",-158.70M
"June 30, 1992",240.80M
"March 31, 1992",292.00M
"Dec. 31, 1991",268.30M
"Sept. 30, 1991",335.90M
"June 30, 1991",-4.90M
"March 31, 1991",5.20M
"Dec. 31, 1990",-6.50M
