date,eps_est_0y
"March 19, 2020",-0.9644
"March 18, 2020",-0.9644
"March 17, 2020",-0.946
"March 16, 2020",-0.6285
"March 14, 2020",-0.0893
"March 13, 2020",-0.0925
"March 12, 2020",-0.0704
"March 11, 2020",0.0436
"March 10, 2020",0.1144
"March 9, 2020",0.0368
"March 8, 2020",0.4112
"March 6, 2020",0.3508
"March 4, 2020",0.3143
"March 3, 2020",0.3142
"March 2, 2020",0.2407
"Feb. 29, 2020",0.3653
"Feb. 28, 2020",0.3295
"Feb. 27, 2020",0.4211
"Feb. 26, 2020",0.1161
"Feb. 3, 2020",0.1383
"Jan. 29, 2020",0.1442
"Jan. 28, 2020",0.2335
"Jan. 27, 2020",0.2181
"Jan. 24, 2020",0.254
"Jan. 23, 2020",0.2369
"Jan. 22, 2020",0.1968
"Jan. 21, 2020",0.2164
"Jan. 17, 2020",0.2071
"Jan. 16, 2020",0.2129
"Jan. 14, 2020",0.191
"Jan. 13, 2020",0.1598
"Jan. 9, 2020",0.1434
"Jan. 8, 2020",0.1454
"Jan. 7, 2020",0.1467
"Jan. 6, 2020",0.1236
"Jan. 3, 2020",0.108
"Dec. 31, 2019",-0.1234
"Dec. 23, 2019",-0.3519
"Dec. 19, 2019",-0.275
"Dec. 17, 2019",-0.2746
"Dec. 9, 2019",-0.2626
"Dec. 6, 2019",-0.2591
"Dec. 3, 2019",-0.2795
"Dec. 2, 2019",-0.2837
"Nov. 26, 2019",-0.2839
"Nov. 25, 2019",-0.2839
"Nov. 21, 2019",-0.1947
"Nov. 19, 2019",-0.2047
"Nov. 15, 2019",-0.1691
"Nov. 13, 2019",-0.1421
"Nov. 8, 2019",-0.1229
"Nov. 7, 2019",-0.1171
"Nov. 4, 2019",-0.1163
"Nov. 2, 2019",-0.0757
"Nov. 1, 2019",-0.0582
"Oct. 31, 2019",-0.0578
"Oct. 30, 2019",-0.0395
"Oct. 29, 2019",-0.0645
"Oct. 28, 2019",-0.0658
"Oct. 24, 2019",-0.0687
"Oct. 23, 2019",-0.0654
"Oct. 22, 2019",-0.1108
"Oct. 21, 2019",-0.0708
"Oct. 20, 2019",-0.044
"Oct. 19, 2019",-0.0448
"Oct. 18, 2019",-0.0416
"Oct. 17, 2019",-0.025
"Oct. 16, 2019",0.0431
"Oct. 15, 2019",0.086
"Oct. 14, 2019",0.0865
"Oct. 11, 2019",0.0926
"Oct. 10, 2019",0.0863
"Oct. 8, 2019",0.1288
"Oct. 4, 2019",0.1448
"Sept. 26, 2019",0.1619
"Sept. 24, 2019",0.1691
"Sept. 23, 2019",0.1954
"Sept. 16, 2019",0.1844
"Sept. 6, 2019",0.1619
"Aug. 30, 2019",0.1561
"Aug. 27, 2019",0.1843
"Aug. 26, 2019",0.198
"Aug. 23, 2019",0.171
"Aug. 22, 2019",0.2102
"Aug. 21, 2019",0.2274
"Aug. 19, 2019",0.4045
"Aug. 16, 2019",0.404
"Aug. 15, 2019",0.4069
"Aug. 14, 2019",0.4312
"Aug. 12, 2019",0.4322
"Aug. 11, 2019",0.4123
"Aug. 9, 2019",0.4313
"Aug. 6, 2019",0.428
"Aug. 5, 2019",0.3766
"Aug. 2, 2019",0.332
"Aug. 1, 2019",0.3007
"July 31, 2019",0.7398
"July 29, 2019",0.8094
"July 25, 2019",0.8701
"July 23, 2019",0.8678
"July 22, 2019",0.8575
"July 20, 2019",0.9122
"July 19, 2019",0.9065
"July 18, 2019",0.9768
"July 17, 2019",1.012
"July 15, 2019",1.083
"July 12, 2019",1.054
"July 11, 2019",1.098
"July 10, 2019",1.134
"July 9, 2019",1.142
"July 8, 2019",1.172
"June 28, 2019",1.187
"June 24, 2019",1.187
"June 20, 2019",1.145
"June 18, 2019",1.170
"June 7, 2019",1.144
"June 3, 2019",1.145
"May 30, 2019",1.123
"May 28, 2019",1.134
"May 24, 2019",1.160
"May 23, 2019",1.166
"May 22, 2019",1.165
"May 21, 2019",1.168
"May 17, 2019",1.170
"May 16, 2019",1.167
"May 14, 2019",1.210
"May 13, 2019",1.216
"May 10, 2019",1.227
"May 9, 2019",1.264
"May 8, 2019",1.264
"May 6, 2019",1.236
"May 3, 2019",1.230
"May 2, 2019",1.086
"April 30, 2019",1.134
"April 29, 2019",1.133
"April 26, 2019",1.130
"April 24, 2019",1.176
"April 23, 2019",1.164
"April 22, 2019",1.157
"April 19, 2019",1.190
"April 18, 2019",1.177
"April 17, 2019",1.131
"April 16, 2019",0.947
"April 15, 2019",0.9562
"April 12, 2019",0.9443
"April 11, 2019",0.9152
"April 10, 2019",0.9004
"April 9, 2019",0.9049
"April 5, 2019",0.9177
"April 4, 2019",0.939
"April 3, 2019",0.9476
"March 22, 2019",0.9552
"March 21, 2019",0.9399
"March 20, 2019",0.9629
"March 19, 2019",0.8743
"March 18, 2019",0.8813
"March 11, 2019",0.8671
"March 8, 2019",0.7969
"March 7, 2019",0.7811
"March 6, 2019",0.7963
"March 4, 2019",0.7795
"March 2, 2019",0.6639
"Feb. 28, 2019",0.6784
"Feb. 27, 2019",0.7657
"Feb. 20, 2019",0.785
"Feb. 13, 2019",0.7418
"Feb. 8, 2019",0.7403
"Jan. 30, 2019",0.8459
"Jan. 29, 2019",0.8547
"Jan. 28, 2019",0.9419
"Jan. 25, 2019",1.008
"Jan. 23, 2019",1.088
"Jan. 18, 2019",1.088
"Jan. 15, 2019",1.265
"Jan. 14, 2019",1.330
"Jan. 11, 2019",1.552
"Jan. 10, 2019",1.553
"Jan. 9, 2019",1.626
"Jan. 7, 2019",1.640
"Jan. 4, 2019",1.792
"Jan. 2, 2019",1.769
"Dec. 31, 2018",1.687
"Dec. 22, 2018",1.983
"Dec. 21, 2018",1.997
"Dec. 20, 2018",2.013
"Dec. 19, 2018",2.020
"Dec. 18, 2018",2.029
"Dec. 17, 2018",2.037
"Dec. 13, 2018",2.036
"Dec. 10, 2018",2.054
"Dec. 7, 2018",2.050
"Dec. 5, 2018",2.052
"Dec. 4, 2018",2.060
"Dec. 3, 2018",2.060
"Dec. 1, 2018",2.059
"Nov. 29, 2018",2.057
"Nov. 27, 2018",2.049
"Nov. 26, 2018",2.048
"Nov. 25, 2018",2.033
"Nov. 21, 2018",2.041
"Nov. 20, 2018",2.038
"Nov. 19, 2018",2.040
"Nov. 17, 2018",2.046
"Nov. 16, 2018",2.049
"Nov. 15, 2018",2.046
"Nov. 13, 2018",2.035
"Nov. 7, 2018",2.030
"Nov. 5, 2018",2.036
"Nov. 2, 2018",2.032
"Nov. 1, 2018",1.99
"Oct. 31, 2018",1.876
"Oct. 24, 2018",1.870
"Oct. 23, 2018",1.865
"Oct. 22, 2018",1.866
"Oct. 19, 2018",1.855
"Oct. 18, 2018",1.864
"Oct. 17, 2018",1.842
"Oct. 16, 2018",1.842
"Oct. 15, 2018",1.840
"Oct. 13, 2018",1.831
"Oct. 12, 2018",1.836
"Oct. 11, 2018",1.808
"Oct. 9, 2018",1.808
"Oct. 8, 2018",1.82
"Oct. 2, 2018",1.802
"Sept. 27, 2018",1.800
"Sept. 26, 2018",1.795
"Sept. 24, 2018",1.798
"Sept. 20, 2018",1.785
"Sept. 19, 2018",1.786
"Sept. 17, 2018",1.788
"Sept. 4, 2018",1.792
"Aug. 31, 2018",1.778
"Aug. 30, 2018",1.771
"Aug. 28, 2018",1.774
"Aug. 24, 2018",1.774
"Aug. 22, 2018",1.771
"Aug. 21, 2018",1.779
"Aug. 20, 2018",1.773
"Aug. 18, 2018",1.766
"Aug. 15, 2018",1.766
"Aug. 13, 2018",1.776
"Aug. 10, 2018",1.775
"Aug. 9, 2018",1.772
"Aug. 7, 2018",1.778
"Aug. 6, 2018",1.779
"Aug. 4, 2018",1.787
"Aug. 3, 2018",1.766
"Aug. 2, 2018",1.769
"Aug. 1, 2018",1.776
"July 25, 2018",1.789
"July 24, 2018",1.788
"July 23, 2018",1.799
"July 20, 2018",1.815
"July 19, 2018",1.812
"July 18, 2018",1.751
"July 17, 2018",1.767
"July 16, 2018",1.821
"July 13, 2018",1.806
"July 12, 2018",1.812
"July 11, 2018",1.816
"July 9, 2018",1.806
"July 7, 2018",1.764
"July 5, 2018",1.750
"July 2, 2018",1.744
"June 22, 2018",1.745
"June 14, 2018",1.749
"June 13, 2018",1.749
"June 11, 2018",1.751
"June 8, 2018",1.704
"June 6, 2018",1.692
"June 4, 2018",1.774
"June 1, 2018",1.762
"May 29, 2018",1.772
"May 26, 2018",1.768
"May 24, 2018",1.724
"May 23, 2018",1.721
"May 21, 2018",1.675
"May 19, 2018",1.659
"May 18, 2018",1.659
"May 17, 2018",1.618
"May 14, 2018",1.573
"May 11, 2018",1.510
"May 10, 2018",1.524
"May 8, 2018",1.507
"May 7, 2018",1.416
"May 4, 2018",1.381
"May 3, 2018",1.376
