date,pe_10
"March 19, 2020",-1.673
"March 18, 2020",-1.500
"March 17, 2020",-1.507
"March 16, 2020",-1.845
"March 13, 2020",-2.727
"March 12, 2020",-2.622
"March 11, 2020",-2.788
"March 10, 2020",-3.646
"March 9, 2020",-3.227
"March 6, 2020",-6.994
"March 5, 2020",-8.224
"March 4, 2020",-8.491
"March 3, 2020",-8.444
"March 2, 2020",-8.623
"Feb. 28, 2020",-8.420
"Feb. 27, 2020",-8.471
"Feb. 26, 2020",-8.255
"Feb. 25, 2020",-8.616
"Feb. 24, 2020",-9.039
"Feb. 21, 2020",-9.596
"Feb. 20, 2020",-9.657
"Feb. 19, 2020",-9.620
"Feb. 18, 2020",-9.498
"Feb. 14, 2020",-9.245
"Feb. 13, 2020",-9.434
"Feb. 12, 2020",-9.623
"Feb. 11, 2020",-9.518
"Feb. 10, 2020",-9.451
"Feb. 7, 2020",-9.498
"Feb. 6, 2020",-9.779
"Feb. 5, 2020",-9.765
"Feb. 4, 2020",-9.508
"Feb. 3, 2020",-9.312
"Jan. 31, 2020",-9.272
"Jan. 30, 2020",-9.522
"Jan. 29, 2020",-9.492
"Jan. 28, 2020",-9.708
"Jan. 27, 2020",-9.748
"Jan. 24, 2020",-10.13
"Jan. 23, 2020",-10.23
"Jan. 22, 2020",-10.43
"Jan. 21, 2020",-10.72
"Jan. 17, 2020",-11.04
"Jan. 16, 2020",-11.18
"Jan. 15, 2020",-11.33
"Jan. 14, 2020",-11.35
"Jan. 13, 2020",-10.82
"Jan. 10, 2020",-10.94
"Jan. 9, 2020",-11.02
"Jan. 8, 2020",-11.06
"Jan. 7, 2020",-10.98
"Jan. 6, 2020",-8.664
"Jan. 3, 2020",-8.680
"Jan. 2, 2020",-8.569
"Dec. 31, 2019",-8.647
"Dec. 30, 2019",-9.284
"Dec. 27, 2019",-9.510
"Dec. 26, 2019",-9.565
"Dec. 24, 2019",-9.528
"Dec. 23, 2019",-9.660
"Dec. 20, 2019",-8.236
"Dec. 19, 2019",-8.269
"Dec. 18, 2019",-8.280
"Dec. 17, 2019",-8.181
"Dec. 16, 2019",-8.036
"Dec. 13, 2019",-7.774
"Dec. 12, 2019",-8.025
"Dec. 11, 2019",-7.748
"Dec. 10, 2019",-7.621
"Dec. 9, 2019",-7.511
"Dec. 6, 2019",-7.278
"Dec. 5, 2019",-6.765
"Dec. 4, 2019",-6.809
"Dec. 3, 2019",-6.692
"Dec. 2, 2019",-7.114
"Nov. 29, 2019",-8.112
"Nov. 27, 2019",-8.454
"Nov. 26, 2019",-8.334
"Nov. 25, 2019",-8.574
"Nov. 22, 2019",-8.524
"Nov. 21, 2019",-8.454
"Nov. 20, 2019",-8.327
"Nov. 19, 2019",-8.145
"Nov. 18, 2019",-8.367
"Nov. 15, 2019",-8.706
"Nov. 14, 2019",-8.531
"Nov. 13, 2019",-8.484
"Nov. 12, 2019",-8.666
"Nov. 11, 2019",-8.684
"Nov. 8, 2019",-8.895
"Nov. 7, 2019",-8.768
"Nov. 6, 2019",-8.60
"Nov. 5, 2019",-8.724
"Nov. 4, 2019",-8.928
"Nov. 1, 2019",-8.669
"Oct. 31, 2019",-7.886
"Oct. 30, 2019",-7.777
"Oct. 29, 2019",-8.028
"Oct. 28, 2019",-7.912
"Oct. 25, 2019",-8.036
"Oct. 24, 2019",-8.458
"Oct. 23, 2019",-8.571
"Oct. 22, 2019",-8.356
"Oct. 21, 2019",-8.291
"Oct. 18, 2019",-8.170
"Oct. 17, 2019",-8.054
"Oct. 16, 2019",-7.923
"Oct. 15, 2019",-8.076
"Oct. 14, 2019",-7.988
"Oct. 11, 2019",-7.799
"Oct. 10, 2019",-7.439
"Oct. 9, 2019",-7.475
"Oct. 8, 2019",-7.373
"Oct. 7, 2019",-7.792
"Oct. 4, 2019",-8.068
"Oct. 3, 2019",-8.509
"Oct. 2, 2019",-8.447
"Oct. 1, 2019",-8.837
"Sept. 30, 2019",-9.321
"Sept. 27, 2019",-8.654
"Sept. 26, 2019",-8.509
"Sept. 25, 2019",-8.593
"Sept. 24, 2019",-8.546
"Sept. 23, 2019",-8.816
"Sept. 20, 2019",-8.688
"Sept. 19, 2019",-8.674
"Sept. 18, 2019",-8.563
"Sept. 17, 2019",-8.762
"Sept. 16, 2019",-9.580
"Sept. 13, 2019",-8.196
"Sept. 12, 2019",-8.028
"Sept. 11, 2019",-8.078
"Sept. 10, 2019",-7.980
"Sept. 9, 2019",-7.964
"Sept. 6, 2019",-7.526
"Sept. 5, 2019",-7.634
"Sept. 4, 2019",-7.422
"Sept. 3, 2019",-7.209
"Aug. 30, 2019",-7.263
"Aug. 29, 2019",-7.422
"Aug. 28, 2019",-7.283
"Aug. 27, 2019",-7.058
"Aug. 26, 2019",-7.071
"Aug. 23, 2019",-6.967
"Aug. 22, 2019",-7.226
"Aug. 21, 2019",-7.317
"Aug. 20, 2019",-7.324
"Aug. 19, 2019",-7.374
"Aug. 16, 2019",-7.017
"Aug. 15, 2019",-6.711
"Aug. 14, 2019",-6.762
"Aug. 13, 2019",-7.381
"Aug. 12, 2019",-7.262
"Aug. 9, 2019",-7.398
"Aug. 8, 2019",-7.560
"Aug. 7, 2019",-7.405
"Aug. 6, 2019",-7.718
"Aug. 5, 2019",-7.829
"Aug. 2, 2019",-8.146
"Aug. 1, 2019",-8.122
"July 31, 2019",-8.223
"July 30, 2019",-8.115
"July 29, 2019",-7.856
"July 26, 2019",-8.058
"July 25, 2019",-8.142
"July 24, 2019",-8.348
"July 23, 2019",-8.186
"July 22, 2019",-8.034
"July 19, 2019",-8.092
"July 18, 2019",-7.93
"July 17, 2019",-8.243
"July 16, 2019",-8.499
"July 15, 2019",-8.873
"July 12, 2019",-9.061
"July 11, 2019",-9.004
"July 10, 2019",-9.250
"July 9, 2019",-9.075
"July 8, 2019",-8.923
"July 5, 2019",-9.152
"July 3, 2019",-9.186
"July 2, 2019",-9.226
"July 1, 2019",-9.832
"June 30, 2019",-9.755
"June 28, 2019",-9.185
"June 27, 2019",-9.080
"June 26, 2019",-9.204
"June 25, 2019",-8.947
"June 24, 2019",-9.217
"June 21, 2019",-9.398
"June 20, 2019",-9.356
"June 19, 2019",-9.074
"June 18, 2019",-9.080
"June 17, 2019",-8.827
"June 14, 2019",-8.716
"June 13, 2019",-8.992
"June 12, 2019",-8.881
"June 11, 2019",-9.147
"June 10, 2019",-9.157
"June 7, 2019",-9.179
"June 6, 2019",-9.144
"June 5, 2019",-8.890
"June 4, 2019",-8.985
"June 3, 2019",-8.526
"May 31, 2019",-8.266
"May 30, 2019",-8.301
"May 29, 2019",-8.453
"May 28, 2019",-8.532
"May 24, 2019",-8.665
"May 23, 2019",-8.770
"May 22, 2019",-9.35
"May 21, 2019",-9.775
"May 20, 2019",-9.490
"May 17, 2019",-9.642
"May 16, 2019",-9.902
"May 15, 2019",-9.883
"May 14, 2019",-9.832
"May 13, 2019",-9.556
"May 10, 2019",-9.898
"May 9, 2019",-9.848
"May 8, 2019",-9.705
"May 7, 2019",-9.673
"May 6, 2019",-9.759
"May 3, 2019",-9.699
"May 2, 2019",-9.442
"May 1, 2019",-10.05
"April 30, 2019",-10.43
"April 29, 2019",-10.53
"April 26, 2019",-10.48
"April 25, 2019",-10.80
"April 24, 2019",-11.25
"April 23, 2019",-11.55
"April 22, 2019",-11.76
"April 18, 2019",-11.37
"April 17, 2019",-11.68
"April 16, 2019",-11.59
"April 15, 2019",-11.40
"April 12, 2019",-11.57
"April 11, 2019",-11.30
"April 10, 2019",-11.33
"April 9, 2019",-11.06
"April 8, 2019",-11.27
"April 5, 2019",-11.28
"April 4, 2019",-10.58
"April 3, 2019",-10.48
"April 2, 2019",-10.87
"April 1, 2019",-11.09
"March 31, 2019",-10.99
"March 29, 2019",-10.50
"March 28, 2019",-10.63
"March 27, 2019",-10.61
"March 26, 2019",-10.80
"March 25, 2019",-10.58
"March 22, 2019",-10.55
