date,Open,High,Low,Close,Volume
"March 19, 2020",4.55,5.40,4.07,4.95,14.27M
"March 18, 2020",4.16,4.75,3.80,4.44,16.46M
"March 17, 2020",5.69,5.71,4.40,4.46,19.72M
"March 16, 2020",6.73,6.92,5.45,5.46,18.55M
"March 13, 2020",8.50,8.59,6.95,8.07,24.98M
"March 12, 2020",6.93,8.30,6.60,7.76,19.84M
"March 11, 2020",10.10,10.11,7.952,8.25,19.68M
"March 10, 2020",11.37,11.50,9.40,10.79,22.82M
"March 9, 2020",13.42,13.70,9.32,9.55,28.07M
"March 6, 2020",23.42,23.51,20.22,20.70,10.20M
"March 5, 2020",24.43,25.21,24.03,24.34,5.725M
"March 4, 2020",25.36,25.62,24.53,25.13,4.376M
"March 3, 2020",25.70,26.57,24.75,24.99,7.364M
"March 2, 2020",25.49,25.89,24.65,25.52,8.987M
"Feb. 28, 2020",24.00,25.52,23.83,24.92,10.24M
"Feb. 27, 2020",23.81,26.96,23.38,25.07,8.817M
"Feb. 26, 2020",25.50,25.86,24.40,24.43,5.516M
"Feb. 25, 2020",27.24,27.29,25.34,25.50,4.462M
"Feb. 24, 2020",26.96,27.02,26.41,26.75,3.026M
"Feb. 21, 2020",28.14,28.48,27.52,28.40,3.148M
"Feb. 20, 2020",28.59,29.21,28.44,28.58,2.347M
"Feb. 19, 2020",28.40,28.68,27.97,28.47,2.951M
"Feb. 18, 2020",27.05,28.22,26.95,28.11,2.975M
"Feb. 14, 2020",28.05,28.08,27.24,27.36,4.292M
"Feb. 13, 2020",28.37,28.51,27.83,27.92,3.498M
"Feb. 12, 2020",28.93,29.03,28.43,28.48,3.220M
"Feb. 11, 2020",28.58,28.81,28.14,28.17,2.070M
"Feb. 10, 2020",27.88,28.02,27.46,27.97,3.010M
"Feb. 7, 2020",28.28,28.58,27.99,28.11,3.168M
"Feb. 6, 2020",28.95,29.23,28.28,28.94,3.739M
"Feb. 5, 2020",28.81,29.44,28.62,28.90,5.835M
"Feb. 4, 2020",28.19,28.55,28.06,28.14,4.420M
"Feb. 3, 2020",27.26,27.69,27.10,27.56,4.022M
"Jan. 31, 2020",27.58,27.67,26.95,27.44,5.312M
"Jan. 30, 2020",27.46,28.25,27.37,28.18,3.922M
"Jan. 29, 2020",28.98,29.06,27.98,28.09,4.515M
"Jan. 28, 2020",29.19,29.27,28.54,28.73,4.141M
"Jan. 27, 2020",29.08,29.49,28.62,28.85,4.243M
"Jan. 24, 2020",30.00,30.08,29.37,29.98,3.472M
"Jan. 23, 2020",30.27,30.62,29.87,30.27,4.816M
"Jan. 22, 2020",31.29,31.45,30.84,30.87,4.711M
"Jan. 21, 2020",32.14,32.74,31.70,31.74,5.216M
"Jan. 17, 2020",33.08,33.24,32.57,32.67,4.552M
"Jan. 16, 2020",33.69,33.71,32.98,33.10,4.458M
"Jan. 15, 2020",33.23,33.69,32.99,33.54,4.440M
"Jan. 14, 2020",32.14,33.77,32.13,33.59,6.103M
"Jan. 13, 2020",32.50,32.60,31.85,32.01,4.582M
"Jan. 10, 2020",32.35,32.53,32.04,32.38,4.643M
"Jan. 9, 2020",32.61,32.70,31.55,32.60,7.590M
"Jan. 8, 2020",32.51,33.21,32.04,32.73,13.51M
"Jan. 7, 2020",29.93,32.58,29.50,32.51,36.62M
"Jan. 6, 2020",25.94,25.98,25.16,25.64,4.472M
"Jan. 3, 2020",25.71,26.14,25.53,25.69,5.941M
"Jan. 2, 2020",25.70,25.93,25.13,25.36,3.266M
"Dec. 31, 2019",25.23,25.70,24.78,25.59,3.349M
"Dec. 30, 2019",26.12,26.28,25.44,25.50,5.445M
"Dec. 27, 2019",26.37,26.52,26.06,26.12,4.095M
"Dec. 26, 2019",26.49,26.98,26.19,26.27,4.983M
"Dec. 24, 2019",26.73,26.81,25.78,26.17,5.841M
"Dec. 23, 2019",24.08,26.73,23.95,26.53,22.72M
"Dec. 20, 2019",22.85,22.94,22.36,22.62,10.97M
"Dec. 19, 2019",22.78,23.11,22.60,22.71,3.889M
"Dec. 18, 2019",22.43,22.97,22.34,22.74,5.604M
"Dec. 17, 2019",22.08,22.58,21.95,22.47,4.172M
"Dec. 16, 2019",21.59,22.37,21.50,22.07,5.109M
"Dec. 13, 2019",22.18,22.32,21.30,21.35,5.356M
"Dec. 12, 2019",21.37,22.19,21.33,22.04,6.291M
"Dec. 11, 2019",20.98,21.48,20.86,21.28,4.715M
"Dec. 10, 2019",20.61,21.06,20.59,20.93,6.271M
"Dec. 9, 2019",19.78,20.74,19.54,20.63,8.73M
"Dec. 6, 2019",18.50,20.17,18.33,19.99,10.09M
"Dec. 5, 2019",18.78,18.98,18.44,18.58,7.504M
"Dec. 4, 2019",18.61,19.16,18.50,18.70,10.41M
"Dec. 3, 2019",19.25,19.30,18.33,18.38,15.19M
"Dec. 2, 2019",20.00,20.42,18.93,19.54,22.79M
"Nov. 29, 2019",22.78,23.16,22.25,22.28,3.198M
"Nov. 27, 2019",22.96,23.41,22.84,23.22,4.219M
"Nov. 26, 2019",23.50,23.74,22.80,22.89,4.699M
"Nov. 25, 2019",23.42,23.71,23.15,23.55,4.439M
"Nov. 22, 2019",23.35,23.60,23.02,23.41,3.442M
"Nov. 21, 2019",23.05,23.33,22.50,23.22,4.423M
"Nov. 20, 2019",22.42,23.43,22.19,22.87,3.123M
"Nov. 19, 2019",22.72,22.92,22.30,22.37,2.944M
"Nov. 18, 2019",23.57,23.57,22.67,22.98,4.286M
"Nov. 15, 2019",23.64,24.39,23.59,23.91,4.145M
"Nov. 14, 2019",23.41,24.03,23.28,23.43,5.127M
"Nov. 13, 2019",23.53,23.81,23.11,23.30,3.180M
"Nov. 12, 2019",24.05,24.34,23.54,23.80,4.288M
"Nov. 11, 2019",24.03,24.37,23.76,23.85,4.422M
"Nov. 8, 2019",23.74,24.50,23.39,24.43,4.338M
"Nov. 7, 2019",23.85,24.25,23.65,24.08,6.139M
"Nov. 6, 2019",23.85,24.62,23.23,23.62,4.777M
"Nov. 5, 2019",24.80,25.08,23.72,23.96,6.281M
"Nov. 4, 2019",24.40,24.84,24.34,24.52,7.326M
"Nov. 1, 2019",22.04,24.31,21.89,23.81,10.23M
"Oct. 31, 2019",20.99,22.30,20.47,21.66,6.712M
"Oct. 30, 2019",22.04,22.32,21.26,21.36,4.860M
"Oct. 29, 2019",21.45,22.57,21.16,22.05,4.761M
"Oct. 28, 2019",22.24,22.65,21.64,21.73,5.127M
"Oct. 25, 2019",23.22,23.26,20.57,22.07,14.57M
"Oct. 24, 2019",23.71,23.80,22.54,23.23,4.393M
"Oct. 23, 2019",22.97,23.62,22.40,23.54,3.679M
"Oct. 22, 2019",22.82,23.41,22.35,22.95,4.824M
"Oct. 21, 2019",22.19,22.88,22.05,22.77,4.854M
"Oct. 18, 2019",22.40,23.60,22.27,22.44,8.685M
"Oct. 17, 2019",21.85,22.33,21.52,22.12,4.480M
"Oct. 16, 2019",21.96,22.82,21.75,21.76,6.649M
"Oct. 15, 2019",21.81,22.52,21.44,22.18,5.373M
"Oct. 14, 2019",21.01,22.23,20.86,21.94,8.723M
"Oct. 11, 2019",20.72,21.59,20.72,21.42,6.246M
"Oct. 10, 2019",20.59,20.88,20.28,20.43,4.146M
"Oct. 9, 2019",20.52,20.73,20.12,20.53,4.907M
"Oct. 8, 2019",21.00,21.25,20.24,20.25,6.354M
"Oct. 7, 2019",22.23,22.30,21.33,21.40,5.585M
"Oct. 4, 2019",23.16,23.51,21.68,22.16,6.229M
"Oct. 3, 2019",22.92,23.37,22.44,23.37,5.753M
"Oct. 2, 2019",24.04,24.31,23.10,23.20,4.363M
"Oct. 1, 2019",25.71,25.88,24.22,24.27,4.376M
"Sept. 30, 2019",25.50,25.96,25.46,25.60,3.848M
"Sept. 27, 2019",24.87,25.92,24.85,25.70,5.141M
"Sept. 26, 2019",25.19,25.42,24.86,25.27,4.535M
"Sept. 25, 2019",24.94,25.62,24.85,25.52,4.308M
"Sept. 24, 2019",25.95,26.09,25.14,25.38,4.191M
"Sept. 23, 2019",25.47,26.34,25.39,26.18,5.055M
"Sept. 20, 2019",25.91,26.07,25.54,25.80,6.144M
"Sept. 19, 2019",25.86,26.11,25.41,25.76,5.019M
"Sept. 18, 2019",25.51,26.13,25.12,25.43,12.10M
"Sept. 17, 2019",28.15,28.35,25.75,26.02,9.922M
"Sept. 16, 2019",26.86,29.11,25.85,28.45,17.81M
"Sept. 13, 2019",24.14,24.47,23.78,24.34,3.949M
"Sept. 12, 2019",23.44,24.02,22.96,23.84,3.772M
"Sept. 11, 2019",23.87,24.63,23.54,23.99,5.081M
"Sept. 10, 2019",23.90,24.45,23.52,23.70,4.926M
"Sept. 9, 2019",22.79,23.71,22.64,23.65,6.123M
"Sept. 6, 2019",22.30,22.48,21.94,22.35,3.853M
"Sept. 5, 2019",22.27,23.15,22.25,22.67,4.964M
"Sept. 4, 2019",21.88,22.21,21.61,22.04,4.053M
"Sept. 3, 2019",21.07,21.50,20.27,21.41,4.962M
"Aug. 30, 2019",22.08,22.27,21.38,21.57,3.152M
"Aug. 29, 2019",21.84,22.24,21.81,22.04,4.467M
"Aug. 28, 2019",21.12,21.96,20.92,21.63,4.000M
