date,tangible_common_equity_ratio
"Dec. 31, 2019",17.98%
"Sept. 30, 2019",29.44%
"June 30, 2019",30.04%
"March 31, 2019",32.13%
"Dec. 31, 2018",33.04%
"Sept. 30, 2018",34.81%
"June 30, 2018",34.87%
"March 31, 2018",34.43%
"Dec. 31, 2017",33.83%
"Sept. 30, 2017",32.11%
"June 30, 2017",30.52%
"March 31, 2017",28.24%
"Dec. 31, 2016",27.70%
"Sept. 30, 2016",27.95%
"June 30, 2016",29.34%
"March 31, 2016",11.41%
"Dec. 31, 2015",30.93%
"Sept. 30, 2015",35.27%
"June 30, 2015",44.02%
"March 31, 2015",43.50%
"Dec. 31, 2014",46.36%
"Sept. 30, 2014",49.39%
"June 30, 2014",52.48%
"March 31, 2014",53.07%
"Dec. 31, 2013",53.14%
"Sept. 30, 2013",53.70%
"June 30, 2013",48.60%
"March 31, 2013",48.64%
"Dec. 31, 2012",48.47%
"Sept. 30, 2012",49.18%
"June 30, 2012",50.50%
"March 31, 2012",52.52%
"Dec. 31, 2011",52.32%
"Sept. 30, 2011",55.21%
"June 30, 2011",53.65%
"March 31, 2011",52.33%
"Dec. 31, 2010",52.17%
"Sept. 30, 2010",55.88%
"June 30, 2010",57.82%
"March 31, 2010",57.06%
"Dec. 31, 2009",55.68%
"Sept. 30, 2009",56.10%
"June 30, 2009",56.34%
"March 31, 2009",55.37%
"Dec. 31, 2008",55.94%
"Sept. 30, 2008",56.32%
"June 30, 2008",51.21%
"March 31, 2008",53.30%
"Dec. 31, 2007",53.05%
"Sept. 30, 2007",52.38%
"June 30, 2007",51.67%
"March 31, 2007",50.88%
"Dec. 31, 2006",53.50%
"Sept. 30, 2006",53.14%
"June 30, 2006",53.14%
"March 31, 2006",55.37%
"Dec. 31, 2005",53.73%
"Sept. 30, 2005",53.36%
"June 30, 2005",53.38%
"March 31, 2005",51.88%
"Dec. 31, 2004",51.70%
"Sept. 30, 2004",51.16%
"June 30, 2004",53.49%
"March 31, 2004",52.28%
"Dec. 31, 2003",51.08%
"Sept. 30, 2003",49.87%
"June 30, 2003",48.79%
"March 31, 2003",51.63%
"Dec. 31, 2002",50.01%
"Sept. 30, 2002",49.38%
"June 30, 2002",49.15%
"March 31, 2002",45.50%
"Dec. 31, 2001",44.86%
"Sept. 30, 2001",43.94%
"June 30, 2001",43.74%
"March 31, 2001",40.75%
"Dec. 31, 2000",46.08%
"Sept. 30, 2000",47.28%
"June 30, 2000",41.67%
"March 31, 2000",42.81%
"Dec. 31, 1999",42.90%
"Sept. 30, 1999",45.80%
"June 30, 1999",44.92%
"March 31, 1999",41.48%
"Dec. 31, 1998",42.63%
"Sept. 30, 1998",44.98%
"June 30, 1998",45.45%
"March 31, 1998",45.88%
"Dec. 31, 1997",41.78%
"Sept. 30, 1997",43.37%
"June 30, 1997",44.13%
"March 31, 1997",44.86%
"Dec. 31, 1996",44.24%
"Sept. 30, 1996",44.73%
"June 30, 1996",45.55%
"March 31, 1996",40.24%
"Dec. 31, 1995",40.72%
"Sept. 30, 1995",41.39%
"June 30, 1995",34.86%
"March 31, 1995",33.79%
"Dec. 31, 1994",43.44%
"Sept. 30, 1994",47.07%
"June 30, 1994",48.14%
"March 31, 1994",48.95%
"Dec. 31, 1993",49.35%
"Sept. 30, 1993",50.33%
"June 30, 1993",49.14%
"March 31, 1993",48.28%
"Dec. 31, 1992",38.99%
"Sept. 30, 1992",40.36%
"June 30, 1992",38.98%
"March 31, 1992",37.03%
"Dec. 31, 1991",36.38%
"Sept. 30, 1991",33.94%
"June 30, 1991",49.57%
"March 31, 1991",48.74%
"Dec. 31, 1990",46.62%
"Sept. 30, 1990",47.41%
"June 30, 1990",48.97%
"March 31, 1990",48.06%
"Dec. 31, 1989",45.83%
"Sept. 30, 1989",
"June 30, 1989",
"March 31, 1989",
"Dec. 31, 1988",29.49%
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",24.95%
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",28.45%
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",42.13%
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",46.50%
