date,three_month_return
"March 19, 2020",-78.20%
"March 18, 2020",-80.47%
"March 17, 2020",-80.15%
"March 16, 2020",-75.26%
"March 13, 2020",-62.20%
"March 12, 2020",-64.79%
"March 11, 2020",-61.23%
"March 10, 2020",-48.45%
"March 9, 2020",-53.71%
"March 6, 2020",3.55%
"March 5, 2020",31.00%
"March 4, 2020",34.38%
"March 3, 2020",35.96%
"March 2, 2020",30.60%
"Feb. 28, 2020",7.32%
"Feb. 27, 2020",7.97%
"Feb. 26, 2020",6.73%
"Feb. 25, 2020",8.28%
"Feb. 24, 2020",14.27%
"Feb. 21, 2020",22.31%
"Feb. 20, 2020",24.97%
"Feb. 19, 2020",27.27%
"Feb. 18, 2020",22.32%
"Feb. 14, 2020",16.77%
"Feb. 13, 2020",19.83%
"Feb. 12, 2020",19.66%
"Feb. 11, 2020",18.11%
"Feb. 10, 2020",14.49%
"Feb. 7, 2020",16.74%
"Feb. 6, 2020",22.52%
"Feb. 5, 2020",20.62%
"Feb. 4, 2020",14.76%
"Feb. 3, 2020",15.75%
"Jan. 31, 2020",26.69%
"Jan. 30, 2020",31.93%
"Jan. 29, 2020",27.39%
"Jan. 28, 2020",32.21%
"Jan. 27, 2020",30.72%
"Jan. 24, 2020",29.06%
"Jan. 23, 2020",28.59%
"Jan. 22, 2020",34.51%
"Jan. 21, 2020",39.39%
"Jan. 17, 2020",47.69%
"Jan. 16, 2020",52.11%
"Jan. 15, 2020",51.22%
"Jan. 14, 2020",53.10%
"Jan. 13, 2020",49.44%
"Jan. 10, 2020",58.49%
"Jan. 9, 2020",58.79%
"Jan. 8, 2020",61.63%
"Jan. 7, 2020",51.92%
"Jan. 6, 2020",15.70%
"Jan. 3, 2020",9.93%
"Jan. 2, 2020",9.31%
"Dec. 31, 2019",-0.04%
"Dec. 30, 2019",-0.39%
"Dec. 27, 2019",1.63%
"Dec. 26, 2019",3.96%
"Dec. 24, 2019",3.11%
"Dec. 23, 2019",1.34%
"Dec. 20, 2019",-12.33%
"Dec. 19, 2019",-11.84%
"Dec. 18, 2019",-10.58%
"Dec. 17, 2019",-13.64%
"Dec. 16, 2019",-22.43%
"Dec. 13, 2019",-12.28%
"Dec. 12, 2019",-7.55%
"Dec. 11, 2019",-11.30%
"Dec. 10, 2019",-11.69%
"Dec. 9, 2019",-12.77%
"Dec. 6, 2019",-10.56%
"Dec. 5, 2019",-18.04%
"Dec. 4, 2019",-15.15%
"Dec. 3, 2019",-14.15%
"Dec. 2, 2019",-9.41%
"Nov. 29, 2019",1.09%
"Nov. 27, 2019",10.78%
"Nov. 26, 2019",9.00%
"Nov. 25, 2019",13.82%
"Nov. 22, 2019",9.09%
"Nov. 21, 2019",6.86%
"Nov. 20, 2019",5.15%
"Nov. 19, 2019",2.15%
"Nov. 18, 2019",10.27%
"Nov. 15, 2019",19.97%
"Nov. 14, 2019",16.68%
"Nov. 13, 2019",6.30%
"Nov. 12, 2019",10.36%
"Nov. 11, 2019",8.56%
"Nov. 8, 2019",8.82%
"Nov. 7, 2019",9.50%
"Nov. 6, 2019",3.05%
"Nov. 5, 2019",3.05%
"Nov. 4, 2019",1.36%
"Nov. 1, 2019",-1.29%
"Oct. 31, 2019",-11.30%
"Oct. 30, 2019",-11.37%
"Oct. 29, 2019",-5.49%
"Oct. 28, 2019",-9.19%
"Oct. 25, 2019",-8.73%
"Oct. 24, 2019",-6.29%
"Oct. 23, 2019",-3.17%
"Oct. 22, 2019",-3.81%
"Oct. 21, 2019",-5.24%
"Oct. 18, 2019",-4.71%
"Oct. 17, 2019",-9.64%
"Oct. 16, 2019",-13.79%
"Oct. 15, 2019",-15.83%
"Oct. 14, 2019",-18.47%
"Oct. 11, 2019",-19.90%
"Oct. 10, 2019",-25.63%
"Oct. 9, 2019",-23.82%
"Oct. 8, 2019",-23.58%
"Oct. 7, 2019",-21.27%
"Oct. 4, 2019",-18.77%
"Oct. 3, 2019",-14.33%
"Oct. 2, 2019",-15.33%
"Oct. 1, 2019",-16.88%
"Sept. 30, 2019",-11.63%
"Sept. 27, 2019",-10.27%
"Sept. 26, 2019",-12.95%
"Sept. 25, 2019",-9.57%
"Sept. 24, 2019",-12.69%
"Sept. 23, 2019",-11.67%
"Sept. 20, 2019",-12.57%
"Sept. 19, 2019",-9.99%
"Sept. 18, 2019",-11.21%
"Sept. 17, 2019",-6.54%
"Sept. 16, 2019",3.49%
"Sept. 13, 2019",-14.17%
"Sept. 12, 2019",-14.89%
"Sept. 11, 2019",-16.85%
"Sept. 10, 2019",-17.94%
"Sept. 9, 2019",-18.31%
"Sept. 6, 2019",-22.50%
"Sept. 5, 2019",-19.15%
"Sept. 4, 2019",-22.23%
"Sept. 3, 2019",-20.38%
"Aug. 30, 2019",-17.61%
"Aug. 29, 2019",-17.33%
"Aug. 28, 2019",-19.62%
"Aug. 27, 2019",-23.31%
"Aug. 26, 2019",-23.16%
"Aug. 23, 2019",-25.20%
"Aug. 22, 2019",-27.23%
"Aug. 21, 2019",-29.52%
"Aug. 20, 2019",-27.33%
"Aug. 19, 2019",-27.98%
"Aug. 16, 2019",-33.27%
"Aug. 15, 2019",-36.06%
"Aug. 14, 2019",-35.25%
"Aug. 13, 2019",-27.27%
"Aug. 12, 2019",-30.93%
"Aug. 9, 2019",-29.27%
"Aug. 8, 2019",-26.66%
"Aug. 7, 2019",-27.93%
"Aug. 6, 2019",-25.54%
