date,times_interest_earned
"Dec. 31, 2019",-6.757
"Sept. 30, 2019",0.2037
"June 30, 2019",1.228
"March 31, 2019",2.961
"Dec. 31, 2018",3.529
"Sept. 30, 2018",5.103
"June 30, 2018",4.261
"March 31, 2018",2.960
"Dec. 31, 2017",3.343
"Sept. 30, 2017",2.314
"June 30, 2017",-0.1506
"March 31, 2017",-0.8512
"Dec. 31, 2016",-3.043
"Sept. 30, 2016",-15.41
"June 30, 2016",-22.59
"March 31, 2016",-21.70
"Dec. 31, 2015",-40.78
"Sept. 30, 2015",-35.92
"June 30, 2015",-32.32
"March 31, 2015",-34.77
"Dec. 31, 2014",-15.91
"Sept. 30, 2014",10.95
"June 30, 2014",15.83
"March 31, 2014",19.24
"Dec. 31, 2013",16.95
"Sept. 30, 2013",26.87
"June 30, 2013",29.36
"March 31, 2013",25.95
"Dec. 31, 2012",29.17
"Sept. 30, 2012",33.40
"June 30, 2012",41.85
"March 31, 2012",51.58
"Dec. 31, 2011",52.30
"Sept. 30, 2011",42.73
"June 30, 2011",34.33
"March 31, 2011",28.56
"Dec. 31, 2010",23.82
"Sept. 30, 2010",22.69
"June 30, 2010",20.48
"March 31, 2010",17.55
"Dec. 31, 2009",2.404
"Sept. 30, 2009",-16.69
"June 30, 2009",-15.15
"March 31, 2009",-10.75
"Dec. 31, 2008",4.753
"Sept. 30, 2008",65.71
"June 30, 2008",85.19
"March 31, 2008",132.91
