date,ebitda_ttm
"Dec. 31, 2019",534.31M
"Sept. 30, 2019",531.28M
"June 30, 2019",533.25M
"March 31, 2019",531.52M
"Dec. 31, 2018",446.97M
"Sept. 30, 2018",447.02M
"June 30, 2018",441.69M
"March 31, 2018",441.21M
"Dec. 31, 2017",467.23M
"Sept. 30, 2017",468.02M
"June 30, 2017",473.63M
"March 31, 2017",477.58M
"Dec. 31, 2016",464.81M
"Sept. 30, 2016",448.50M
"June 30, 2016",441.43M
"March 31, 2016",431.96M
"Dec. 31, 2015",410.35M
"Sept. 30, 2015",403.83M
"June 30, 2015",398.13M
"March 31, 2015",401.93M
"Dec. 31, 2014",402.27M
"Sept. 30, 2014",396.28M
"June 30, 2014",390.77M
"March 31, 2014",381.45M
"Dec. 31, 2013",372.76M
"Sept. 30, 2013",344.48M
"June 30, 2013",338.10M
"March 31, 2013",326.61M
"Dec. 31, 2012",316.21M
"Sept. 30, 2012",331.60M
"June 30, 2012",336.27M
"March 31, 2012",341.11M
"Dec. 31, 2011",345.04M
"Sept. 30, 2011",344.34M
"June 30, 2011",345.85M
"March 31, 2011",349.62M
"Dec. 31, 2010",329.86M
"Sept. 30, 2010",324.88M
"June 30, 2010",309.93M
"March 31, 2010",304.80M
"Dec. 31, 2009",322.56M
"Sept. 30, 2009",311.43M
"June 30, 2009",327.22M
"March 31, 2009",326.89M
"Dec. 31, 2008",327.67M
"Sept. 30, 2008",332.09M
"June 30, 2008",301.74M
"March 31, 2008",309.18M
"Dec. 31, 2007",259.36M
"Sept. 30, 2007",276.90M
"June 30, 2007",344.48M
"March 31, 2007",318.94M
"Dec. 31, 2006",351.01M
"Sept. 30, 2006",-476.85M
"June 30, 2006",-270.26M
"March 31, 2006",-263.66M
"Dec. 31, 2005",-296.14M
"Sept. 30, 2005",516.70M
"June 30, 2005",233.03M
"March 31, 2005",220.77M
"Dec. 31, 2004",228.00M
"Sept. 30, 2004",221.63M
"June 30, 2004",244.86M
"March 31, 2004",262.81M
"Dec. 31, 2003",268.63M
"Sept. 30, 2003",330.34M
"June 30, 2003",329.36M
"March 31, 2003",310.06M
"Dec. 31, 2002",303.05M
"Sept. 30, 2002",217.48M
"June 30, 2002",221.99M
"March 31, 2002",239.55M
"Dec. 31, 2001",256.05M
"Sept. 30, 2001",365.86M
"June 30, 2001",401.78M
"March 31, 2001",318.31M
"Dec. 31, 2000",283.11M
"Sept. 30, 2000",-6.204B
"June 30, 2000",-2.573B
"March 31, 2000",-1.153B
"Dec. 31, 1999",-1.151B
"Sept. 30, 1999",5.248B
"June 30, 1999",1.571B
"March 31, 1999",792.70M
"Dec. 31, 1998",817.60M
"Sept. 30, 1998",828.60M
"June 30, 1998",833.10M
"March 31, 1998",252.30M
"Dec. 31, 1997",259.40M
"Sept. 30, 1997",237.70M
"June 30, 1997",244.70M
"March 31, 1997",240.90M
"Dec. 31, 1996",243.10M
"Sept. 30, 1996",257.20M
"June 30, 1996",253.90M
"March 31, 1996",264.20M
"Dec. 31, 1995",257.50M
"Sept. 30, 1995",250.40M
"June 30, 1995",240.80M
"March 31, 1995",233.60M
"Dec. 31, 1994",225.80M
"Sept. 30, 1994",338.40M
"June 30, 1994",421.30M
"March 31, 1994",496.70M
"Dec. 31, 1993",640.60M
"Sept. 30, 1993",626.50M
"June 30, 1993",621.60M
"March 31, 1993",613.50M
"Dec. 31, 1992",557.60M
"Sept. 30, 1992",562.80M
"June 30, 1992",557.50M
"March 31, 1992",562.60M
"Dec. 31, 1991",566.80M
"Sept. 30, 1991",550.10M
"June 30, 1991",555.90M
"March 31, 1991",559.70M
"Dec. 31, 1990",570.10M
"Sept. 30, 1990",580.50M
"June 30, 1990",589.20M
"March 31, 1990",587.30M
"Dec. 31, 1989",589.50M
"Sept. 30, 1989",567.50M
"June 30, 1989",562.80M
"March 31, 1989",560.90M
"Dec. 31, 1988",542.30M
"Sept. 30, 1988",520.80M
"June 30, 1988",477.50M
"March 31, 1988",435.70M
"Dec. 31, 1987",398.50M
"Sept. 30, 1987",381.10M
"June 30, 1987",376.20M
"March 31, 1987",377.50M
"Dec. 31, 1986",389.90M
"Sept. 30, 1986",416.70M
"June 30, 1986",427.00M
"March 31, 1986",440.60M
"Dec. 31, 1985",460.80M
"Sept. 30, 1985",451.00M
"June 30, 1985",446.00M
"March 31, 1985",441.10M
"Dec. 31, 1984",413.30M
