date,eps_est_0q
"March 9, 2020",0.7575
"Feb. 27, 2020",0.7725
"Feb. 26, 2020",0.765
"Jan. 17, 2020",0.718
"Jan. 16, 2020",0.765
"Jan. 7, 2020",0.7625
"Dec. 31, 2019",0.6875
"Dec. 9, 2019",0.6725
"Nov. 27, 2019",0.67
"Nov. 22, 2019",0.662
"Nov. 8, 2019",0.662
"Oct. 21, 2019",0.675
"Oct. 18, 2019",0.68
"Oct. 16, 2019",0.678
"Oct. 4, 2019",0.668
"Sept. 30, 2019",0.15
"Sept. 9, 2019",0.182
"Aug. 20, 2019",0.1925
"Aug. 8, 2019",0.18
"Aug. 7, 2019",0.1575
"July 18, 2019",0.1575
"June 30, 2019",0.35
"May 9, 2019",0.3567
"May 3, 2019",0.37
"May 2, 2019",0.355
"March 18, 2019",0.90
"March 4, 2019",0.90
"Feb. 8, 2019",0.90
"Jan. 7, 2019",0.945
"Jan. 4, 2019",0.95
"Dec. 31, 2018",0.6467
"Dec. 6, 2018",0.6267
"Nov. 21, 2018",0.6433
"Nov. 7, 2018",0.675
"Sept. 30, 2018",0.19
"Aug. 1, 2018",0.18
"June 30, 2018",0.3567
"June 11, 2018",0.37
"May 21, 2018",0.38
"May 2, 2018",0.37
"April 27, 2018",0.37
"April 23, 2018",0.37
"March 31, 2018",0.88
"Feb. 22, 2018",0.95
"Feb. 20, 2018",0.855
"Jan. 2, 2018",0.855
