date,gross_profit_margin
"Dec. 31, 2019",41.61%
"Sept. 30, 2019",36.61%
"June 30, 2019",39.33%
"March 31, 2019",42.32%
"Dec. 31, 2018",40.49%
"Sept. 30, 2018",36.74%
"June 30, 2018",39.37%
"March 31, 2018",41.68%
"Dec. 31, 2017",40.59%
"Sept. 30, 2017",35.68%
"June 30, 2017",40.01%
"March 31, 2017",44.05%
"Dec. 31, 2016",39.36%
"Sept. 30, 2016",33.85%
"June 30, 2016",38.92%
"March 31, 2016",41.81%
"Dec. 31, 2015",33.57%
"Sept. 30, 2015",30.18%
"June 30, 2015",34.52%
"March 31, 2015",34.48%
"Dec. 31, 2014",30.37%
"Sept. 30, 2014",28.92%
"June 30, 2014",36.93%
"March 31, 2014",33.45%
"Dec. 31, 2013",28.91%
"Sept. 30, 2013",27.13%
"June 30, 2013",34.40%
"March 31, 2013",29.51%
"Dec. 31, 2012",30.35%
"Sept. 30, 2012",22.42%
"June 30, 2012",28.46%
"March 31, 2012",29.16%
"Dec. 31, 2011",-41.15%
"Sept. 30, 2011",50.13%
"June 30, 2011",56.80%
"March 31, 2011",47.94%
"Dec. 31, 2010",-41.32%
"Sept. 30, 2010",45.23%
"June 30, 2010",53.38%
"March 31, 2010",43.13%
"Dec. 31, 2009",44.75%
"Sept. 30, 2009",44.80%
"June 30, 2009",57.35%
"March 31, 2009",39.40%
"Dec. 31, 2008",34.87%
"Sept. 30, 2008",34.32%
"June 30, 2008",46.16%
"March 31, 2008",34.69%
"Dec. 31, 2007",38.55%
"Sept. 30, 2007",43.84%
"June 30, 2007",49.37%
"March 31, 2007",32.99%
"Dec. 31, 2006",35.62%
"Sept. 30, 2006",45.72%
"June 30, 2006",51.19%
"March 31, 2006",35.55%
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",51.99%
"March 31, 2005",38.74%
"Dec. 31, 2004",46.00%
"Sept. 30, 2004",43.70%
"June 30, 2004",57.72%
"March 31, 2004",40.87%
"Dec. 31, 2003",43.74%
"Sept. 30, 2003",48.65%
"June 30, 2003",56.78%
"March 31, 2003",
"Dec. 31, 2002",43.07%
"Sept. 30, 2002",54.44%
"June 30, 2002",18.65%
"March 31, 2002",43.15%
"Dec. 31, 2001",23.50%
"Sept. 30, 2001",50.74%
"June 30, 2001",10.35%
"March 31, 2001",8.13%
"Dec. 31, 2000",-6.96%
"Sept. 30, 2000",5.66%
"June 30, 2000",4.89%
"March 31, 2000",8.92%
"Dec. 31, 1999",
"Sept. 30, 1999",
"June 30, 1999",
"March 31, 1999",12.19%
"Dec. 31, 1998",18.89%
"Sept. 30, 1998",10.09%
"June 30, 1998",
"March 31, 1998",28.48%
