date,ebitda_ttm
"Dec. 31, 2019",734.00M
"Sept. 30, 2019",6.993B
"June 30, 2019",7.799B
"March 31, 2019",13.73B
"Dec. 31, 2018",14.19B
"Sept. 30, 2018",12.99B
"June 30, 2018",13.42B
"March 31, 2018",13.26B
"Dec. 31, 2017",12.51B
"Sept. 30, 2017",11.85B
"June 30, 2017",11.42B
"March 31, 2017",8.421B
"Dec. 31, 2016",7.978B
"Sept. 30, 2016",6.711B
"June 30, 2016",6.944B
"March 31, 2016",9.054B
"Dec. 31, 2015",9.263B
"Sept. 30, 2015",10.15B
"June 30, 2015",9.744B
"March 31, 2015",9.843B
"Dec. 31, 2014",9.376B
"Sept. 30, 2014",8.888B
"June 30, 2014",8.58B
"March 31, 2014",8.495B
"Dec. 31, 2013",8.462B
"Sept. 30, 2013",8.556B
"June 30, 2013",8.317B
"March 31, 2013",8.126B
"Dec. 31, 2012",8.163B
"Sept. 30, 2012",8.003B
"June 30, 2012",8.146B
"March 31, 2012",8.152B
"Dec. 31, 2011",7.546B
"Sept. 30, 2011",7.172B
"June 30, 2011",6.778B
"March 31, 2011",6.589B
"Dec. 31, 2010",6.769B
"Sept. 30, 2010",7.285B
"June 30, 2010",3.774B
"March 31, 2010",3.94B
"Dec. 31, 2009",3.736B
"Sept. 30, 2009",1.773B
"June 30, 2009",5.046B
"March 31, 2009",4.80B
"Dec. 31, 2008",5.688B
"Sept. 30, 2008",7.339B
"June 30, 2008",7.83B
"March 31, 2008",8.023B
"Dec. 31, 2007",7.432B
"Sept. 30, 2007",7.331B
"June 30, 2007",6.882B
"March 31, 2007",5.316B
"Dec. 31, 2006",4.979B
"Sept. 30, 2006",4.464B
"June 30, 2006",4.011B
"March 31, 2006",4.90B
"Dec. 31, 2005",4.616B
"Sept. 30, 2005",4.224B
"June 30, 2005",3.924B
"March 31, 2005",3.689B
"Dec. 31, 2004",3.804B
"Sept. 30, 2004",4.433B
"June 30, 2004",4.317B
"March 31, 2004",3.435B
"Dec. 31, 2003",2.271B
"Sept. 30, 2003",1.999B
"June 30, 2003",2.19B
"March 31, 2003",3.683B
"Dec. 31, 2002",4.997B
"Sept. 30, 2002",5.047B
"June 30, 2002",5.548B
"March 31, 2002",5.669B
"Dec. 31, 2001",5.957B
"Sept. 30, 2001",6.261B
"June 30, 2001",6.07B
"March 31, 2001",5.617B
"Dec. 31, 2000",4.923B
"Sept. 30, 2000",4.817B
"June 30, 2000",4.66B
"March 31, 2000",4.582B
"Dec. 31, 1999",4.815B
"Sept. 30, 1999",4.402B
"June 30, 1999",4.184B
"March 31, 1999",3.803B
"Dec. 31, 1998",3.189B
"Sept. 30, 1998",1.76B
"June 30, 1998",265.00M
"March 31, 1998",543.00M
"Dec. 31, 1997",1.202B
"Sept. 30, 1997",2.559B
"June 30, 1997",4.303B
"March 31, 1997",3.953B
"Dec. 31, 1996",3.161B
"Sept. 30, 1996",2.253B
"June 30, 1996",1.646B
"March 31, 1996",893.00M
"Dec. 31, 1995",990.00M
"Sept. 30, 1995",1.591B
"June 30, 1995",1.585B
"March 31, 1995",2.125B
"Dec. 31, 1994",2.293B
"Sept. 30, 1994",2.398B
"June 30, 1994",2.407B
"March 31, 1994",2.692B
"Dec. 31, 1993",2.716B
"Sept. 30, 1993",2.652B
"June 30, 1993",2.867B
"March 31, 1993",2.885B
"Dec. 31, 1992",3.001B
"Sept. 30, 1992",3.07B
"June 30, 1992",3.085B
"March 31, 1992",3.043B
"Dec. 31, 1991",2.78B
"Sept. 30, 1991",2.622B
"June 30, 1991",2.428B
"March 31, 1991",2.22B
"Dec. 31, 1990",2.208B
"Sept. 30, 1990",1.847B
"June 30, 1990",1.723B
"March 31, 1990",1.468B
"Dec. 31, 1989",4.945B
"Sept. 30, 1989",-6.908B
"June 30, 1989",-3.594B
"March 31, 1989",807.00M
"Dec. 31, 1988",448.00M
"Sept. 30, 1988",1.543B
"June 30, 1988",1.336B
"March 31, 1988",88.00M
"Dec. 31, 1987",209.00M
"Sept. 30, 1987",27.00M
"June 30, 1987",317.00M
"March 31, 1987",866.00M
"Dec. 31, 1986",630.00M
"Sept. 30, 1986",2.545B
"June 30, 1986",1.833B
"March 31, 1986",1.176B
"Dec. 31, 1985",583.00M
"Sept. 30, 1985",2.723B
"June 30, 1985",1.828B
"March 31, 1985",1.199B
"Dec. 31, 1984",353.00M
