date,six_month_return
"March 19, 2020",-74.58%
"March 18, 2020",-73.63%
"March 17, 2020",-67.69%
"March 16, 2020",-65.79%
"March 13, 2020",-55.18%
"March 12, 2020",-58.78%
"March 11, 2020",-50.62%
"March 10, 2020",-37.48%
"March 9, 2020",-36.68%
"March 6, 2020",-27.73%
"March 5, 2020",-27.74%
"March 4, 2020",-20.59%
"March 3, 2020",-20.82%
"March 2, 2020",-20.55%
"Feb. 28, 2020",-23.57%
"Feb. 27, 2020",-18.88%
"Feb. 26, 2020",-14.89%
"Feb. 25, 2020",-14.57%
"Feb. 24, 2020",-10.70%
"Feb. 21, 2020",-2.83%
"Feb. 20, 2020",1.37%
"Feb. 19, 2020",1.35%
"Feb. 18, 2020",2.55%
"Feb. 14, 2020",6.26%
"Feb. 13, 2020",2.99%
"Feb. 12, 2020",4.38%
"Feb. 11, 2020",2.04%
"Feb. 10, 2020",2.11%
"Feb. 7, 2020",1.62%
"Feb. 6, 2020",2.70%
"Feb. 5, 2020",-0.46%
"Feb. 4, 2020",-6.37%
"Feb. 3, 2020",-6.94%
"Jan. 31, 2020",-6.71%
"Jan. 30, 2020",-6.95%
"Jan. 29, 2020",-5.35%
"Jan. 28, 2020",-8.24%
"Jan. 27, 2020",-8.23%
"Jan. 24, 2020",-10.62%
"Jan. 23, 2020",-14.82%
"Jan. 22, 2020",-17.25%
"Jan. 21, 2020",-16.96%
"Jan. 17, 2020",-12.28%
"Jan. 16, 2020",-8.48%
"Jan. 15, 2020",-8.80%
"Jan. 14, 2020",-9.03%
"Jan. 13, 2020",-9.61%
"Jan. 10, 2020",-6.35%
"Jan. 9, 2020",-4.74%
"Jan. 8, 2020",-5.62%
"Jan. 7, 2020",-5.22%
"Jan. 6, 2020",-6.22%
"Jan. 3, 2020",-6.12%
"Jan. 2, 2020",-5.88%
"Dec. 31, 2019",-10.51%
"Dec. 30, 2019",-10.33%
"Dec. 27, 2019",-9.31%
"Dec. 26, 2019",-12.01%
"Dec. 24, 2019",-10.96%
"Dec. 23, 2019",-9.22%
"Dec. 20, 2019",-12.51%
"Dec. 19, 2019",-9.51%
"Dec. 18, 2019",-11.57%
"Dec. 17, 2019",-7.86%
"Dec. 16, 2019",-5.81%
"Dec. 13, 2019",-2.06%
"Dec. 12, 2019",-0.21%
"Dec. 11, 2019",0.19%
"Dec. 10, 2019",-1.67%
"Dec. 9, 2019",-0.70%
"Dec. 6, 2019",0.98%
"Dec. 5, 2019",-0.88%
"Dec. 4, 2019",1.22%
"Dec. 3, 2019",3.89%
"Dec. 2, 2019",3.97%
"Nov. 29, 2019",4.98%
"Nov. 27, 2019",3.69%
"Nov. 26, 2019",5.24%
"Nov. 25, 2019",5.14%
"Nov. 22, 2019",5.26%
"Nov. 21, 2019",2.14%
"Nov. 20, 2019",5.14%
"Nov. 19, 2019",3.37%
"Nov. 18, 2019",4.07%
"Nov. 15, 2019",7.53%
"Nov. 14, 2019",7.11%
"Nov. 13, 2019",7.45%
"Nov. 12, 2019",2.31%
"Nov. 11, 2019",3.47%
"Nov. 8, 2019",-2.43%
"Nov. 7, 2019",0.02%
"Nov. 6, 2019",-4.69%
"Nov. 5, 2019",-4.83%
"Nov. 4, 2019",-6.74%
"Nov. 1, 2019",-8.39%
"Oct. 31, 2019",-10.00%
"Oct. 30, 2019",-8.37%
"Oct. 29, 2019",-7.95%
"Oct. 28, 2019",-10.48%
"Oct. 25, 2019",-11.23%
"Oct. 24, 2019",-8.23%
"Oct. 23, 2019",-8.96%
"Oct. 22, 2019",-10.17%
"Oct. 21, 2019",-12.90%
"Oct. 18, 2019",-9.49%
"Oct. 17, 2019",-2.24%
"Oct. 16, 2019",-2.43%
"Oct. 15, 2019",-1.20%
"Oct. 14, 2019",-1.70%
"Oct. 11, 2019",1.29%
"Oct. 10, 2019",1.66%
"Oct. 9, 2019",1.60%
"Oct. 8, 2019",-0.11%
"Oct. 7, 2019",-3.93%
"Oct. 4, 2019",-5.09%
"Oct. 3, 2019",-3.29%
"Oct. 2, 2019",-5.99%
"Oct. 1, 2019",-4.24%
"Sept. 30, 2019",-0.25%
"Sept. 27, 2019",2.31%
"Sept. 26, 2019",4.46%
"Sept. 25, 2019",4.25%
"Sept. 24, 2019",5.38%
"Sept. 23, 2019",4.10%
"Sept. 20, 2019",0.86%
"Sept. 19, 2019",2.95%
"Sept. 18, 2019",3.80%
"Sept. 17, 2019",1.37%
"Sept. 16, 2019",-0.04%
"Sept. 13, 2019",0.69%
"Sept. 12, 2019",0.06%
"Sept. 11, 2019",-4.27%
"Sept. 10, 2019",-12.56%
"Sept. 9, 2019",-15.09%
"Sept. 6, 2019",-14.48%
"Sept. 5, 2019",-16.23%
"Sept. 4, 2019",-17.60%
"Sept. 3, 2019",-19.56%
"Aug. 30, 2019",-17.24%
"Aug. 29, 2019",-17.55%
"Aug. 28, 2019",-18.18%
"Aug. 27, 2019",-18.54%
"Aug. 26, 2019",-15.87%
"Aug. 23, 2019",-16.05%
"Aug. 22, 2019",-16.42%
"Aug. 21, 2019",-18.58%
"Aug. 20, 2019",-21.30%
"Aug. 19, 2019",-19.81%
"Aug. 16, 2019",-20.94%
"Aug. 15, 2019",-21.53%
"Aug. 14, 2019",-21.81%
"Aug. 13, 2019",-18.93%
"Aug. 12, 2019",-18.95%
"Aug. 9, 2019",-16.64%
"Aug. 8, 2019",-16.93%
"Aug. 7, 2019",-18.21%
"Aug. 6, 2019",-19.13%
"Aug. 5, 2019",-19.29%
"Aug. 2, 2019",-12.36%
"Aug. 1, 2019",-13.72%
"July 31, 2019",-11.52%
"July 30, 2019",-10.38%
"July 29, 2019",-6.77%
"July 26, 2019",-5.27%
"July 25, 2019",-4.42%
"July 24, 2019",0.88%
"July 23, 2019",4.03%
"July 22, 2019",4.34%
"July 19, 2019",3.46%
"July 18, 2019",-0.99%
"July 17, 2019",2.90%
"July 16, 2019",3.04%
"July 15, 2019",2.66%
"July 12, 2019",3.52%
"July 11, 2019",1.73%
"July 10, 2019",-0.09%
"July 9, 2019",2.69%
"July 8, 2019",3.11%
"July 5, 2019",8.80%
"July 3, 2019",14.01%
"July 2, 2019",9.37%
"July 1, 2019",10.53%
"June 28, 2019",15.05%
"June 27, 2019",14.78%
"June 26, 2019",19.43%
"June 25, 2019",25.55%
"June 24, 2019",27.14%
"June 21, 2019",22.09%
"June 20, 2019",19.75%
"June 19, 2019",15.34%
"June 18, 2019",13.99%
"June 17, 2019",12.26%
"June 14, 2019",8.91%
"June 13, 2019",7.19%
"June 12, 2019",6.23%
"June 11, 2019",8.48%
"June 10, 2019",8.41%
"June 7, 2019",9.43%
"June 6, 2019",5.65%
"June 5, 2019",1.82%
"June 4, 2019",0.62%
"June 3, 2019",-5.85%
"May 31, 2019",-1.49%
"May 30, 2019",0.90%
"May 29, 2019",1.82%
"May 28, 2019",6.41%
"May 24, 2019",13.63%
"May 23, 2019",12.24%
"May 22, 2019",11.17%
"May 21, 2019",13.06%
"May 20, 2019",11.04%
"May 17, 2019",5.68%
"May 16, 2019",5.32%
"May 15, 2019",1.19%
"May 14, 2019",-0.49%
"May 13, 2019",-3.47%
"May 10, 2019",-3.97%
"May 9, 2019",-4.12%
"May 8, 2019",-2.97%
"May 7, 2019",-3.98%
"May 6, 2019",1.40%
"May 3, 2019",5.23%
"May 2, 2019",5.05%
"May 1, 2019",3.78%
"April 30, 2019",7.94%
"April 29, 2019",12.95%
"April 26, 2019",5.99%
"April 25, 2019",5.23%
"April 24, 2019",5.87%
"April 23, 2019",6.85%
"April 22, 2019",5.39%
"April 18, 2019",5.77%
"April 17, 2019",3.29%
"April 16, 2019",3.66%
"April 15, 2019",4.62%
"April 12, 2019",5.42%
"April 11, 2019",3.36%
"April 10, 2019",-0.69%
"April 9, 2019",-4.25%
"April 8, 2019",-2.92%
"April 5, 2019",1.41%
"April 4, 2019",1.51%
"April 3, 2019",-1.93%
"April 2, 2019",1.13%
"April 1, 2019",2.42%
"March 29, 2019",2.56%
"March 28, 2019",0.68%
"March 27, 2019",1.86%
"March 26, 2019",1.47%
"March 25, 2019",0.88%
"March 22, 2019",-2.70%
"March 21, 2019",0.13%
"March 20, 2019",2.37%
"March 19, 2019",2.25%
"March 18, 2019",2.39%
"March 15, 2019",5.33%
"March 14, 2019",3.75%
"March 13, 2019",6.10%
"March 12, 2019",6.23%
"March 11, 2019",15.86%
"March 8, 2019",20.97%
"March 7, 2019",20.98%
"March 6, 2019",20.84%
"March 5, 2019",24.07%
"March 4, 2019",24.96%
"March 1, 2019",28.54%
"Feb. 28, 2019",25.27%
"Feb. 27, 2019",23.10%
"Feb. 26, 2019",22.15%
"Feb. 25, 2019",22.18%
"Feb. 22, 2019",21.15%
"Feb. 21, 2019",18.04%
"Feb. 20, 2019",20.19%
"Feb. 19, 2019",20.17%
"Feb. 15, 2019",25.99%
"Feb. 14, 2019",20.84%
"Feb. 13, 2019",21.34%
"Feb. 12, 2019",21.01%
"Feb. 11, 2019",19.02%
"Feb. 8, 2019",16.43%
"Feb. 7, 2019",15.51%
"Feb. 6, 2019",18.62%
"Feb. 5, 2019",17.72%
"Feb. 4, 2019",13.94%
"Feb. 1, 2019",9.83%
"Jan. 31, 2019",8.23%
"Jan. 30, 2019",10.44%
"Jan. 29, 2019",1.18%
"Jan. 28, 2019",0.64%
"Jan. 25, 2019",2.33%
"Jan. 24, 2019",0.00%
"Jan. 23, 2019",1.51%
"Jan. 22, 2019",0.85%
"Jan. 18, 2019",1.25%
"Jan. 17, 2019",0.62%
"Jan. 16, 2019",-1.13%
"Jan. 15, 2019",0.41%
"Jan. 14, 2019",-0.12%
"Jan. 11, 2019",3.61%
"Jan. 10, 2019",1.57%
"Jan. 9, 2019",0.56%
"Jan. 8, 2019",1.76%
