date,eps_est_0y
"March 16, 2020",0.7375
"March 14, 2020",0.7917
"March 12, 2020",0.7917
"March 11, 2020",0.7915
"March 10, 2020",0.8485
"March 9, 2020",0.872
"March 2, 2020",0.9313
"Feb. 28, 2020",0.9388
"Feb. 27, 2020",0.9381
"Feb. 26, 2020",0.9576
"Feb. 24, 2020",0.9785
"Feb. 21, 2020",0.9861
"Feb. 20, 2020",1.044
"Feb. 18, 2020",1.047
"Feb. 9, 2020",1.043
"Feb. 7, 2020",1.043
"Feb. 5, 2020",1.057
"Feb. 4, 2020",1.060
"Feb. 3, 2020",1.075
"Jan. 30, 2020",1.076
"Jan. 28, 2020",1.071
"Jan. 27, 2020",1.073
"Jan. 25, 2020",1.135
"Jan. 24, 2020",1.147
"Jan. 22, 2020",1.196
"Jan. 21, 2020",1.208
"Jan. 17, 2020",1.225
"Jan. 16, 2020",1.226
"Jan. 15, 2020",1.246
"Jan. 14, 2020",1.250
"Jan. 13, 2020",1.262
"Jan. 9, 2020",1.307
"Jan. 8, 2020",1.324
"Jan. 6, 2020",1.343
"Jan. 3, 2020",1.344
"Dec. 31, 2019",1.679
"Dec. 24, 2019",1.695
"Dec. 23, 2019",1.704
"Dec. 20, 2019",1.703
"Dec. 17, 2019",1.702
"Dec. 11, 2019",1.704
"Nov. 26, 2019",1.704
"Nov. 25, 2019",1.704
"Nov. 19, 2019",1.717
"Nov. 15, 2019",1.713
"Nov. 12, 2019",1.713
"Nov. 8, 2019",1.700
"Nov. 6, 2019",1.702
"Nov. 4, 2019",1.697
"Oct. 31, 2019",1.698
"Oct. 30, 2019",1.691
"Oct. 28, 2019",1.691
"Oct. 27, 2019",1.703
"Oct. 26, 2019",1.705
"Oct. 25, 2019",1.716
"Oct. 24, 2019",1.708
"Oct. 23, 2019",1.704
"Oct. 22, 2019",1.713
"Oct. 21, 2019",1.716
"Oct. 20, 2019",1.721
"Oct. 17, 2019",1.719
"Oct. 16, 2019",1.728
"Oct. 15, 2019",1.729
"Oct. 14, 2019",1.729
"Oct. 11, 2019",1.73
"Oct. 10, 2019",1.732
"Oct. 7, 2019",1.740
"Oct. 4, 2019",1.739
"Oct. 2, 2019",1.737
"Oct. 1, 2019",1.734
"Sept. 26, 2019",1.730
"Sept. 24, 2019",1.730
"Sept. 20, 2019",1.730
"Sept. 19, 2019",1.731
"Sept. 6, 2019",1.737
"Aug. 30, 2019",1.743
"Aug. 26, 2019",1.751
"Aug. 21, 2019",1.758
"Aug. 20, 2019",1.770
"Aug. 19, 2019",1.771
"Aug. 16, 2019",1.776
"Aug. 15, 2019",1.776
"Aug. 12, 2019",1.779
"Aug. 5, 2019",1.766
"Aug. 2, 2019",1.765
"July 31, 2019",1.766
"July 29, 2019",1.768
"July 26, 2019",1.792
"July 23, 2019",1.824
"July 22, 2019",1.825
"July 18, 2019",1.833
"July 17, 2019",1.847
"July 15, 2019",1.868
"July 12, 2019",1.892
"July 11, 2019",1.889
"July 10, 2019",1.887
"July 9, 2019",1.901
"July 8, 2019",1.909
"July 4, 2019",1.913
"June 27, 2019",1.912
"June 24, 2019",1.920
"June 20, 2019",1.933
"June 17, 2019",1.938
"June 14, 2019",1.939
"June 13, 2019",1.944
"June 5, 2019",1.954
"May 31, 2019",1.972
"May 28, 2019",1.972
"May 23, 2019",1.972
"May 22, 2019",1.987
