date,liabilities
"Dec. 31, 2019",2.336B
"Sept. 30, 2019",2.229B
"June 30, 2019",2.219B
"March 31, 2019",2.161B
"Dec. 31, 2018",2.111B
"Sept. 30, 2018",2.085B
"June 30, 2018",2.243B
"March 31, 2018",2.132B
"Dec. 31, 2017",2.203B
"Sept. 30, 2017",2.484B
"June 30, 2017",2.577B
"March 31, 2017",2.537B
"Dec. 31, 2016",2.555B
"Sept. 30, 2016",2.669B
"June 30, 2016",2.693B
"March 31, 2016",2.759B
"Dec. 31, 2015",3.244B
"Sept. 30, 2015",3.363B
"June 30, 2015",3.359B
"March 31, 2015",3.337B
"Dec. 31, 2014",3.295B
"Sept. 30, 2014",3.441B
"June 30, 2014",2.807B
"March 31, 2014",2.877B
"Dec. 31, 2013",2.776B
"Sept. 30, 2013",2.703B
"June 30, 2013",2.732B
"March 31, 2013",2.565B
"Dec. 31, 2012",2.485B
"Sept. 30, 2012",2.383B
"June 30, 2012",2.279B
"March 31, 2012",2.278B
"Dec. 31, 2011",2.227B
"Sept. 30, 2011",2.429B
"June 30, 2011",2.284B
"March 31, 2011",2.162B
"Dec. 31, 2010",2.132B
"June 30, 2010",2.024B
"March 31, 2010",1.958B
"Dec. 31, 2009",1.871B
"Sept. 30, 2009",1.765B
"June 30, 2009",1.787B
"March 31, 2009",1.880B
"Dec. 31, 2008",1.911B
"Sept. 30, 2008",1.867B
"June 30, 2008",1.419B
"March 31, 2008",1.266B
"Dec. 31, 2007",1.138B
"Sept. 30, 2007",1.025B
"June 30, 2007",950.40M
"March 31, 2007",877.46M
"Dec. 31, 2006",889.29M
"Sept. 30, 2006",1.070B
"June 30, 2006",915.92M
"March 31, 2006",830.89M
"Dec. 31, 2005",895.16M
"Sept. 30, 2005",913.67M
"June 30, 2005",764.60M
"March 31, 2005",789.05M
"Dec. 31, 2004",755.29M
"Sept. 30, 2004",775.01M
"June 30, 2004",745.40M
"March 31, 2004",689.48M
"Dec. 31, 2003",689.86M
"Sept. 30, 2003",663.95M
"June 30, 2003",691.58M
"March 31, 2003",714.79M
"Dec. 31, 2002",720.27M
"Sept. 30, 2002",696.40M
"June 30, 2002",718.10M
"March 31, 2002",730.48M
"Dec. 31, 2001",722.48M
"Sept. 30, 2001",726.92M
"June 30, 2001",458.85M
"March 31, 2001",461.98M
"Dec. 31, 2000",493.13M
"Sept. 30, 2000",476.30M
"June 30, 2000",460.94M
"March 31, 2000",460.64M
"Dec. 31, 1999",472.90M
"Sept. 30, 1999",512.30M
"June 30, 1999",503.60M
"March 31, 1999",515.70M
"Dec. 31, 1998",521.50M
"Sept. 30, 1998",412.80M
"June 30, 1998",387.50M
"March 31, 1998",360.90M
"Dec. 31, 1997",357.70M
"Sept. 30, 1997",386.80M
"June 30, 1997",361.70M
"March 31, 1997",363.90M
"Dec. 31, 1996",400.60M
"Sept. 30, 1996",372.10M
"June 30, 1996",368.90M
"March 31, 1996",386.90M
"Dec. 31, 1995",380.40M
"Sept. 30, 1995",357.40M
"June 30, 1995",419.40M
"March 31, 1995",430.30M
"Dec. 31, 1994",445.30M
"Sept. 30, 1994",434.70M
"June 30, 1994",418.00M
"March 31, 1994",288.50M
"Dec. 31, 1993",291.50M
"Sept. 30, 1993",278.90M
"June 30, 1993",217.50M
"March 31, 1993",219.50M
"Dec. 31, 1992",230.40M
"Sept. 30, 1992",214.80M
"June 30, 1992",206.10M
"March 31, 1992",200.70M
"Dec. 31, 1991",215.10M
"Sept. 30, 1991",201.10M
"June 30, 1991",190.30M
"March 31, 1991",190.80M
"Dec. 31, 1990",195.30M
"Sept. 30, 1990",187.20M
"June 30, 1990",178.60M
"March 31, 1990",183.90M
"Sept. 30, 1989",104.50M
