date,ni_per_employee_annual
"Dec. 31, 2019",1.322M
"Dec. 31, 2018",1.171M
"Dec. 31, 2017",225856.0
"Dec. 31, 2016",-798323.4
"Dec. 31, 2015",-173218.3
"Dec. 31, 2014",151953.5
"Dec. 31, 2013",439549.1
"Dec. 31, 2012",235653.0
"Dec. 31, 2011",260997.9
"Dec. 31, 2010",211856.6
"Dec. 31, 2009",263252.9
"Dec. 31, 2008",438361.0
"Dec. 31, 2007",430393.3
"Dec. 31, 2006",882348.9
"Dec. 31, 2005",424128.6
"Dec. 31, 2004",259173.0
"Dec. 31, 2003",61879.94
"Dec. 31, 2002",45169.71
"Dec. 31, 2001",136673.4
"Dec. 31, 2000",77777.10
"Dec. 31, 1999",24390.24
"Dec. 31, 1998",14992.93
"Dec. 31, 1997",80626.78
"Dec. 31, 1996",57858.14
"Dec. 31, 1995",-202810.3
"Dec. 31, 1994",-2155.17
"Dec. 31, 1993",8303.68
"Dec. 31, 1992",5164.32
"Dec. 31, 1991",2804.75
