date,return_on_equity
"Dec. 31, 2019",30.63%
"Sept. 30, 2019",36.58%
"June 30, 2019",38.23%
"March 31, 2019",31.75%
"Dec. 31, 2018",24.72%
"Sept. 30, 2018",10.05%
"June 30, 2018",5.37%
"March 31, 2018",4.33%
"Dec. 31, 2017",3.84%
"Sept. 30, 2017",-5.51%
"June 30, 2017",-6.43%
"March 31, 2017",-9.32%
"Dec. 31, 2016",-15.73%
"Sept. 30, 2016",-9.19%
"June 30, 2016",-9.95%
"March 31, 2016",-9.01%
"Dec. 31, 2015",-5.37%
"Sept. 30, 2015",-10.25%
"June 30, 2015",-4.82%
"March 31, 2015",1.66%
"Dec. 31, 2014",4.59%
"Sept. 30, 2014",17.47%
"June 30, 2014",16.24%
"March 31, 2014",15.34%
"Dec. 31, 2013",12.63%
"Sept. 30, 2013",11.06%
"June 30, 2013",9.72%
"March 31, 2013",7.36%
"Dec. 31, 2012",6.22%
"Sept. 30, 2012",5.58%
"June 30, 2012",5.26%
"March 31, 2012",6.31%
"Dec. 31, 2011",6.20%
"Sept. 30, 2011",7.55%
"June 30, 2011",6.40%
"March 31, 2011",4.72%
"Dec. 31, 2010",5.61%
"Sept. 30, 2010",
"June 30, 2010",6.85%
"March 31, 2010",7.04%
"Dec. 31, 2009",8.12%
"Sept. 30, 2009",8.66%
"June 30, 2009",10.85%
"March 31, 2009",13.84%
"Dec. 31, 2008",15.32%
"Sept. 30, 2008",17.03%
"June 30, 2008",16.18%
"March 31, 2008",15.94%
"Dec. 31, 2007",16.57%
"Sept. 30, 2007",16.14%
"June 30, 2007",34.21%
"March 31, 2007",37.66%
"Dec. 31, 2006",41.84%
"Sept. 30, 2006",51.11%
"June 30, 2006",31.98%
"March 31, 2006",32.80%
"Dec. 31, 2005",29.26%
"Sept. 30, 2005",26.10%
"June 30, 2005",23.82%
"March 31, 2005",21.56%
"Dec. 31, 2004",22.18%
"Sept. 30, 2004",20.06%
"June 30, 2004",22.38%
"March 31, 2004",23.18%
"Dec. 31, 2003",6.26%
"Sept. 30, 2003",2.98%
"June 30, 2003",-1.96%
"March 31, 2003",-6.62%
"Dec. 31, 2002",4.64%
"Sept. 30, 2002",-2.33%
"June 30, 2002",-1.24%
"March 31, 2002",2.20%
"Dec. 31, 2001",15.16%
"Sept. 30, 2001",27.95%
"June 30, 2001",29.75%
"March 31, 2001",25.68%
"Dec. 31, 2000",12.06%
"Sept. 30, 2000",6.98%
"June 30, 2000",6.43%
"March 31, 2000",8.88%
"Dec. 31, 1999",4.71%
"Sept. 30, 1999",1.69%
"June 30, 1999",-1.72%
"March 31, 1999",-0.54%
"Dec. 31, 1998",2.80%
"Sept. 30, 1998",8.37%
"June 30, 1998",11.46%
"March 31, 1998",11.84%
"Dec. 31, 1997",16.46%
"Sept. 30, 1997",15.41%
"June 30, 1997",16.26%
"March 31, 1997",15.95%
"Dec. 31, 1996",13.48%
"Sept. 30, 1996",6.04%
"June 30, 1996",-40.20%
"March 31, 1996",-39.95%
"Dec. 31, 1995",-43.02%
"Sept. 30, 1995",-38.19%
"June 30, 1995",-6.44%
"March 31, 1995",-5.74%
"Dec. 31, 1994",-0.48%
"Sept. 30, 1994",1.09%
"June 30, 1994",1.32%
"March 31, 1994",3.29%
"Dec. 31, 1993",2.55%
"Sept. 30, 1993",2.99%
"June 30, 1993",5.53%
"March 31, 1993",2.85%
"Dec. 31, 1992",1.94%
"Sept. 30, 1992",0.25%
"June 30, 1992",-1.41%
"March 31, 1992",-0.98%
"Dec. 31, 1991",1.07%
"Sept. 30, 1991",8.26%
"June 30, 1991",9.35%
"March 31, 1991",12.34%
"Dec. 31, 1990",13.12%
"Sept. 30, 1990",10.87%
"June 30, 1990",15.27%
