date,revenue_per_employee_annual
"Dec. 31, 2019",4.012M
"Dec. 31, 2018",4.602M
"Dec. 31, 2017",3.969M
"Dec. 31, 2016",2.212M
"Dec. 31, 2015",2.064M
"Dec. 31, 2014",3.161M
"Dec. 31, 2013",2.744M
"Dec. 31, 2012",2.155M
"Dec. 31, 2011",2.089M
"Dec. 31, 2010",1.769M
"Dec. 31, 2009",1.560M
"Dec. 31, 2008",1.962M
"Dec. 31, 2007",1.882M
"Dec. 31, 2006",2.093M
"Dec. 31, 2005",1.951M
"Dec. 31, 2004",1.555M
"Dec. 31, 2003",1.492M
"Dec. 31, 2002",992302.9
"Dec. 31, 2001",1.298M
"Dec. 31, 2000",1.126M
"Dec. 31, 1999",843615.5
"Dec. 31, 1998",710891.1
"Dec. 31, 1997",527350.4
"Dec. 31, 1996",453685.7
"Dec. 31, 1995",500936.8
"Dec. 31, 1994",510991.4
"Dec. 31, 1993",389798.3
"Dec. 31, 1992",346478.9
"Dec. 31, 1991",303128.4
