date,springate_score
"Dec. 31, 2019",3.069
"Sept. 30, 2019",3.586
"June 30, 2019",3.277
"March 31, 2019",2.592
"Dec. 31, 2018",2.000
"Sept. 30, 2018",1.345
"June 30, 2018",1.196
"March 31, 2018",1.489
"Dec. 31, 2017",1.408
"Sept. 30, 2017",1.504
"June 30, 2017",1.580
"March 31, 2017",0.8804
"Dec. 31, 2016",-0.0126
"Sept. 30, 2016",-0.1763
"June 30, 2016",-0.1825
"March 31, 2016",0.0382
"Dec. 31, 2015",0.3118
"Sept. 30, 2015",-0.6937
"June 30, 2015",-0.2321
"March 31, 2015",0.2701
"Dec. 31, 2014",0.4869
"Sept. 30, 2014",1.978
"June 30, 2014",1.782
"March 31, 2014",1.644
"Dec. 31, 2013",1.415
"Sept. 30, 2013",1.264
"June 30, 2013",1.167
"March 31, 2013",1.00
"Dec. 31, 2012",0.9441
"Sept. 30, 2012",0.9762
"June 30, 2012",1.041
"March 31, 2012",1.192
"Dec. 31, 2011",1.169
"Sept. 30, 2011",1.318
"June 30, 2011",1.223
"March 31, 2011",1.036
"Dec. 31, 2010",1.062
"Sept. 30, 2010",
"June 30, 2010",1.072
"March 31, 2010",1.049
"Dec. 31, 2009",1.069
"Sept. 30, 2009",1.081
"June 30, 2009",1.120
"March 31, 2009",1.241
"Dec. 31, 2008",1.244
"Sept. 30, 2008",1.398
"June 30, 2008",1.258
