date,tobin_q
"Dec. 31, 2019",1.743
"Sept. 30, 2019",1.840
"June 30, 2019",2.285
"March 31, 2019",2.640
"Dec. 31, 2018",2.481
"Sept. 30, 2018",2.570
"June 30, 2018",2.575
"March 31, 2018",2.501
"Dec. 31, 2017",3.016
"Sept. 30, 2017",2.608
"June 30, 2017",2.418
"March 31, 2017",2.312
"Dec. 31, 2016",2.329
"Sept. 30, 2016",2.361
"June 30, 2016",2.345
"March 31, 2016",2.038
"Dec. 31, 2015",1.791
"Sept. 30, 2015",2.026
"June 30, 2015",2.738
"March 31, 2015",2.566
"Dec. 31, 2014",2.587
"Sept. 30, 2014",2.577
"June 30, 2014",2.975
"March 31, 2014",2.996
"Dec. 31, 2013",3.476
"Sept. 30, 2013",3.377
"June 30, 2013",3.208
"March 31, 2013",3.308
"Dec. 31, 2012",2.520
"Sept. 30, 2012",2.364
"June 30, 2012",2.103
"March 31, 2012",1.708
"Dec. 31, 2011",2.046
"Sept. 30, 2011",1.708
"June 30, 2011",1.896
"March 31, 2011",1.644
"Dec. 31, 2010",1.252
"Sept. 30, 2010",
"June 30, 2010",1.099
"March 31, 2010",1.236
"Dec. 31, 2009",1.453
"Sept. 30, 2009",1.228
"June 30, 2009",1.067
"March 31, 2009",0.8359
"Dec. 31, 2008",0.9284
"Sept. 30, 2008",1.252
"June 30, 2008",2.679
"March 31, 2008",2.306
"Dec. 31, 2007",1.938
"Sept. 30, 2007",1.798
"June 30, 2007",1.948
"March 31, 2007",1.882
"Dec. 31, 2006",1.675
"Sept. 30, 2006",1.230
"June 30, 2006",1.657
"March 31, 2006",1.744
"Dec. 31, 2005",1.671
"Sept. 30, 2005",1.985
"June 30, 2005",1.51
"March 31, 2005",1.631
"Dec. 31, 2004",1.418
"Sept. 30, 2004",1.481
"June 30, 2004",1.465
"March 31, 2004",1.228
"Dec. 31, 2003",1.174
"Sept. 30, 2003",1.117
"June 30, 2003",1.242
"March 31, 2003",1.121
"Dec. 31, 2002",1.111
"Sept. 30, 2002",1.031
"June 30, 2002",1.082
"March 31, 2002",1.143
"Dec. 31, 2001",1.109
"Sept. 30, 2001",0.9215
"June 30, 2001",1.203
"March 31, 2001",1.386
"Dec. 31, 2000",1.592
"Sept. 30, 2000",1.259
"June 30, 2000",1.329
"March 31, 2000",1.148
"Dec. 31, 1999",1.066
"Sept. 30, 1999",1.062
"June 30, 1999",1.198
"March 31, 1999",1.032
"Dec. 31, 1998",1.029
"Sept. 30, 1998",1.068
"June 30, 1998",1.266
"March 31, 1998",1.343
"Dec. 31, 1997",1.251
"Sept. 30, 1997",1.384
"June 30, 1997",1.192
"March 31, 1997",1.172
"Dec. 31, 1996",1.127
"Sept. 30, 1996",1.104
"June 30, 1996",1.221
"March 31, 1996",1.064
"Dec. 31, 1995",1.119
"Sept. 30, 1995",1.089
"June 30, 1995",0.8851
"March 31, 1995",0.9303
"Dec. 31, 1994",0.8718
"Sept. 30, 1994",1.004
"June 30, 1994",1.082
"March 31, 1994",1.257
"Dec. 31, 1993",1.34
"Sept. 30, 1993",1.529
"June 30, 1993",1.601
"March 31, 1993",1.722
"Dec. 31, 1992",1.367
"Sept. 30, 1992",1.556
"June 30, 1992",1.068
"March 31, 1992",1.069
"Dec. 31, 1991",1.073
"Sept. 30, 1991",1.400
"June 30, 1991",1.288
"March 31, 1991",1.259
"Dec. 31, 1990",1.309
"Sept. 30, 1990",1.520
"June 30, 1990",1.375
"March 31, 1990",1.320
