date,cash_on_hand
"Dec. 31, 2019",10.23B
"Sept. 30, 2019",10.05B
"June 30, 2019",8.508B
"March 31, 2019",8.272B
"Dec. 31, 2018",7.625B
"Sept. 30, 2018",6.677B
"June 30, 2018",6.005B
"March 31, 2018",7.048B
"Dec. 31, 2017",10.10B
"Sept. 30, 2017",11.69B
"June 30, 2017",11.80B
"March 31, 2017",3.361B
"Dec. 31, 2016",3.66B
"Sept. 30, 2016",4.324B
"June 30, 2016",4.152B
"March 31, 2016",5.173B
"Dec. 31, 2015",2.368B
"Sept. 30, 2015",2.413B
"June 30, 2015",3.813B
"March 31, 2015",2.664B
"Dec. 31, 2014",5.062B
"Sept. 30, 2014",5.782B
"June 30, 2014",6.43B
"March 31, 2014",7.73B
"Dec. 31, 2013",6.518B
"Sept. 30, 2013",3.883B
"June 30, 2013",3.984B
"March 31, 2013",5.445B
"Dec. 31, 2012",3.618B
"Sept. 30, 2012",1.268B
"June 30, 2012",1.044B
"March 31, 2012",4.215B
"Dec. 31, 2011",6.361B
"Sept. 30, 2011",6.026B
"June 30, 2011",8.14B
"March 31, 2011",8.403B
"Dec. 31, 2010",11.51B
"Sept. 30, 2010",10.85B
"June 30, 2010",4.12B
"March 31, 2010",855.00M
"Dec. 31, 2009",542.00M
"Sept. 30, 2009",641.00M
"June 30, 2009",888.00M
"March 31, 2009",802.00M
"Dec. 31, 2008",755.00M
"Sept. 30, 2008",1.116B
"June 30, 2008",787.00M
"March 31, 2008",1.423B
"Dec. 31, 2007",1.456B
"Sept. 30, 2007",1.379B
"June 30, 2007",1.411B
"March 31, 2007",860.00M
"Dec. 31, 2006",817.00M
"Sept. 30, 2006",696.00M
"June 30, 2006",654.00M
"March 31, 2006",3.008B
"Dec. 31, 2005",2.214B
"Sept. 30, 2005",2.803B
"June 30, 2005",1.541B
"March 31, 2005",2.421B
"Dec. 31, 2004",1.387B
"Sept. 30, 2004",3.263B
"June 30, 2004",804.00M
"March 31, 2004",659.00M
"Dec. 31, 2003",490.00M
"Sept. 30, 2003",483.00M
"June 30, 2003",524.00M
"March 31, 2003",423.00M
"Dec. 31, 2002",307.00M
"Sept. 30, 2002",517.00M
"June 30, 2002",145.00M
"March 31, 2002",170.00M
"Dec. 31, 2001",142.00M
"Sept. 30, 2001",199.00M
"June 30, 2001",87.00M
"March 31, 2001",143.00M
"Dec. 31, 2000",149.00M
"Sept. 30, 2000",88.00M
"June 30, 2000",235.00M
"March 31, 2000",131.00M
"Dec. 31, 1999",138.00M
"Sept. 30, 1999",180.00M
"June 30, 1999",147.00M
"March 31, 1999",209.00M
"Dec. 31, 1998",97.00M
"Sept. 30, 1998",127.00M
"June 30, 1998",130.00M
"March 31, 1998",194.00M
"Dec. 31, 1997",163.00M
"Sept. 30, 1997",899.00M
"June 30, 1997",774.00M
"March 31, 1997",861.00M
"Dec. 31, 1996",615.00M
"Sept. 30, 1996",346.00M
"June 30, 1996",223.00M
"March 31, 1996",164.00M
"Dec. 31, 1995",67.00M
"Sept. 30, 1995",143.00M
"June 30, 1995",122.00M
"March 31, 1995",198.00M
"Dec. 31, 1994",193.00M
"Sept. 30, 1994",144.00M
"June 30, 1994",128.00M
"March 31, 1994",116.00M
"Dec. 31, 1993",119.00M
"Sept. 30, 1993",116.00M
"June 30, 1993",137.00M
"March 31, 1993",91.00M
"Dec. 31, 1992",131.00M
"Sept. 30, 1992",167.00M
"June 30, 1992",197.00M
"March 31, 1992",121.00M
"Dec. 31, 1991",114.00M
"Sept. 30, 1991",451.00M
"June 30, 1991",381.00M
"March 31, 1991",749.00M
"Dec. 31, 1990",670.00M
"Sept. 30, 1990",1.054B
"June 30, 1990",1.121B
"March 31, 1990",946.00M
"Dec. 31, 1989",708.00M
"Sept. 30, 1989",763.00M
"Dec. 31, 1988",1.079B
"Dec. 31, 1987",1.006B
"Dec. 31, 1986",1.141B
"Dec. 31, 1985",676.00M
"Dec. 31, 1984",1.894B
