date,current_ratio
"Dec. 31, 2019",2.401
"Sept. 30, 2019",2.561
"June 30, 2019",1.756
"March 31, 2019",1.857
"Dec. 31, 2018",1.795
"Sept. 30, 2018",1.989
"June 30, 2018",1.749
"March 31, 2018",1.855
"Dec. 31, 2017",1.757
"Sept. 30, 2017",2.378
"June 30, 2017",2.003
"March 31, 2017",1.426
"Dec. 31, 2016",1.246
"Sept. 30, 2016",1.279
"June 30, 2016",1.260
"March 31, 2016",1.239
"Dec. 31, 2015",0.9495
"Sept. 30, 2015",1.166
"June 30, 2015",1.368
"March 31, 2015",1.134
"Dec. 31, 2014",1.306
"Sept. 30, 2014",1.149
"June 30, 2014",1.163
"March 31, 2014",1.192
"Dec. 31, 2013",1.257
"Sept. 30, 2013",1.381
"June 30, 2013",1.352
"March 31, 2013",1.323
"Dec. 31, 2012",1.375
"Sept. 30, 2012",0.9078
"June 30, 2012",0.9211
"March 31, 2012",1.018
"Dec. 31, 2011",1.077
"Sept. 30, 2011",1.119
"June 30, 2011",1.182
"March 31, 2011",1.219
"Dec. 31, 2010",1.264
"Sept. 30, 2010",1.389
"June 30, 2010",1.039
"March 31, 2010",0.8868
"Dec. 31, 2009",0.8933
"Sept. 30, 2009",0.9025
"June 30, 2009",0.9994
"March 31, 2009",0.9938
"Dec. 31, 2008",0.957
"Sept. 30, 2008",0.9599
"June 30, 2008",0.9618
"March 31, 2008",0.9191
"Dec. 31, 2007",0.9201
"Sept. 30, 2007",0.9818
"June 30, 2007",1.019
"March 31, 2007",0.9155
"Dec. 31, 2006",0.9484
"Sept. 30, 2006",0.8993
"June 30, 2006",0.8045
"March 31, 2006",0.7903
"Dec. 31, 2005",0.9182
"Sept. 30, 2005",0.9629
"June 30, 2005",1.026
"March 31, 2005",1.006
"Dec. 31, 2004",0.9638
"Sept. 30, 2004",1.054
"June 30, 2004",0.9488
"March 31, 2004",0.8788
"Dec. 31, 2003",0.7988
"Sept. 30, 2003",0.7961
"June 30, 2003",0.7928
"March 31, 2003",0.842
"Dec. 31, 2002",0.8507
"Sept. 30, 2002",0.7643
"June 30, 2002",0.8567
"March 31, 2002",0.8804
"Dec. 31, 2001",1.348
"Sept. 30, 2001",0.8393
"June 30, 2001",0.7921
"March 31, 2001",0.6605
"Dec. 31, 2000",0.7463
"Sept. 30, 2000",0.6978
"June 30, 2000",0.8415
"March 31, 2000",1.014
"Dec. 31, 1999",1.100
"Sept. 30, 1999",1.073
"June 30, 1999",1.162
"March 31, 1999",1.244
"Dec. 31, 1998",1.107
"Sept. 30, 1998",0.9749
"June 30, 1998",1.107
"March 31, 1998",1.137
"Dec. 31, 1997",1.083
"Sept. 30, 1997",1.235
"June 30, 1997",1.308
"March 31, 1997",1.204
"Dec. 31, 1996",1.054
"Sept. 30, 1996",1.106
"June 30, 1996",1.171
"March 31, 1996",0.9919
"Dec. 31, 1995",0.8558
"Sept. 30, 1995",0.8718
"June 30, 1995",0.9541
"March 31, 1995",0.9675
"Dec. 31, 1994",1.010
"Sept. 30, 1994",1.008
"June 30, 1994",1.044
"March 31, 1994",0.9978
"Dec. 31, 1993",0.9678
"Sept. 30, 1993",0.9667
"June 30, 1993",1.006
"March 31, 1993",0.9818
"Dec. 31, 1992",0.9333
"Sept. 30, 1992",0.8872
"June 30, 1992",0.9723
"March 31, 1992",0.9537
"Dec. 31, 1991",0.9447
"Sept. 30, 1991",1.020
"June 30, 1991",1.058
"March 31, 1991",1.156
"Dec. 31, 1990",1.142
"Sept. 30, 1990",1.124
"June 30, 1990",1.147
"March 31, 1990",1.070
"Dec. 31, 1989",1.063
"Sept. 30, 1989",1.017
"June 30, 1989",
"March 31, 1989",
"Dec. 31, 1988",1.241
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",1.201
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",1.255
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",1.011
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",0.8615
