date,days_inventory_outstanding
"Dec. 31, 2019",16.22
"Sept. 30, 2019",16.63
"June 30, 2019",17.19
"March 31, 2019",14.20
"Dec. 31, 2018",14.72
"Sept. 30, 2018",16.65
"June 30, 2018",16.84
"March 31, 2018",15.31
"Dec. 31, 2017",14.87
"Sept. 30, 2017",16.19
"June 30, 2017",16.44
"March 31, 2017",14.93
"Dec. 31, 2016",15.33
"Sept. 30, 2016",15.22
"June 30, 2016",17.55
"March 31, 2016",17.20
"Dec. 31, 2015",15.54
"Sept. 30, 2015",14.97
"June 30, 2015",15.57
"March 31, 2015",16.32
"Dec. 31, 2014",12.16
"Sept. 30, 2014",13.53
"June 30, 2014",11.94
"March 31, 2014",10.10
"Dec. 31, 2013",11.96
"Sept. 30, 2013",11.45
"June 30, 2013",11.46
"March 31, 2013",10.26
"Dec. 31, 2012",9.172
"Sept. 30, 2012",11.14
"June 30, 2012",36.34
"March 31, 2012",53.03
"Dec. 31, 2011",34.73
"Sept. 30, 2011",66.26
"June 30, 2011",73.43
"March 31, 2011",13.32
"Dec. 31, 2010",-8.903
"Sept. 30, 2010",18.51
"June 30, 2010",18.95
"March 31, 2010",16.40
"Dec. 31, 2009",14.55
"Sept. 30, 2009",17.28
"June 30, 2009",19.56
"March 31, 2009",23.68
"Dec. 31, 2008",13.13
"Sept. 30, 2008",11.63
"June 30, 2008",11.55
"March 31, 2008",12.63
"Dec. 31, 2007",11.66
"Sept. 30, 2007",14.29
"June 30, 2007",14.83
"March 31, 2007",16.78
"Dec. 31, 2006",18.58
"Sept. 30, 2006",17.26
"June 30, 2006",16.88
"March 31, 2006",11.77
"Dec. 31, 2005",10.18
"Sept. 30, 2005",12.09
"June 30, 2005",13.95
"March 31, 2005",13.52
"Dec. 31, 2004",12.48
"Sept. 30, 2004",16.35
"June 30, 2004",18.41
"March 31, 2004",17.61
"Dec. 31, 2003",19.17
"Sept. 30, 2003",20.26
"June 30, 2003",20.26
"March 31, 2003",18.37
"Dec. 31, 2002",22.26
"Sept. 30, 2002",28.52
"June 30, 2002",28.71
"March 31, 2002",33.76
"Dec. 31, 2001",36.39
"Sept. 30, 2001",35.96
"June 30, 2001",16.14
"March 31, 2001",12.86
"Dec. 31, 2000",12.22
"Sept. 30, 2000",15.62
"June 30, 2000",15.76
"March 31, 2000",13.55
"Dec. 31, 1999",15.31
"Sept. 30, 1999",18.10
"June 30, 1999",20.16
"March 31, 1999",25.86
"Dec. 31, 1998",23.47
"Sept. 30, 1998",24.23
"June 30, 1998",23.78
"March 31, 1998",20.35
"Dec. 31, 1997",17.47
"Sept. 30, 1997",17.22
"June 30, 1997",15.63
"March 31, 1997",14.01
"Dec. 31, 1996",13.21
"Sept. 30, 1996",15.68
"June 30, 1996",14.76
"March 31, 1996",15.97
"Dec. 31, 1995",18.79
"Sept. 30, 1995",19.65
"June 30, 1995",17.58
"March 31, 1995",20.48
"Dec. 31, 1994",20.41
"Sept. 30, 1994",18.39
"June 30, 1994",19.57
"March 31, 1994",21.14
"Dec. 31, 1993",21.81
"Sept. 30, 1993",22.53
"June 30, 1993",23.18
"March 31, 1993",24.81
"Dec. 31, 1992",24.56
"Sept. 30, 1992",24.16
"June 30, 1992",26.47
"March 31, 1992",28.94
"Dec. 31, 1991",23.90
"Sept. 30, 1991",26.31
"June 30, 1991",24.02
"March 31, 1991",24.39
"Dec. 31, 1990",18.69
"Sept. 30, 1990",23.50
"June 30, 1990",26.40
"March 31, 1990",23.41
"Dec. 31, 1989",21.69
