date,debt_equity_ratio
"Dec. 31, 2019",0.4258
"Sept. 30, 2019",0.4245
"June 30, 2019",0.4525
"March 31, 2019",0.4548
"Dec. 31, 2018",0.4686
"Sept. 30, 2018",0.4694
"June 30, 2018",0.4824
"March 31, 2018",0.558
"Dec. 31, 2017",0.6437
"Sept. 30, 2017",0.6887
"June 30, 2017",0.7749
"March 31, 2017",0.7477
"Dec. 31, 2016",0.7799
"Sept. 30, 2016",0.7932
"June 30, 2016",0.7638
"March 31, 2016",0.7535
"Dec. 31, 2015",0.6257
"Sept. 30, 2015",0.563
"June 30, 2015",0.5126
"March 31, 2015",0.4627
"Dec. 31, 2014",0.4347
"Sept. 30, 2014",0.3833
"June 30, 2014",0.3839
"March 31, 2014",0.3984
"Dec. 31, 2013",0.4159
"Sept. 30, 2013",0.4239
"June 30, 2013",0.4478
"March 31, 2013",0.444
"Dec. 31, 2012",0.4527
"Sept. 30, 2012",0.4454
"June 30, 2012",0.5005
"March 31, 2012",0.4262
"Dec. 31, 2011",0.3468
"Sept. 30, 2011",0.3518
"June 30, 2011",0.3311
"March 31, 2011",0.3317
"Dec. 31, 2010",0.3441
"Sept. 30, 2010",0.3403
"June 30, 2010",0.402
"March 31, 2010",0.4613
"Dec. 31, 2009",0.462
"Sept. 30, 2009",0.4952
"June 30, 2009",0.5153
"March 31, 2009",0.5332
"Dec. 31, 2008",0.4977
"Sept. 30, 2008",0.238
"June 30, 2008",0.2373
"March 31, 2008",0.2399
"Dec. 31, 2007",0.2437
"Sept. 30, 2007",0.2516
"June 30, 2007",0.2686
"March 31, 2007",0.2792
"Dec. 31, 2006",0.3283
"Sept. 30, 2006",0.3455
"June 30, 2006",0.3814
"March 31, 2006",0.4459
"Dec. 31, 2005",0.2374
"Sept. 30, 2005",0.2708
"June 30, 2005",0.2963
"March 31, 2005",0.3112
"Dec. 31, 2004",0.3511
"Sept. 30, 2004",0.3894
"June 30, 2004",0.4129
"March 31, 2004",0.4776
"Dec. 31, 2003",0.5174
"Sept. 30, 2003",0.5687
"June 30, 2003",0.5485
"March 31, 2003",0.5898
"Dec. 31, 2002",0.6696
"Sept. 30, 2002",0.682
"June 30, 2002",0.6665
"March 31, 2002",0.6309
"Dec. 31, 2001",0.6035
"Sept. 30, 2001",0.5465
"June 30, 2001",0.8894
"March 31, 2001",0.986
"Dec. 31, 2000",1.130
"Sept. 30, 2000",1.457
"June 30, 2000",1.600
"March 31, 2000",0.8436
"Dec. 31, 1999",0.9457
"Sept. 30, 1999",1.024
"June 30, 1999",1.114
"March 31, 1999",1.096
"Dec. 31, 1998",1.013
"Sept. 30, 1998",0.7801
"June 30, 1998",0.6466
"March 31, 1998",0.6195
"Dec. 31, 1997",0.6251
"Sept. 30, 1997",0.6056
"June 30, 1997",0.6256
"March 31, 1997",0.6597
"Dec. 31, 1996",0.7361
"Sept. 30, 1996",0.7033
"June 30, 1996",0.7491
"March 31, 1996",0.7662
"Dec. 31, 1995",0.9774
"Sept. 30, 1995",0.9207
"June 30, 1995",0.9719
"March 31, 1995",1.022
"Dec. 31, 1994",1.058
"Sept. 30, 1994",1.135
"June 30, 1994",1.225
"March 31, 1994",1.184
"Dec. 31, 1993",1.200
"Sept. 30, 1993",1.279
"June 30, 1993",1.319
"March 31, 1993",1.418
"Dec. 31, 1992",1.417
"Sept. 30, 1992",1.579
"June 30, 1992",1.648
"March 31, 1992",1.675
"Dec. 31, 1991",1.450
"Sept. 30, 1991",1.395
"June 30, 1991",1.400
"March 31, 1991",1.391
"Dec. 31, 1990",1.434
"Sept. 30, 1990",1.550
"June 30, 1990",1.634
"March 31, 1990",1.719
"Dec. 31, 1989",1.888
"Sept. 30, 1989",1.695
"June 30, 1989",
"March 31, 1989",
"Dec. 31, 1988",2.316
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",3.461
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",3.448
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",4.126
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",0.7264
