date,ebitda_margin_ttm
"Dec. 31, 2019",50.33%
"Sept. 30, 2019",51.83%
"June 30, 2019",47.59%
"March 31, 2019",48.30%
"Dec. 31, 2018",45.76%
"Sept. 30, 2018",44.10%
"June 30, 2018",41.43%
"March 31, 2018",21.85%
"Dec. 31, 2017",18.31%
"Sept. 30, 2017",16.24%
"June 30, 2017",11.29%
"March 31, 2017",25.05%
"Dec. 31, 2016",20.16%
"Sept. 30, 2016",0.03%
"June 30, 2016",-1.37%
"March 31, 2016",4.16%
"Dec. 31, 2015",9.45%
"Sept. 30, 2015",21.22%
"June 30, 2015",28.87%
"March 31, 2015",32.53%
"Dec. 31, 2014",34.97%
"Sept. 30, 2014",38.28%
"June 30, 2014",40.17%
"March 31, 2014",40.47%
"Dec. 31, 2013",41.34%
"Sept. 30, 2013",41.27%
"June 30, 2013",39.06%
"March 31, 2013",38.95%
"Dec. 31, 2012",39.18%
"Sept. 30, 2012",37.26%
"June 30, 2012",36.60%
"March 31, 2012",35.88%
"Dec. 31, 2011",23.31%
"Sept. 30, 2011",539.9%
"June 30, 2011",71.58%
"March 31, 2011",41.67%
"Dec. 31, 2010",48.11%
"Sept. 30, 2010",15.49%
"June 30, 2010",14.97%
"March 31, 2010",13.60%
"Dec. 31, 2009",13.46%
"Sept. 30, 2009",-8.83%
"June 30, 2009",-3.49%
"March 31, 2009",0.67%
"Dec. 31, 2008",2.87%
"Sept. 30, 2008",17.42%
"June 30, 2008",17.79%
"March 31, 2008",19.01%
"Dec. 31, 2007",18.93%
"Sept. 30, 2007",19.40%
"June 30, 2007",20.11%
"March 31, 2007",20.60%
"Dec. 31, 2006",20.00%
"Sept. 30, 2006",18.69%
"June 30, 2006",17.23%
"March 31, 2006",15.39%
"Dec. 31, 2005",17.87%
"Sept. 30, 2005",17.98%
"June 30, 2005",17.97%
"March 31, 2005",20.95%
"Dec. 31, 2004",20.47%
"Sept. 30, 2004",29.21%
"June 30, 2004",30.27%
"March 31, 2004",29.87%
"Dec. 31, 2003",29.79%
"Sept. 30, 2003",24.83%
"June 30, 2003",24.81%
"March 31, 2003",23.99%
"Dec. 31, 2002",22.15%
"Sept. 30, 2002",12.32%
"June 30, 2002",15.38%
"March 31, 2002",18.45%
"Dec. 31, 2001",21.40%
"Sept. 30, 2001",36.24%
"June 30, 2001",38.19%
"March 31, 2001",34.64%
"Dec. 31, 2000",32.30%
"Sept. 30, 2000",22.79%
"June 30, 2000",20.60%
"March 31, 2000",18.59%
"Dec. 31, 1999",18.20%
"Sept. 30, 1999",14.88%
"June 30, 1999",13.43%
"March 31, 1999",14.38%
"Dec. 31, 1998",16.41%
"Sept. 30, 1998",19.65%
"June 30, 1998",20.67%
"March 31, 1998",20.32%
"Dec. 31, 1997",19.40%
"Sept. 30, 1997",19.01%
"June 30, 1997",18.54%
"March 31, 1997",18.14%
"Dec. 31, 1996",17.75%
"Sept. 30, 1996",17.01%
"June 30, 1996",16.50%
"March 31, 1996",16.29%
"Dec. 31, 1995",16.51%
"Sept. 30, 1995",16.86%
"June 30, 1995",16.36%
"March 31, 1995",15.77%
"Dec. 31, 1994",15.43%
"Sept. 30, 1994",14.16%
"June 30, 1994",13.78%
"March 31, 1994",14.02%
"Dec. 31, 1993",13.46%
"Sept. 30, 1993",14.74%
"June 30, 1993",14.68%
"March 31, 1993",15.09%
"Dec. 31, 1992",14.08%
"Sept. 30, 1992",13.48%
"June 30, 1992",13.82%
"March 31, 1992",13.04%
"Dec. 31, 1991",15.82%
"Sept. 30, 1991",16.99%
"June 30, 1991",18.26%
"March 31, 1991",19.68%
"Dec. 31, 1990",18.71%
"Sept. 30, 1990",17.61%
"June 30, 1990",17.24%
"March 31, 1990",38.16%
"Dec. 31, 1989",58.68%
"Sept. 30, 1989",1.03%
"June 30, 1989",20.01%
"March 31, 1989",17.16%
"Dec. 31, 1988",15.70%
"Sept. 30, 1988",13.09%
"June 30, 1988",12.43%
"March 31, 1988",10.26%
"Dec. 31, 1987",6.80%
"Sept. 30, 1987",9.98%
"June 30, 1987",4.50%
"March 31, 1987",1.69%
"Dec. 31, 1986",7.94%
"Sept. 30, 1986",-15.82%
"June 30, 1986",-0.02%
"March 31, 1986",10.93%
"Dec. 31, 1985",15.90%
"Sept. 30, 1985",14.30%
"June 30, 1985",13.65%
"March 31, 1985",14.18%
"Dec. 31, 1984",14.03%
