date,eps_ttm
"Dec. 31, 2019",6.39
"Sept. 30, 2019",7.35
"June 30, 2019",6.20
"March 31, 2019",6.19
"Dec. 31, 2018",5.34
"Sept. 30, 2018",5.05
"June 30, 2018",3.80
"March 31, 2018",-0.37
"Dec. 31, 2017",-0.65
"Sept. 30, 2017",-2.00
"June 30, 2017",-3.18
"March 31, 2017",-1.26
"Dec. 31, 2016",-2.91
"Sept. 30, 2016",-5.66
"June 30, 2016",-5.69
"March 31, 2016",-4.98
"Dec. 31, 2015",-3.58
"Sept. 30, 2015",-0.83
"June 30, 2015",2.21
"March 31, 2015",4.03
"Dec. 31, 2014",5.52
"Sept. 30, 2014",7.55
"June 30, 2014",7.38
"March 31, 2014",7.36
"Dec. 31, 2013",7.38
"Sept. 30, 2013",6.54
"June 30, 2013",6.00
"March 31, 2013",6.15
"Dec. 31, 2012",6.69
"Sept. 30, 2012",8.08
"June 30, 2012",8.53
"March 31, 2012",9.14
"Dec. 31, 2011",8.96
"Sept. 30, 2011",7.82
"June 30, 2011",7.96
"March 31, 2011",8.32
"Dec. 31, 2010",7.63
"Sept. 30, 2010",7.08
"June 30, 2010",6.00
"March 31, 2010",3.80
"Dec. 31, 2009",2.94
"Sept. 30, 2009",-18.26
"June 30, 2009",-15.84
"March 31, 2009",-12.91
"Dec. 31, 2008",-10.83
"Sept. 30, 2008",12.19
"June 30, 2008",11.03
"March 31, 2008",7.71
"Dec. 31, 2007",7.21
"Sept. 30, 2007",6.41
"June 30, 2007",6.49
"March 31, 2007",9.40
"Dec. 31, 2006",9.62
"Sept. 30, 2006",10.35
"June 30, 2006",10.72
"March 31, 2006",9.84
"Dec. 31, 2005",9.55
"Sept. 30, 2005",8.66
"June 30, 2005",7.41
"March 31, 2005",6.68
"Dec. 31, 2004",5.795
"Sept. 30, 2004",4.83
"June 30, 2004",4.35
"March 31, 2004",3.735
"Dec. 31, 2003",3.465
"Sept. 30, 2003",2.245
"June 30, 2003",1.175
"March 31, 2003",0.765
"Dec. 31, 2002",-0.265
"Sept. 30, 2002",0.185
"June 30, 2002",0.955
"March 31, 2002",1.70
"Dec. 31, 2001",2.79
"Sept. 30, 2001",4.25
"June 30, 2001",4.43
"March 31, 2001",4.095
"Dec. 31, 2000",3.63
"Sept. 30, 2000",2.675
"June 30, 2000",2.28
"March 31, 2000",1.55
"Dec. 31, 1999",1.20
"Sept. 30, 1999",0.31
"June 30, 1999",-0.035
"March 31, 1999",0.13
"Dec. 31, 1998",0.45
"Sept. 30, 1998",1.245
"June 30, 1998",1.56
"March 31, 1998",1.835
"Dec. 31, 1997",1.805
"Sept. 30, 1997",1.785
"June 30, 1997",1.73
"March 31, 1997",1.57
"Dec. 31, 1996",2.455
"Sept. 30, 1996",2.285
"June 30, 1996",2.195
"March 31, 1996",1.99
"Dec. 31, 1995",0.89
"Sept. 30, 1995",0.99
"June 30, 1995",0.955
"March 31, 1995",0.89
"Dec. 31, 1994",0.92
"Sept. 30, 1994",0.645
"June 30, 1994",0.50
"March 31, 1994",0.585
"Dec. 31, 1993",0.455
"Sept. 30, 1993",0.60
"June 30, 1993",0.71
"March 31, 1993",0.68
"Dec. 31, 1992",0.345
"Sept. 30, 1992",0.22
"June 30, 1992",0.135
"March 31, 1992",-0.035
"Dec. 31, 1991",0.495
"Sept. 30, 1991",0.905
"June 30, 1991",1.16
"March 31, 1991",1.345
"Dec. 31, 1990",1.565
"Sept. 30, 1990",0.58
"June 30, 1990",0.40
"March 31, 1990",0.59
"Dec. 31, 1989",0.45
