date,peg_ratio
"March 19, 2020",0.2037
"March 18, 2020",0.1804
"March 17, 2020",0.2089
"March 16, 2020",0.2076
"March 13, 2020",0.2497
"March 12, 2020",0.2244
"March 11, 2020",0.2591
"March 10, 2020",0.2776
"March 9, 2020",0.2712
"March 6, 2020",0.3608
"March 5, 2020",0.3796
"March 4, 2020",0.3934
"March 3, 2020",0.383
"March 2, 2020",0.3918
"Feb. 28, 2020",0.3854
"Feb. 27, 2020",0.3751
"Feb. 26, 2020",0.4073
"Feb. 25, 2020",0.4284
"Feb. 24, 2020",0.4487
"Feb. 21, 2020",0.4651
"Feb. 20, 2020",0.4686
"Feb. 19, 2020",0.4716
"Feb. 18, 2020",0.464
"Feb. 14, 2020",0.4665
"Feb. 13, 2020",0.4681
"Feb. 12, 2020",0.4756
"Feb. 11, 2020",0.4673
"Feb. 10, 2020",0.4606
"Feb. 7, 2020",0.4615
"Feb. 6, 2020",0.4649
"Feb. 5, 2020",0.4678
"Feb. 4, 2020",0.4496
"Feb. 3, 2020",0.471
"Jan. 31, 2020",0.473
"Jan. 30, 2020",0.4846
"Jan. 29, 2020",0.4814
"Jan. 28, 2020",0.4869
"Jan. 27, 2020",0.4858
"Jan. 24, 2020",0.4984
"Jan. 23, 2020",0.5025
"Jan. 22, 2020",0.5015
"Jan. 21, 2020",0.5096
"Jan. 17, 2020",0.5179
"Jan. 16, 2020",0.5179
"Jan. 15, 2020",0.5173
"Jan. 14, 2020",0.5184
"Jan. 13, 2020",0.5184
"Jan. 10, 2020",0.5207
"Jan. 9, 2020",0.5258
"Jan. 8, 2020",0.5168
"Jan. 7, 2020",0.5291
"Jan. 6, 2020",0.5291
"Jan. 3, 2020",0.5229
"Jan. 2, 2020",0.521
"Dec. 31, 2019",0.5176
"Dec. 30, 2019",0.193
"Dec. 27, 2019",0.1941
"Dec. 26, 2019",0.1942
"Dec. 24, 2019",0.1932
"Dec. 23, 2019",0.193
"Dec. 20, 2019",0.1904
"Dec. 19, 2019",0.1888
"Dec. 18, 2019",0.1888
"Dec. 17, 2019",0.1898
"Dec. 16, 2019",0.1877
"Dec. 13, 2019",0.1873
"Dec. 12, 2019",0.187
"Dec. 11, 2019",0.1843
"Dec. 10, 2019",0.1845
"Dec. 9, 2019",0.1847
"Dec. 6, 2019",0.1851
"Dec. 5, 2019",0.1788
"Dec. 4, 2019",0.1811
"Dec. 3, 2019",0.1759
"Dec. 2, 2019",0.1803
"Nov. 29, 2019",0.1791
"Nov. 27, 2019",0.1803
"Nov. 26, 2019",0.1796
"Nov. 25, 2019",0.1824
"Nov. 22, 2019",0.1789
"Nov. 21, 2019",0.1799
"Nov. 20, 2019",0.1773
"Nov. 19, 2019",0.1708
"Nov. 18, 2019",0.1694
"Nov. 15, 2019",0.174
"Nov. 14, 2019",0.171
"Nov. 13, 2019",0.1719
"Nov. 12, 2019",0.1739
"Nov. 11, 2019",0.176
"Nov. 8, 2019",0.1767
"Nov. 7, 2019",0.1779
"Nov. 6, 2019",0.1722
"Nov. 5, 2019",0.1748
"Nov. 4, 2019",0.1733
"Nov. 1, 2019",0.1707
"Oct. 31, 2019",0.1649
"Oct. 30, 2019",0.1644
"Oct. 29, 2019",0.1705
"Oct. 28, 2019",0.1663
"Oct. 25, 2019",0.1683
"Oct. 24, 2019",0.1678
"Oct. 23, 2019",0.168
"Oct. 22, 2019",0.1689
"Oct. 21, 2019",0.1672
"Oct. 18, 2019",0.1612
"Oct. 17, 2019",0.1629
"Oct. 16, 2019",0.1631
"Oct. 15, 2019",0.1671
"Oct. 14, 2019",0.1677
"Oct. 11, 2019",0.1686
"Oct. 10, 2019",0.1669
