date,revenue_per_employee_annual
"Dec. 31, 2019",3.072M
"Dec. 31, 2018",3.281M
"Dec. 31, 2017",2.357M
"Dec. 31, 2016",1.623M
"Dec. 31, 2015",1.689M
"Dec. 31, 2014",2.801M
"Dec. 31, 2013",3.083M
"Dec. 31, 2012",2.483M
"Dec. 31, 2011",2.158M
"Dec. 31, 2010",1.883M
"Dec. 31, 2009",4.682M
"Dec. 31, 2008",7.254M
"Dec. 31, 2007",5.479M
"Dec. 31, 2006",5.095M
"Dec. 31, 2005",5.136M
"Dec. 31, 2004",3.174M
"Dec. 31, 2003",2.732M
"Dec. 31, 2002",1.493M
"Dec. 31, 2001",979647.7
"Dec. 31, 2000",1.593M
"Dec. 31, 1999",834457.8
"Dec. 31, 1998",688662.8
"Dec. 31, 1997",899358.6
"Dec. 31, 1996",913699.4
"Dec. 31, 1995",755363.1
"Dec. 31, 1994",654338.6
"Dec. 31, 1993",614951.0
"Dec. 31, 1992",550566.9
"Dec. 31, 1991",606819.2
"Dec. 31, 1990",665476.2
