date,accruals
"Dec. 31, 2019",23.54M
"Sept. 30, 2019",-23.74M
"June 30, 2019",-25.78M
"March 31, 2019",-11.82M
"Dec. 31, 2018",28.44M
"Sept. 30, 2018",-14.11M
"June 30, 2018",-35.29M
"March 31, 2018",-39.82M
"Dec. 31, 2017",14.38M
"Sept. 30, 2017",4.831M
"June 30, 2017",-30.37M
"March 31, 2017",-40.81M
"Dec. 31, 2016",-6.545M
"Sept. 30, 2016",-3.654M
"June 30, 2016",-25.50M
"March 31, 2016",-23.77M
"Dec. 31, 2015",-2.164M
"Sept. 30, 2015",-8.411M
"June 30, 2015",-11.78M
"March 31, 2015",-41.22M
"Dec. 31, 2014",1.408M
"Sept. 30, 2014",-3.276M
"June 30, 2014",-7.366M
"March 31, 2014",-28.38M
"Dec. 31, 2013",3.179M
"Sept. 30, 2013",-8.485M
"June 30, 2013",-14.55M
"March 31, 2013",-20.29M
"Dec. 31, 2012",7.681M
"Sept. 30, 2012",-0.487M
"June 30, 2012",-21.15M
"March 31, 2012",-23.82M
"Dec. 31, 2011",-10.39M
"Sept. 30, 2011",9.712M
"June 30, 2011",-22.30M
"March 31, 2011",-20.52M
"Dec. 31, 2010",0.79M
"Sept. 30, 2010",3.848M
"June 30, 2010",-7.275M
"March 31, 2010",-32.42M
"Dec. 31, 2009",7.844M
"Sept. 30, 2009",-0.324M
"June 30, 2009",-14.98M
"March 31, 2009",-22.44M
"Dec. 31, 2008",-10.71M
"Sept. 30, 2008",-3.979M
"June 30, 2008",-0.5367M
"March 31, 2008",0.2873M
"Dec. 31, 2007",-1.909M
"Sept. 30, 2007",0.5702M
"June 30, 2007",-2.215M
"March 31, 2007",-8.930M
"Dec. 31, 2006",-7.208M
"Sept. 30, 2006",3.340M
"June 30, 2006",-2.094M
"March 31, 2006",-13.65M
"Dec. 31, 2005",9.798M
"Sept. 30, 2005",3.228M
"June 30, 2005",-6.020M
"March 31, 2005",-9.826M
"Dec. 31, 2004",-2.021M
"Sept. 30, 2004",3.174M
"June 30, 2004",-3.664M
"March 31, 2004",-11.52M
"Dec. 31, 2003",-4.748M
"Sept. 30, 2003",-0.3174M
"June 30, 2003",-1.138M
"March 31, 2003",-7.452M
"Dec. 31, 2002",-3.866M
"Sept. 30, 2002",0.7602M
"June 30, 2002",-5.928M
"March 31, 2002",-11.63M
"Dec. 31, 2001",-2.074M
"Sept. 30, 2001",2.631M
"June 30, 2001",-5.851M
"March 31, 2001",-3.465M
"Dec. 31, 2000",3.191M
"Sept. 30, 2000",3.771M
"June 30, 2000",-0.0377M
"March 31, 2000",-7.802M
"Dec. 31, 1999",3.20M
"Sept. 30, 1999",1.30M
"June 30, 1999",-3.90M
"March 31, 1999",-9.00M
"Dec. 31, 1998",1.40M
"Sept. 30, 1998",-0.80M
"June 30, 1998",2.50M
"March 31, 1998",-8.80M
"Dec. 31, 1997",-3.00M
"Sept. 30, 1997",4.30M
"June 30, 1997",-3.10M
"March 31, 1997",-4.10M
"Dec. 31, 1996",1.60M
"Sept. 30, 1996",0.70M
"June 30, 1996",-4.70M
"March 31, 1996",-0.90M
"Dec. 31, 1995",0.10M
"Sept. 30, 1995",2.10M
"June 30, 1995",-2.90M
"March 31, 1995",-4.60M
"Dec. 31, 1994",-1.80M
"Sept. 30, 1994",2.20M
"June 30, 1994",-4.20M
"March 31, 1994",-6.20M
