date,book_value_of_equity_per_share
"Dec. 31, 2019",34.23
"Sept. 30, 2019",33.21
"June 30, 2019",33.19
"March 31, 2019",33.16
"Dec. 31, 2018",31.65
"Sept. 30, 2018",31.03
"June 30, 2018",31.02
"March 31, 2018",30.88
"Dec. 31, 2017",29.75
"Sept. 30, 2017",28.38
"June 30, 2017",28.25
"March 31, 2017",28.22
"Dec. 31, 2016",27.36
"Sept. 30, 2016",26.89
"June 30, 2016",24.78
"March 31, 2016",24.45
"Dec. 31, 2015",23.45
"Sept. 30, 2015",23.15
"June 30, 2015",23.04
"March 31, 2015",21.72
"Dec. 31, 2014",20.59
"Sept. 30, 2014",20.32
"June 30, 2014",20.33
"March 31, 2014",20.18
"Dec. 31, 2013",19.28
"Sept. 30, 2013",18.68
"June 30, 2013",18.65
"March 31, 2013",18.57
"Dec. 31, 2012",17.82
"Sept. 30, 2012",17.41
"June 30, 2012",17.40
"March 31, 2012",17.27
"Dec. 31, 2011",16.78
"Sept. 30, 2011",16.56
"June 30, 2011",16.59
"March 31, 2011",16.55
"Dec. 31, 2010",15.84
"Sept. 30, 2010",15.59
"June 30, 2010",15.67
"March 31, 2010",15.62
"Dec. 31, 2009",14.89
"Sept. 30, 2009",12.49
"June 30, 2009",12.62
"March 31, 2009",12.70
"Dec. 31, 2008",12.03
"Sept. 30, 2008",12.06
"June 30, 2008",12.27
"March 31, 2008",12.27
"Dec. 31, 2007",11.71
"Sept. 30, 2007",11.56
"June 30, 2007",11.74
"March 31, 2007",11.73
"Dec. 31, 2006",11.08
"Sept. 30, 2006",9.871
"June 30, 2006",10.15
"March 31, 2006",10.15
"Dec. 31, 2005",9.605
"Sept. 30, 2005",9.284
"June 30, 2005",9.518
"March 31, 2005",9.579
"Dec. 31, 2004",8.994
"Sept. 30, 2004",8.805
"June 30, 2004",9.040
"March 31, 2004",9.134
"Dec. 31, 2003",8.590
"Sept. 30, 2003",8.388
"June 30, 2003",8.652
"March 31, 2003",8.669
"Dec. 31, 2002",8.108
"Sept. 30, 2002",8.049
"June 30, 2002",8.326
"March 31, 2002",8.422
"Dec. 31, 2001",8.270
"Sept. 30, 2001",8.224
"June 30, 2001",8.471
"March 31, 2001",8.550
"Dec. 31, 2000",8.090
"Sept. 30, 2000",7.892
"June 30, 2000",8.188
"March 31, 2000",8.308
"Dec. 31, 1999",7.737
"Sept. 30, 1999",7.567
"June 30, 1999",7.821
"March 31, 1999",7.845
"Dec. 31, 1998",7.381
"Sept. 30, 1998",7.209
"June 30, 1998",7.683
"March 31, 1998",7.921
"Dec. 31, 1997",7.948
"Sept. 30, 1997",7.201
"June 30, 1997",7.447
"March 31, 1997",7.486
"Dec. 31, 1996",8.331
"Sept. 30, 1996",8.078
"June 30, 1996",8.269
"March 31, 1996",8.249
"Dec. 31, 1995",7.577
"Sept. 30, 1995",7.368
"June 30, 1995",7.303
"March 31, 1995",7.339
"Dec. 31, 1994",6.741
"Sept. 30, 1994",6.709
"June 30, 1994",6.856
"March 31, 1994",7.002
