date,debt_equity_ratio
"Dec. 31, 2019",1.306
"Sept. 30, 2019",1.241
"June 30, 2019",1.199
"March 31, 2019",1.164
"Dec. 31, 2018",1.201
"Sept. 30, 2018",1.022
"June 30, 2018",0.9584
"March 31, 2018",0.9115
"Dec. 31, 2017",0.9414
"Sept. 30, 2017",0.8979
"June 30, 2017",0.7783
"March 31, 2017",0.7551
"Dec. 31, 2016",0.8046
"Sept. 30, 2016",0.7075
"June 30, 2016",0.8852
"March 31, 2016",0.8831
"Dec. 31, 2015",0.9258
"Sept. 30, 2015",0.8269
"June 30, 2015",0.7406
"March 31, 2015",0.7363
"Dec. 31, 2014",0.8518
"Sept. 30, 2014",0.8349
"June 30, 2014",0.7574
"March 31, 2014",0.7216
"Dec. 31, 2013",0.8416
"Sept. 30, 2013",0.7668
"June 30, 2013",0.7098
"March 31, 2013",0.5889
"Dec. 31, 2012",0.6676
"Sept. 30, 2012",0.5896
"June 30, 2012",0.5212
"March 31, 2012",0.5404
"Dec. 31, 2011",0.6362
"Sept. 30, 2011",0.6435
"June 30, 2011",0.5486
"March 31, 2011",0.5915
"Dec. 31, 2010",0.7197
"Sept. 30, 2010",0.6654
"June 30, 2010",0.6053
"March 31, 2010",0.6158
"Dec. 31, 2009",0.7824
"Sept. 30, 2009",0.7986
"June 30, 2009",0.7304
"March 31, 2009",0.7898
"Dec. 31, 2008",1.024
"Sept. 30, 2008",1.079
"June 30, 2008",1.011
"March 31, 2008",0.9265
"Dec. 31, 2007",0.9749
"Sept. 30, 2007",0.9432
"June 30, 2007",0.8512
"March 31, 2007",0.8375
"Dec. 31, 2006",0.956
"Sept. 30, 2006",1.277
"June 30, 2006",1.055
"March 31, 2006",0.9729
"Dec. 31, 2005",1.173
"Sept. 30, 2005",0.9515
"June 30, 2005",0.8153
"March 31, 2005",0.8196
"Dec. 31, 2004",0.9466
"Sept. 30, 2004",0.947
"June 30, 2004",0.9209
"March 31, 2004",0.9198
"Dec. 31, 2003",1.050
"Sept. 30, 2003",1.119
"June 30, 2003",1.059
"March 31, 2003",1.055
"Dec. 31, 2002",1.310
"Sept. 30, 2002",1.283
"June 30, 2002",1.164
"March 31, 2002",1.185
"Dec. 31, 2001",1.394
"Sept. 30, 2001",1.285
"June 30, 2001",1.095
"March 31, 2001",1.084
"Dec. 31, 2000",1.235
"Sept. 30, 2000",1.090
"June 30, 2000",0.8747
"March 31, 2000",0.7597
"Dec. 31, 1999",0.9884
"Sept. 30, 1999",0.8345
"June 30, 1999",0.6849
"March 31, 1999",0.691
"Dec. 31, 1998",0.8812
"Sept. 30, 1998",0.7942
"June 30, 1998",0.6947
"March 31, 1998",0.7127
"Dec. 31, 1997",0.8734
"Sept. 30, 1997",0.9855
"June 30, 1997",0.7856
"March 31, 1997",0.834
"Dec. 31, 1996",0.9432
"Sept. 30, 1996",0.7821
"June 30, 1996",0.6453
"March 31, 1996",0.6925
"Dec. 31, 1995",0.8392
"Sept. 30, 1995",0.80
"June 30, 1995",0.7062
"March 31, 1995",0.7054
"Dec. 31, 1994",0.9057
"Sept. 30, 1994",0.8932
"June 30, 1994",0.7105
"March 31, 1994",0.7342
