date,dividend_yield
"March 19, 2020",1.80%
"March 18, 2020",1.80%
"March 17, 2020",1.70%
"March 16, 2020",1.99%
"March 13, 2020",1.72%
"March 12, 2020",1.88%
"March 11, 2020",1.70%
"March 10, 2020",1.68%
"March 9, 2020",1.72%
"March 6, 2020",1.65%
"March 5, 2020",1.67%
"March 4, 2020",1.66%
"March 3, 2020",1.72%
"March 2, 2020",1.74%
"Feb. 28, 2020",1.85%
"Feb. 27, 2020",1.76%
"Feb. 26, 2020",1.67%
"Feb. 25, 2020",1.67%
"Feb. 24, 2020",1.65%
"Feb. 21, 2020",1.61%
"Feb. 20, 2020",1.61%
"Feb. 19, 2020",1.62%
"Feb. 18, 2020",1.59%
"Feb. 14, 2020",1.59%
"Feb. 13, 2020",1.58%
"Feb. 12, 2020",1.62%
"Feb. 11, 2020",1.62%
"Feb. 10, 2020",1.61%
"Feb. 7, 2020",1.62%
"Feb. 6, 2020",1.62%
"Feb. 5, 2020",1.62%
"Feb. 4, 2020",1.62%
"Feb. 3, 2020",1.62%
"Jan. 31, 2020",1.65%
"Jan. 30, 2020",1.63%
"Jan. 29, 2020",1.65%
"Jan. 28, 2020",1.65%
"Jan. 27, 2020",1.65%
"Jan. 24, 2020",1.66%
"Jan. 23, 2020",1.67%
"Jan. 22, 2020",1.68%
"Jan. 21, 2020",1.68%
"Jan. 17, 2020",1.67%
"Jan. 16, 2020",1.66%
"Jan. 15, 2020",1.68%
"Jan. 14, 2020",1.70%
"Jan. 13, 2020",1.71%
"Jan. 10, 2020",1.73%
"Jan. 9, 2020",1.73%
"Jan. 8, 2020",1.74%
"Jan. 7, 2020",1.71%
"Jan. 6, 2020",1.70%
"Jan. 3, 2020",1.68%
"Jan. 2, 2020",1.68%
"Dec. 31, 2019",1.65%
"Dec. 30, 2019",1.67%
"Dec. 27, 2019",1.67%
"Dec. 26, 2019",1.67%
"Dec. 24, 2019",1.65%
"Dec. 23, 2019",1.64%
"Dec. 20, 2019",1.63%
"Dec. 19, 2019",1.64%
"Dec. 18, 2019",1.63%
"Dec. 17, 2019",1.66%
"Dec. 16, 2019",1.67%
"Dec. 13, 2019",1.69%
"Dec. 12, 2019",1.64%
"Dec. 11, 2019",1.62%
"Dec. 10, 2019",1.64%
"Dec. 9, 2019",1.68%
"Dec. 6, 2019",1.67%
"Dec. 5, 2019",1.67%
"Dec. 4, 2019",1.67%
"Dec. 3, 2019",1.69%
"Dec. 2, 2019",1.70%
