date,eps_est_0y
"March 11, 2020",4.07
"March 2, 2020",4.072
"Feb. 28, 2020",4.067
"Feb. 27, 2020",4.09
"Jan. 15, 2020",4.003
"Jan. 7, 2020",3.997
"Dec. 31, 2019",3.746
"Dec. 17, 2019",3.73
"Nov. 11, 2019",3.742
"Nov. 10, 2019",3.732
"Oct. 24, 2019",3.73
"Oct. 11, 2019",3.72
"Oct. 8, 2019",3.724
"Aug. 13, 2019",3.736
"Aug. 12, 2019",3.74
"Aug. 9, 2019",3.81
"June 20, 2019",3.738
"June 10, 2019",3.734
"May 13, 2019",3.728
"May 10, 2019",3.767
"May 8, 2019",3.81
"April 3, 2019",3.70
"March 29, 2019",3.712
"March 7, 2019",3.70
"March 4, 2019",3.694
"Feb. 27, 2019",3.81
"Jan. 18, 2019",3.71
"Jan. 3, 2019",3.708
"Dec. 31, 2018",3.415
"Nov. 27, 2018",3.415
"Nov. 19, 2018",3.397
"Nov. 13, 2018",3.395
"Nov. 12, 2018",3.41
"Nov. 6, 2018",3.41
"Oct. 3, 2018",3.41
"Sept. 24, 2018",3.443
"Sept. 23, 2018",3.443
"Aug. 17, 2018",3.477
"Aug. 14, 2018",3.468
"Aug. 13, 2018",3.515
"Aug. 10, 2018",3.515
"July 2, 2018",3.484
"May 29, 2018",3.48
"May 14, 2018",3.473
"May 12, 2018",3.452
"May 11, 2018",3.442
"May 10, 2018",3.448
"May 7, 2018",3.443
"April 23, 2018",3.443
"March 18, 2018",3.443
"March 5, 2018",3.44
"March 2, 2018",3.467
"March 1, 2018",3.455
"Feb. 1, 2018",3.398
"Jan. 11, 2018",3.397
